zomet,ishuv,rehov1,rehov2
50001,26,103,115
30001,28,106,124
90014,28,106,119
90014,28,106,128
90014,28,119,128
30001,31,107,113
230001,31,201,202
350001,31,304,316
350001,31,304,317
350001,31,316,317
610042,31,152,160
610079,31,201,203
610186,31,109,354
610186,31,110,354
610186,31,109,110
60001,41,134,153
60001,41,134,135
60001,41,135,153
20001,53,122,124
20051,65,135,139
10001,70,165,273
10001,70,273,501
10001,70,165,501
20014,70,128,247
20014,70,247,254
20014,70,128,254
60015,70,258,330
60015,70,302,330
60015,70,258,302
80008,70,207,228
90013,70,217,240
110001,70,268,274
150001,70,271,274
170007,70,146,181
180007,70,181,213
190001,70,165,270
190001,70,165,507
190001,70,270,507
190007,70,212,213
250003,70,176,188
7410002,70,118,181
7410002,70,118,200
7410002,70,181,200
7530002,70,126,189
7540002,70,181,189
7630003,70,128,180
7630003,70,180,256
7630003,70,128,256
7640003,70,256,302
7650004,70,180,189
7690005,70,147,157
7710005,70,126,145
7760007,70,165,180
7900013,70,189,217
7900013,70,217,257
7900013,70,189,257
7910013,70,189,302
7930011,70,165,217
7930011,70,165,232
7930011,70,217,232
7950011,70,232,260
8000009,70,180,586
8010009,70,180,201
8010009,70,180,220
8010009,70,201,220
8020010,70,196,201
8060011,70,206,302
8070011,70,260,302
8070011,70,302,307
8070011,70,260,307
8190031,70,488,506
8240014,70,240,278
8300054,70,240,302
8300054,70,240,854
8300054,70,302,854
8310021,70,303,307
8330071,70,401,402
8460041,70,302,335
8460041,70,335,586
8460041,70,302,586
8610011,70,307,580
8610011,70,307,701
8610011,70,580,701
8640011,70,701,702
8670001,70,165,580
8720071,70,406,413
8750002,70,302,480
8750002,70,302,483
8750002,70,480,483
8790031,70,287,493
8810052,70,704,710
8810052,70,710,731
8810052,70,704,731
8820071,70,165,340
8830071,70,165,391
8830071,70,165,814
8830071,70,391,814
8850326,70,165,622
8870052,70,724,728
8870052,70,702,728
8870052,70,702,724
8880052,70,701,734
8880052,70,701,704
8880052,70,704,734
8940132,70,488,498
8960041,70,302,554
9020052,70,189,340
9060041,70,302,761
9100073,70,817,818
9200073,70,801,817
9210001,70,189,851
9220073,70,801,814
9280003,70,176,186
9280003,70,176,325
9280003,70,186,325
9310054,70,208,240
9360326,70,680,682
9370211,70,206,580
9380123,70,165,206
9380123,70,165,597
9380123,70,206,597
9470321,70,335,704
9540355,70,679,683
9650071,70,601,697
9680325,70,335,580
9720005,70,331,580
9770007,70,501,502
9770007,70,213,501
9770007,70,213,502
9840052,70,360,366
9840052,70,360,390
9840052,70,366,390
9900002,70,206,750
9930001,70,335,583
10010001,70,386,392
10070001,70,189,622
10150001,70,702,718
10150001,70,702,715
10150001,70,715,718
10150026,70,202,232
10150045,70,220,229
10150045,70,220,230
10150045,70,229,230
10150056,70,256,622
10150069,70,300,303
10150069,70,300,313
10150069,70,303,313
10150080,70,309,335
10150091,70,369,370
10150098,70,377,386
10150216,70,683,684
10150277,70,852,854
10150290,70,189,597
10150302,70,213,597
10150316,70,750,762
10150320,70,622,817
10150321,70,377,382
10150323,70,101,325
70087,122,158,159
40001,154,115,159
40001,154,115,117
40001,154,117,159
180001,154,211,224
50001,166,113,116
70001,166,126,130
70001,166,130,136
70001,166,126,136
130001,166,115,116
300001,166,117,118
300001,166,118,160
300001,166,117,160
410001,166,118,205
430021,166,116,124
430021,166,116,154
430021,166,124,154
430021,166,116,126
430021,166,124,126
430021,166,126,154
430031,166,121,122
430053,166,127,187
430061,166,131,133
60001,168,119,121
180001,168,217,218
180001,168,213,218
180001,168,213,217
180021,168,112,118
180021,168,112,124
180021,168,118,124
180054,168,133,201
180082,168,173,174
180146,168,215,216
180146,168,212,216
180146,168,212,215
240001,182,114,133
240001,182,114,135
240001,182,114,149
240001,182,133,135
240001,182,133,149
240001,182,135,149
260026,182,114,134
260033,182,114,195
20001,195,108,224
20001,195,108,140
20001,195,140,224
170001,195,137,167
190001,195,106,111
280001,195,3101,3113
310021,195,107,128
310022,195,107,163
310022,195,107,164
310022,195,163,164
10001,206,102,103
640010,229,112,170
640010,229,125,170
640010,229,112,125
