pk_teuna_fikt,sug_tik,THUM_GEOGRAFI,SUG_DEREH,SEMEL_YISHUV,REHOV1,REHOV2,BAYIT,ZOMET_IRONI,KVISH1,KVISH2,KM,ZOMET_LO_IRONI,YEHIDA,SHNAT_TEUNA,HODESH_TEUNA,YOM_BE_HODESH,SHAA,SUG_YOM,YOM_LAYLA,YOM_BASHAVUA,RAMZOR,HUMRAT_TEUNA,SUG_TEUNA,ZURAT_DEREH,HAD_MASLUL,RAV_MASLUL,MEHIRUT_MUTERET,TKINUT,ROHAV,SIMUN_TIMRUR,TEURA,BAKARA,MEZEG_AVIR,PNE_KVISH,SUG_EZEM,MERHAK_EZEM,LO_HAZA,OFEN_HAZIYA,MEKOM_HAZIYA,KIVUN_HAZIYA,MAHOZ,NAFA,EZOR_TIVI,MAAMAD_MINIZIPALI,ZURAT_ISHUV,STATUS_IGUN,X,Y
2010000001,1,1,2,8300,180,,9999,,,,,,52,2010,1,10,1,4,5,1,9,3,1,9,1,0,1,0,2,3,6,2,1,1,9,9,9,0,0,9,4,44,442,0,10,3,179544,652762
2010000003,1,1,4,0,,,,,40,0,2680,,52,2010,1,17,1,4,5,1,9,1,1,9,3,0,5,0,3,3,6,,1,1,9,9,9,0,0,9,9,99,999,99,99,1,186082,646093
2010000004,1,1,2,8400,403,,135,,,,,,52,2010,1,20,1,4,5,4,9,3,1,9,2,0,1,0,4,3,6,,2,2,9,9,9,0,0,9,4,44,441,0,14,1,182275,644755
2010000005,1,1,1,8300,347,384,,8810001,,,,,52,2010,1,22,1,4,5,6,9,3,1,8,0,3,1,0,5,3,6,,1,1,9,9,9,3,3,1,4,44,442,0,10,1,182049,653266
2010000007,1,1,2,7000,138,,9999,,,,,,52,2010,2,3,1,4,5,4,9,3,1,8,3,0,1,0,2,5,6,,1,1,9,9,9,0,0,9,4,43,431,0,15,3,189765,651947
2010000009,1,1,2,7400,314,,9999,,,,,,51,2010,2,25,1,4,5,5,9,3,1,9,9,0,1,0,2,5,6,,9,2,9,9,9,0,0,9,4,41,411,0,14,3,187130,693119
2010000011,1,1,2,6900,523,,71,,,,,,51,2010,3,8,1,4,5,2,9,3,1,8,9,0,1,0,3,5,6,,1,1,9,9,9,3,9,2,4,42,421,0,15,1,191182,675891
2010000012,1,1,4,0,,,,,443,0,160,,52,2010,3,18,1,4,5,5,9,3,1,8,0,2,5,0,3,4,6,,1,1,9,9,9,0,0,9,9,99,999,99,99,1,203045,645288
2010000013,1,1,1,8400,363,351,,8600005,,,,,52,2010,3,31,1,3,5,4,1,1,1,8,3,0,1,0,2,3,6,2,1,1,9,9,9,0,0,9,4,44,441,0,14,1,181520,644682
2010000014,1,1,2,9000,210,,9999,,,,,,34,2010,3,19,1,4,5,6,9,2,1,9,9,0,0,0,0,5,6,,9,9,9,9,9,3,2,9,6,62,623,0,14,3,180235,574799
