zomet,ishuv,rehov1,rehov2
10003,31,107,137
140001,31,107,112
510004,31,107,194
520001,31,175,183
550004,31,101,194
610010,31,107,370
610010,31,211,370
610010,31,107,211
610010,31,160,370
610010,31,107,160
610010,31,160,211
610189,31,167,216
10001,70,165,273
10001,70,273,501
10001,70,165,501
20002,70,144,191
30014,70,249,254
30014,70,249,262
30014,70,254,262
70003,70,181,190
80008,70,207,228
110008,70,207,222
160007,70,146,162
170007,70,146,181
180007,70,181,213
190001,70,165,270
190001,70,270,507
190001,70,165,507
7480002,70,118,126
7530002,70,126,189
7540002,70,181,189
7630003,70,128,180
7630003,70,180,256
7630003,70,128,256
7650004,70,180,189
7690005,70,147,157
7700005,70,147,509
7700005,70,126,509
7700005,70,126,147
7750006,70,180,213
7760007,70,165,180
7780008,70,165,207
7780008,70,165,212
7780008,70,207,212
7880014,70,257,258
7890014,70,248,257
7900013,70,189,217
7900013,70,217,257
7900013,70,189,257
7910013,70,189,302
7920011,70,165,302
7930011,70,165,217
7930011,70,165,232
7930011,70,217,232
8000009,70,180,586
8000009,70,180,750
8000009,70,586,750
8020010,70,196,201
8060011,70,206,302
8070011,70,260,302
8070011,70,302,307
8070011,70,260,307
8080001,70,165,181
8090071,70,415,421
8110072,70,408,415
8160071,70,406,416
8170072,70,256,408
8180014,70,128,432
8190031,70,488,506
8200031,70,492,499
8220003,70,307,309
8240014,70,240,278
8260071,70,415,416
8300054,70,240,302
8300054,70,302,854
8300054,70,240,854
8400073,70,404,406
8460041,70,302,335
8460041,70,302,586
8460041,70,335,586
8490052,70,340,701
8490052,70,340,801
8490052,70,701,801
8530052,70,714,715
8530052,70,702,715
8530052,70,702,714
8560073,70,406,407
8600071,70,406,428
8610011,70,307,580
8610011,70,307,701
8610011,70,580,701
8620071,70,411,412
8620071,70,406,412
8620071,70,406,411
8630073,70,801,812
8630073,70,807,812
8630073,70,801,807
8640011,70,701,702
8650031,70,493,499
8670001,70,165,580
8730052,70,704,715
8820071,70,165,340
8830071,70,165,391
8830071,70,391,814
8830071,70,165,814
8850326,70,165,622
8880052,70,704,734
8880052,70,701,734
8880052,70,701,704
8900001,70,189,580
9020052,70,189,340
9200073,70,801,817
9210001,70,189,851
9240073,70,802,817
9300003,70,309,316
9300003,70,310,316
9300003,70,309,310
9310054,70,208,240
9330041,70,580,596
9370211,70,206,580
9380123,70,165,206
9380123,70,206,597
9380123,70,165,597
9400071,70,256,340
9430312,70,189,863
9440312,70,189,331
9450137,70,750,758
9470321,70,335,704
9500137,70,758,759
9510003,70,256,580
9510003,70,256,332
9510003,70,332,580
9540355,70,679,683
9580331,70,340,390
9580331,70,340,855
9580331,70,390,855
9680325,70,335,580
9750041,70,575,596
9770007,70,501,502
9770007,70,213,501
9770007,70,213,502
9870052,70,189,369
9870052,70,369,405
9870052,70,189,405
9880003,70,580,856
9880003,70,856,6005
9880003,70,580,6005
9880003,70,852,856
9880003,70,580,852
9880003,70,852,6005
9930001,70,335,583
9970001,70,409,415
10000001,70,403,415
10020001,70,220,266
10020001,70,220,526
10020001,70,266,526
10040001,70,308,309
10150006,70,118,122
10150025,70,189,377
10150025,70,189,429
10150025,70,377,429
10150026,70,202,232
10150045,70,220,229
10150045,70,220,230
10150045,70,229,230
10150098,70,377,386
10150156,70,554,562
10150208,70,678,740
10150246,70,762,766
10150276,70,851,852
10150277,70,852,854
10150291,70,507,508
10150319,70,207,285
10150345,70,213,597
10150358,70,678,745
10150361,70,678,789
10150362,70,335,345
70087,122,158,159
220018,154,117,119
220059,154,211,235
170001,166,126,127
250001,166,116,146
310001,166,261,362
320001,166,126,260
320001,166,126,261
320001,166,260,261
430102,166,171,280
430174,166,283,282
180007,168,109,112
180024,168,112,201
180024,168,112,217
180024,168,201,217
180086,168,175,212
180118,168,216,217
30002,175,102,110
260021,182,114,210
260021,182,138,210
260021,182,114,138
3,190,124,127
310013,195,105,108
310013,195,105,119
310013,195,108,119
310065,195,130,137
310177,195,278,279
310178,195,167,268
10001,229,116,120
190020,240,154,258
190064,240,210,259
190064,240,154,259
190064,240,154,210
190066,240,224,225
30002,246,115,181
190001,246,112,155
400002,246,194,269
440002,246,176,179
610007,246,104,109
610094,246,237,239
610104,246,112,145
440001,267,102,106
440001,267,106,120
440001,267,102,120
7120001,267,101,103
7120001,267,102,103
7120001,267,101,102
500001,466,109,130
9610052,466,102,130
140001,469,120,123
140001,469,123,131
140001,469,120,131
240068,469,120,147
240093,469,215,216
40001,472,101,131
10002,499,300,301
490001,565,118,150
600001,565,110,112
610001,565,110,111
9880001,565,162,163
9960027,565,149,152
80001,587,104,108
80001,587,104,129
80001,587,108,129
450001,587,127,128
460001,587,126,128
840026,587,3103,3104
1,615,102,105
290029,666,113,139
290029,666,113,143
