pk_teuna_fikt,mispar_rehev_fikt,SHNAT_TEUNA,HODESH_TEUNA,NEFAH,SHNAT_YITZUR,KIVUNE_NESIA,MATZAV_REHEV,SHIYUH_REHEV_LMS,SUG_REHEV_LMS,MEKOMOT_YESHIVA_LMS,MISHKAL_KOLEL_LMS,SUG_TIK
2014006023,1,2014,2,6,2012,2222,0,1,1,3,1,1
2014066618,1,2014,10,5,2013,3344,0,1,1,3,1,1
2014066618,2,2014,10,0,2010,4422,0,3,3,99,0,1
2014040393,1,2014,10,6,2000,4433,0,1,1,99,1,1
2014026916,1,2014,10,10,2000,2211,0,1,1,99,,1
2014026916,2,2014,10,9,1997,2211,0,1,2,6,2,1
2014047949,1,2014,8,7,2012,2211,0,1,1,3,1,1
2014083312,1,2014,10,6,2009,2211,0,1,1,99,1,1
2014083312,2,2014,10,8,2003,1144,0,1,1,99,1,1
2014043525,1,2014,10,6,2007,4433,0,1,2,3,1,1
2014043525,2,2014,10,6,1995,4433,0,1,1,99,,1
2014066061,1,2014,10,5,2012,4433,0,1,1,3,1,1
2014066061,2,2014,10,6,1993,4433,0,1,1,4,,1
2014066061,3,2014,10,6,2012,4433,0,1,1,99,1,1
2014040133,1,2014,10,5,2013,3344,0,1,1,2,1,1
2014056977,1,2014,10,6,2013,2211,0,1,1,99,1,1
2014056977,2,2014,10,2,2014,4444,0,1,10,1,,1
2014050358,1,2014,10,6,2008,4433,0,1,2,6,2,1
2014050358,2,2014,10,6,2010,3344,0,1,1,99,1,1
2014074986,1,2014,10,6,2001,1144,0,1,1,99,1,1
2014074986,2,2014,10,2,2008,2211,0,1,10,1,,1
2014051360,1,2014,11,0,0,0,0,1,17,99,0,1
2014051360,2,2014,11,0,0,0,0,1,17,99,0,1
2014093303,1,2014,11,9,2007,2211,0,1,18,13,3,1
2014093303,2,2014,11,2,2014,2211,0,1,9,1,,1
2014089269,1,2014,10,6,2013,0,0,1,1,99,1,1
2014089269,2,2014,10,6,2006,0,0,1,1,3,1,1
2014069997,1,2014,11,9,1999,1122,0,1,2,5,2,1
2014069997,2,2014,11,9,2000,3344,0,1,2,5,2,1
2014089972,1,2014,10,6,2010,1122,0,1,1,99,1,1
2014089972,2,2014,10,6,2014,2233,0,1,1,99,1,1
2014058177,1,2014,11,9,1999,3344,0,1,2,4,3,1
2014058177,2,2014,11,0,0,3344,0,1,17,99,0,1
2014034248,1,2014,10,6,2001,2211,0,1,1,99,,1
2014034248,2,2014,10,5,2012,4422,0,1,1,3,1,1
2014022477,1,2014,11,8,2006,3344,0,1,2,3,1,1
2014022477,2,2014,11,6,2012,4433,0,1,1,3,1,1
2014098962,1,2014,10,3,2004,0,0,1,10,1,,1
2014098962,2,2014,10,5,1998,0,0,1,1,5,1,1
2014036520,1,2014,11,10,2009,3344,0,1,1,99,,1
2014031759,1,2014,10,10,2006,1122,0,1,1,99,,1
2014031759,2,2014,10,2,2008,4433,0,1,9,1,,1
2014015761,1,2014,3,7,1998,3344,0,1,1,99,1,1
2014015761,2,2014,3,6,2002,3344,0,1,1,1,,1
2014010683,1,2014,3,6,2009,3344,0,1,1,99,,1
2014004908,1,2014,3,9,2009,3344,0,1,1,3,,1
2014004908,2,2014,3,7,2011,3344,0,1,19,99,,1
2014004662,1,2014,3,12,2013,1122,0,1,6,99,11,1
2014004662,2,2014,3,6,2013,2211,0,1,12,3,1,1
2014003674,1,2014,3,8,2003,4433,0,1,17,99,1,1
2014003674,2,2014,3,0,0,2211,0,1,15,99,0,1
2014000575,1,2014,3,0,0,2211,0,1,17,99,0,1
2014000575,2,2014,3,0,0,3344,0,1,17,99,0,1
2014007621,1,2014,3,6,2010,3344,0,1,1,3,1,1
2014007621,2,2014,3,8,2013,2211,0,1,1,3,2,1
2014010086,1,2014,3,8,2013,3344,0,1,1,5,2,1
2014010086,2,2014,3,0,0,1122,0,1,15,99,0,1
2014000046,1,2014,3,10,2010,4433,0,1,1,99,,1
2014000046,2,2014,3,5,2014,1122,0,1,1,3,1,1
2014004359,1,2014,3,7,2009,4433,0,1,1,3,1,1
2014004359,2,2014,3,11,2009,2211,0,1,1,3,2,1
2014008559,1,2014,3,2,2008,1122,0,1,10,99,,1
2014008296,1,2014,3,0,0,2211,0,1,17,99,0,1
2014008296,2,2014,3,0,0,2211,0,1,17,99,0,1
2014011854,1,2014,3,6,2013,1122,0,1,1,3,1,1
2014005181,1,2014,3,8,2013,2211,0,1,1,5,2,1
2014011381,1,2014,3,7,2007,2233,0,1,2,3,2,1
2014011381,2,2014,3,12,2009,1122,0,1,4,3,5,1
2014011381,3,2014,3,6,2010,1122,0,1,1,99,1,1
2014013219,1,2014,3,6,2007,3344,0,1,1,99,,1
2014013219,2,2014,3,2,2008,3344,0,1,9,1,,1
2014014704,1,2014,3,6,2001,4433,0,1,1,99,,1
2014012063,1,2014,3,9,2000,2211,0,1,18,8,2,1
