TeunaID_FKT,SemelSugTikLMS,IsYosh,KodSugMakom,SemelYishuv1,SemelRechov1,SemelRechov2,Bait,SemelYishuv2,SemelTzometLMS,SemelKvish1,SemelKvish2,Kilometer,shnatTeuna,chodeshTeuna,yomBeChodesh,SemelShaaMekubaz,SugYom,YomLayla,YomBashavua,Merumzar,KodChumratTeunaMeshulvet,KodSugTeuna,KodKnisaYetzia,KodTvaiHaderech,KodNetuneiTashtitKlali,KodGeometria,KodDerechChadMaslulit,KodDerechDuMaslulit,KodMehirutMuteret,KodTkinutHaDerech,KodRochavHakvishBeMeter,KodTeura,KodTamrurRamzorBetzomet,KodMezegAvir,KodMatzavPneiHakvish,KodHitnagshutImEtzemDomem,KodMerchakHaEtzemMisfatHakvish,SemelMahoz,SemelNafa,SemelEzorTivi,SemelMaamadMuniOMoeza,SemelZuratYeshuvShotef,StatusIgunMekubatzLMS,X_LMS,Y_LMS
2019000069,1,0,1,5000,404,,160,,,,,,2019,9,26,60,5,1,5,9,813,1214,,,,,761,0,768,0,779,1239,,805,814,829,1265,5,51,511,0,130,1,178831,665673
2019000116,1,0,2,5000,2245,1269,,,51422,,,,2019,11,21,54,5,1,5,9,813,1206,,1272,,1275,760,0,768,1998,779,1239,1256,805,814,829,1265,5,51,511,0,130,1,179722,662956
2019000124,1,0,1,5000,2604,,22,,,,,,2019,6,13,49,5,1,5,9,813,1206,,1272,,1275,759,0,768,1998,778,1239,1256,805,814,829,1265,5,51,511,0,130,1,181201,664262
2019000174,1,0,1,5000,2412,,68,,,,,,2019,4,1,88,5,0,2,9,812,1369,,1272,,1276,759,0,768,1998,779,1242,,805,814,829,1265,5,51,511,0,130,1,178345,661292
2019000300,1,0,2,5000,2524,2523,,,53502,,,,2019,7,31,52,5,1,4,0,813,1370,,,,,0,767,768,1998,779,1239,1250,805,814,829,1265,5,51,511,0,130,1,180810,664561
2019000367,1,0,1,5000,914,,15,,,,,,2019,9,25,56,5,1,4,9,813,1369,,1272,1284,1275,759,0,768,1998,778,1239,1252,805,814,829,1265,5,51,511,0,130,1,179855,666477
2019000431,1,0,2,5000,2025,3006,,,48660,,,,2019,12,18,62,5,1,4,1,813,1370,,1272,,1275,759,0,768,1998,779,1239,1251,805,814,829,1265,5,51,511,0,130,1,177349,660436
2019000517,1,0,1,5000,1571,,8,,,,,,2019,9,5,38,5,1,5,9,813,1206,,,,,0,0,0,0,,1241,,810,820,829,1265,5,51,511,0,130,1,180495,664518
2019000671,1,0,2,5000,1506,1110,,,52576,,,,2019,2,17,11,5,0,1,9,813,1207,,,,,0,765,768,1998,,1242,1256,805,814,829,1265,5,51,511,0,130,1,179372,663911
2019028833,1,0,1,5000,2215,,85,,,,,,2019,4,16,8,5,0,3,9,812,1369,,,,,0,765,768,1998,,1242,,806,815,829,1265,5,51,511,0,130,1,178507,662599
