kod,teur,SemelYeshuv
101,דרך האלון,1243
102,הארז,1243
103,האלה,1243
104,הפטל,1243
105,הזית,1243
106,החרוב,1243
107,הרדוף,1243
108,מורן,1243
109,היקב,1243
110,האורן,1243
111,שד האמירים,1243
112,הקוצר,1243
113,שיבולת,1243
114,הזורע,1243
115,שדמה,1243
116,הגת,1243
117,הקמה,1243
118,הדגן,1243
119,הגורן,1243
120,החרמש,1243
121,המגוב,1243
122,המורג,1243
123,המגל,1243
124,הבוצר,1243
125,המחרשה,1243
126,המצפה,1243
127,החורש,1243
9000,קציר,1243
101,שדרת הדקלים,7
102,קיבוץ גלויות,7
103,המייסדים,7
104,הראשונים,7
105,הבציר,7
106,המסיק,7
107,הקטיף,7
9000,שחר,7
9000,תירוש,10
100,שדרות הפרחים,11
101,הנורית,11
102,הצבעוני,11
103,הסביון,11
104,הכלנית,11
105,הנרקיס,11
106,היסמין,11
107,החרצית,11
9000,"ניר ח""ן",11
7001,"בי""ס שדה חצבה",13
9000,חצבה,13
9000,נועם,15
9000,בית ניר,16
9000,שדה משה,18
101,אורה,21
102,סמ השיטה,21
103,סמ שיזף,21
104,סמ דקל דום,21
105,סמ האשל,21
106,משעול אוכם,21
107,משעול סיתוונית,21
108,משעול פיקוס,21
109,משעול דרדר,21
110,משעול דוחן,21
111,משעול כוכב,21
112,משעול לענה,21
113,משעול סהרון,21
114,משעול שנהבית,21
115,משעול צלף,21
116,רותם המדבר,21
120,תמנע,21
121,סמ הר צניפים,21
122,סמ הר שני,21
123,סמ הר כרכום,21
124,משעול עמרם,21
125,משעול נשף,21
126,משעול שחורת,21
127,משעול רחם,21
128,משעול חכליל,21
129,משעול שגיא,21
130,משעול מכרות,21
135,עמודי שלמה,21
9000,באר אורה,21
101,דרך הבנים,22
102,דרך הכרמים,22
103,כביש המאה,22
104,מעלה הדקלים,22
105,מעלה נטר,22
106,שד הדוידקה,22
107,שד הותיקים,22
108,"שד כי""ח",22
109,"משעול תר""ל",22
110,שד קראוזה,22
6500,ש מורים,22
9000,מקווה ישראל,22
9000,אמציה,23
100,אשכול,24
101,שריג,24
102,סמדר,24
103,זמורה,24
104,עינב,24
105,כרמים,24
106,גפן,24
107,שורק,24
108,בציר,24
9000,לכיש,24
101,שוב דוד,26
102,פני גולן,26
103,דרך הגליל,26
104,הנדיב,26
105,הרחוב העליון,26
106,הראשונים,26
107,החלוצים,26
108,ניסנבוים,26
109,סולד הנריאטה,26
110,העליה,26
111,שמאי עמיקם,26
112,פטר פביאן,26
113,קרן היסוד,26
114,קרן קימת,26
115,מעלה גיא אוני,26
116,השלום,26
117,משעול גונן,26
118,הרחבה חקלאית,26
119,החקלאי,26
120,הנורית,26
121,הכלנית,26
122,הרקפת,26
123,דרך הבוסתנים,26
124,דרך היקב,26
125,החורש,26
126,משעול האקליפטוס,26
127,הגרנות,26
128,דרך הרהט,26
129,הדרך הטורקית,26
130,דרך המרכז,26
131,דרך החלמוניות,26
132,האירוס,26
133,אזור תעשיה,26
134,דרך הטחנה,26
135,הורד,26
136,החצב,26
137,הנרקיס,26
138,התורמוס,26
139,תל אביב,26
140,האפרסק,26
141,השזיף,26
142,הברוש,26
143,משעול התאנה,26
144,האורנים,26
145,הזיתים,26
146,התמרים,26
148,הצבר,26
149,הרימונים,26
150,השיטה,26
151,הרדוף,26
152,הברושים,26
153,החלמית,26
154,דרך בן אריה,26
155,משעול גולן,26
156,סמ גלילי,26
157,דרך עתיקה,26
158,חן,26
159,משעול התמר,26
161,ברנשטיין,26
162,דרך היער,26
163,הדקל,26
164,האלון,26
165,האלה,26
166,החרוב,26
167,החרצית,26
168,האגס,26
169,התפוח,26
170,מעלה בנימין,26
171,אודם,26
172,ברקת,26
173,גרניט,26
174,הסלע,26
175,יהלום,26
176,ספיר,26
177,צור,26
178,שוהם,26
6500,ש אשטרום,26
6501,ש הבנים,26
6502,ש עמידר,26
6503,ש קרן היסוד,26
6504,ש רסקו,26
6505,שכ הגרנות,26
6510,שכ האמנים,26
6511,שכ הזיתים,26
6512,שכון ב,26
6513,שכון דרומי,26
6514,מעלה כנען,26
6515,שכ הכרמים,26
6516,שכ פני גולן,26
6517,שכ הגפנים,26
6518,שכ הראשונים,26
9000,ראש פינה,26
9000,שדות מיכה,27
102,אברהם מרדכי לוין,28
103,"תרמ""ג",28
104,נתיב השיירות,28
105,שד בגין מנחם,28
106,השוטרים,28
107,משה לוין,28
108,הלזנר עמנואל,28
109,שאול,28
110,יואל דב פרס,28
111,הרב מוהליבר,28
113,שד ויצמן,28
115,לוי חיים,28
116,רוטשילד,28
117,הגורן,28
118,המייסדים,28
119,ארקין אליעזר,28
120,רודבסקי יוסף,28
121,שמיר דב,28
122,הדרים,28
123,אשכול,28
124,שד אליהו,28
125,"הנשיא שז""ר",28
127,שחם יואב,28
128,הצנחנים,28
129,בית און,28
130,זטוצקי יעקב,28
131,אלון יגאל,28
132,יסמין,28
133,נופר,28
134,קרן היסוד,28
135,הכנסת אורחים,28
136,הנוטרים,28
138,המגן,28
139,רקפת,28
140,רותם,28
141,תמר,28
142,סיגלית,28
143,ורד,28
144,דקל,28
145,רימון,28
146,זית,28
147,גפן,28
148,התאנה,28
149,חיטה,28
150,אורן,28
151,אלה,28
152,ארז,28
153,אשל,28
154,ברוש,28
155,דובדבן,28
156,חרוב,28
157,שקד,28
158,דולב,28
159,לילך,28
160,"ברי""ל יחיאל",28
161,האחים ארקין,28
162,לסקובסקי יעקב,28
163,משה מלר,28
164,רובינשטיין יהושע,28
165,דב,28
166,גלמן אברהם יעקב,28
167,ברוך צבי ברנשטיין,28
168,אנפה,28
169,חרצית,28
170,אלוני דב,28
171,זמיר,28
172,חיים משה פרס,28
173,יחזקאל לוין,28
174,גולד יעקב,28
175,בבילה אליהו,28
176,נורית,28
177,קאלגרי,28
178,סמטת נחום (נעים),28
180,הרשקוביץ,28
181,שקולניק אפרים,28
182,ניימן מרדכי,28
183,לויטה אהרון זליג,28
184,שרשבסקי גרשון,28
185,מידון,28
186,העצמאות,28
187,וויסברג שלמה,28
188,"פלמ""ח",28
189,גבעתי,28
190,"סמ ש""י",28
191,סמ הבאר,28
192,הצבי,28
193,שד מוטה גור,28
194,סבידור מנחם,28
195,הניצחון,28
196,מלר חיים,28
197,ההגנה,28
198,בן גוריון,28
199,מבצע יכין,28
200,משעול ספיר פנחס,28
201,משעול דיין משה,28
202,משעול שרת משה,28
203,משעול שלמה,28
206,דרך היין,28
207,שביל התפוזים,28
208,כפות תמרים,28
220,הבציר,28
221,האסיף,28
222,הקציר,28
223,הקטיף,28
224,המסיק,28
240,שד רפאל סויסה,28
241,גולדה מאיר,28
242,גרוסמן חייקה,28
243,אידלסון בבה,28
244,סולד הנרייטה,28
245,שוחט מניה,28
246,סנש חנה,28
