ms_tavla,kod,teur
0,2,סוג מקום
0,3,כניסה יציאה
0,4,חומרת תאונה
0,5,סוג תאונה
0,6,תוואי הדרך
0,7,נתוני תשתית כללי
0,8,גאומטריה
0,10,דרך חד מסלולית
0,11,דרך דו מסלולית
0,12,מהירות מותרת
0,13,תקינות הדרך
0,14,רוחב הכביש במטר
0,16,תאורה
0,17,תמרור רמזור בצומת
0,18,מזג אוויר
0,19,מצב פני הכביש
0,20,יעוד הרכב
0,21,התנגשות עם עצם דומם
0,22,מרחק העצם משפת הכביש
0,23,לא חצה את הכביש
0,24,התנהגות הולך רגל
0,25, חצה את הכביש
0,26,כיוון חציה
0,27, סוג תיק
0,28,כיוון נסיעה
0,29,חומרת הנזק
0,31, סוג מעורב
0,34,אמצעי בטיחות
0,35,חומרת פגיעה
0,37, סוג יום
0,38, יום לילה
0,39, יום בשבוע
0,40, מרומזר
0,42, נפח
0,43,סוג לוחית
0,44, משקל כולל
0,46, פטירה מאוחרת
0,47, סטטוס עיגון מקובץ
0,48,סוג רכב מקובץ
0,49,
0,50, סוג נפגע מקובץ
0,52,פעולת נפגע
0,60,חודש לועזי 
0,66, קבוצת אוכלוסיה
0,67, מגדר (מין)
0,68, האם יהודה ושומרון
0,77,מחוז
0,78,מעמד מונציפלי
0,79,נפה
0,80,אזור טבעי
0,81,צורת יישוב
0,92, קבוצת גיל
0,93, שעה מקובץ
0,97,
2,1,עירונית לא בצומת
2,2,עירונית בצומת (כולל צמתים בגבולות יישובים)
2,3,לא-עירונית לא בצומת
2,4,לא-עירונית בצומת (כולל מפגש של כביש ורחוב)
2,5,קואורדינאטות
2,6,מקומות
2,7,כתובת מגורים
3,1279,ביציאה ממחלף
3,1280,בכניסה למגרש חניה
3,1281,ביציאה מתחנת דלק
3,1429,בכניסה למחלף
3,1448,בכניסה לתחנת אוטובוס
3,1449,ביציאה מתחנת אוטובוס
4,811,קטלנית
4,812,קשה
4,813,קלה
4,1492,נזק בלבד
5,0,אחר
5,1205,התנגש חזית באחור
5,1206,התנגש צד בצד
5,1207,התנגש חזית בחזית
5,1208,התנגש עם רכב שנעצר
5,1209,התנגש עם רכב חונה
5,1210,התנגש עם עצם דומם
5,1211,ירידה מהכביש
5,1212,התהפכות
5,1213,החלקה
5,1214,פגיעה בנוסע רכב
5,1215,נפילה מרכב נע
5,1216,שריפה
5,1217,פגיעה ממטען
