TeunaID_FKT,MisparRechev_FKT,MisparZehut_FKT,shnatTeuna,chodeshTeuna,SugMeoravLMS,ShnatHozaa,SemelKvuzaGil,MinMSV,SugRechevMekubatzLMS,KodEmtzaeiBetichut,SemelYishuvMegurimLMS,KodChumratPgiaMeshulevet,KodSugNifgaNekubatzLMS,KodPeulatNifga,KvutzatUchlusiaLMS,SemelMahozMegurim,SemelNafaMegurim,SemelEzorTiviMegurim,SemelMaamadMuniOMoezaMegurim,SemelZuratYeshuvShotefMegurim,SemelSugTikLMS,ShimushBeAvizareyBetihutLMS,IsPtiraMeucheret,KodLoChatzaEtHakvish,KodHitnahagutHolechRegel,KodChatzaEtHakvish,KodKivunChatziya
2019000174,0,2,2019,4,3,,11,2,,,5000,1194,1,,3,5,51,511,0,130,1,1,,,1067,1069,1074
2019000174,1,1,2019,4,1,1972,14,1,1,1055,8600,0,0,1063,1,5,52,512,0,140,1,,,,,,
2019028833,0,2,2019,4,3,,15,2,,,4000,1194,1,,1,3,31,311,0,130,1,1,,1080,2188,,
2019028833,1,1,2019,4,1,,5,1,36,1055,70,0,0,1063,3,6,61,613,0,130,1,,,,,,
2019000367,0,2,2019,9,3,,3,2,,,5000,108,1,,1,5,51,511,0,130,1,,,,1066,1070,1073
2019000367,1,1,2019,9,1,1957,17,2,1,1050,5000,0,0,1063,1,5,51,511,0,130,1,,,,,,
2019000517,2,2,2019,9,1,,99,,17,1055,0,0,0,1063,1,9,0,999,,0,1,,,,,,
2019000517,1,1,2019,9,2,2010,6,1,34,1055,4000,108,12,1056,1,3,31,311,0,130,1,,,,,,
2019000671,1,2,2019,2,1,2004,7,1,12,1055,5000,0,0,1063,3,5,51,511,0,130,1,,,,,,
2019000671,2,1,2019,2,2,,7,1,36,1051,229,108,10,1056,1,4,42,422,0,160,1,,,,,,
2019000124,1,1,2019,6,2,1991,10,1,9,1051,2600,108,4,1056,1,6,62,625,0,150,1,,,,,,
2019000124,2,2,2019,6,1,,99,,17,1055,,0,0,1063,1,9,0,999,,0,1,,,,,,
2019000300,2,2,2019,7,2,1995,11,1,9,1051,6200,108,4,1056,3,5,53,513,0,140,1,,,,,,
2019000300,1,1,2019,7,1,1975,13,2,1,1050,8600,0,0,1063,1,5,52,512,0,140,1,,,,,,
2019000069,1,2,2019,9,1,1982,12,1,11,1055,8500,0,0,1063,1,4,43,432,0,150,1,,,,,,
2019000069,1,1,2019,9,3,,17,2,11,1055,5000,108,3,1063,1,5,51,511,0,130,1,,,,,,
2019000116,2,2,2019,11,1,,99,,17,1055,,0,0,1063,1,9,0,999,,0,1,,,,,,
2019000116,1,1,2019,11,2,2018,6,1,10,1055,1061,108,4,1056,3,2,25,237,0,160,1,,,,,,
2019000431,2,1,2019,12,2,2012,6,2,9,1051,8700,108,4,1056,1,4,42,421,0,150,1,,,,,,
2019000431,1,2,2019,12,1,1996,11,1,1,1055,6200,0,0,1063,1,5,53,513,0,140,1,,,,,,
