TeunaID_FKT,MisparRechev_FKT,shnatTeuna,chodeshTeuna,NefahLMS,ShnatYitzurMSV,KodKivuneNesia,KodYeudHarechev,KodSugLuchit,KodChumratHanezek,SugRechevMekubatzLMS,MekomotYeshivaLMS,MishkalKolelLMS,SemelSugTikLMS
2019000517,2,2019,9,0,0,0,0,1,1970,17,,0,1
2019000517,1,2019,9,0,0,0,0,1,1020,34,,0,1
2019000671,1,2019,2,6,2014,1122,0,1,1020,12,3,1,1
2019000671,2,2019,2,0,0,2211,0,1,1022,36,,0,1
2019000174,1,2019,4,6,2016,4433,0,1,1020,1,3,1,1
2019028833,1,2019,4,0,0,2211,0,1,1019,36,,0,1
2019000124,1,2019,6,2,2012,4433,0,1,1020,9,1,1,1
2019000124,2,2019,6,0,0,4433,0,1,1019,17,,0,1
2019000300,2,2019,7,2,2011,2211,0,1,1019,9,1,0,1
2019000300,1,2019,7,6,2016,1144,0,1,1019,1,3,1,1
2019000069,1,2019,9,13,2016,2211,0,1,1019,11,36,12,1
2019000367,1,2019,9,6,2018,4433,0,1,1019,1,3,1,1
2019000116,2,2019,11,0,0,4433,0,1,1019,17,,0,1
2019000116,1,2019,11,2,2014,4433,0,1,1020,10,1,1,1
2019000431,2,2019,12,2,2017,3344,0,1,1019,9,1,0,1
2019000431,1,2019,12,5,2017,1122,0,1,1020,1,3,1,1
