road_segment_name_cbs,road_segment_name,road_segment_id,road,segment,provider_code,2020_cbs,2020_anyway,2021_cbs,2021_anyway,2022_cbs,2022_anyway,junctions_ids_in_segment,junctions_names_in_segment,road_names_matches,2020_match,2021_match,2022_match,all_match,diff_anyway_cbs
מחלף קיבוץ גלויות - מחלף גנות,מחלף קיבוץ גלויות - מחלף גנות,10010.0,1,10,1,12.0,12,17.0,17,20.0,20,"[1, 3]","['מחלף קיבוץ גלויות', 'כניסה לחברת חשמל, ת""א']",True,True,True,True,True,0.0
מחלף קיבוץ גלויות - מחלף גנות,מחלף קיבוץ גלויות - מחלף גנות,10010.0,1,10,3,55.0,49,122.0,123,148.0,148,"[1, 3]","['מחלף קיבוץ גלויות', 'כניסה לחברת חשמל, ת""א']",True,False,False,True,False,-5.0
מחלף גנות - מחלף שפירים,מחלף גנות - מחלף שפירים,10020.0,1,20,1,6.0,6,2.0,2,9.0,9,[5],['מחלף גנות'],True,True,True,True,True,0.0
מחלף גנות - מחלף שפירים,מחלף גנות - מחלף שפירים,10020.0,1,20,3,29.0,29,39.0,40,53.0,53,[5],['מחלף גנות'],True,True,False,True,False,1.0
מחלף שפירים - מחלף בן גוריון,מחלף שפירים - מחלף בן גוריון,10030.0,1,30,1,3.0,3,2.0,2,14.0,14,"[7, 3920]","['מחלף שפירים', 'צומת']",True,True,True,True,True,0.0
מחלף שפירים - מחלף בן גוריון,מחלף שפירים - מחלף בן גוריון,10030.0,1,30,3,19.0,19,33.0,33,52.0,52,"[7, 3920]","['מחלף שפירים', 'צומת']",True,True,True,True,True,0.0
מחלף בן גוריון - מחלף לוד,מחלף בן גוריון - מחלף לוד,10040.0,1,40,1,3.0,3,2.0,2,2.0,2,[11],['מחלף בן גוריון'],True,True,True,True,True,0.0
מחלף בן גוריון - מחלף לוד,מחלף בן גוריון - מחלף לוד,10040.0,1,40,3,3.0,3,9.0,9,7.0,7,[11],['מחלף בן גוריון'],True,True,True,True,True,0.0
מחלף לוד - מחלף בן שמן,מחלף לוד - מחלף בן שמן,10050.0,1,50,1,3.0,3,8.0,8,5.0,5,"[13, 12119]","['מחלף לוד', 'מחלף בן שמן מערב']",True,True,True,True,True,0.0
מחלף לוד - מחלף בן שמן,מחלף לוד - מחלף בן שמן,10050.0,1,50,3,17.0,17,22.0,22,25.0,25,"[13, 12119]","['מחלף לוד', 'מחלף בן שמן מערב']",True,True,True,True,True,0.0
מחלף בן שמן - מחלף דניאל,מחלף בן שמן - מחלף דניאל,10052.0,1,52,1,3.0,3,3.0,3,3.0,3,"[3993, 12291]","['מחלף בן שמן', 'מחלף בן שמן דרום']",True,True,True,True,True,0.0
מחלף בן שמן - מחלף דניאל,מחלף בן שמן - מחלף דניאל,10052.0,1,52,3,30.0,30,41.0,41,37.0,37,"[3993, 12291]","['מחלף בן שמן', 'מחלף בן שמן דרום']",True,True,True,True,True,0.0
מחלף דניאל - מחלף ענבה,מחלף דניאל - מחלף ענבה,10054.0,1,54,3,8.0,8,13.0,13,12.0,12,[4193],['מחלף דניאל'],True,True,True,True,True,0.0
מחלף ענבה - מחלף לטרון,מחלף ענבה - מחלף לטרון,10056.0,1,56,1,4.0,4,3.0,3,5.0,5,"[4189, 10446]","['מחלף ענבה', 'צומת שעלבים']",True,True,True,True,True,0.0
מחלף ענבה - מחלף לטרון,מחלף ענבה - מחלף לטרון,10056.0,1,56,3,29.0,29,22.0,22,27.0,27,"[4189, 10446]","['מחלף ענבה', 'צומת שעלבים']",True,True,True,True,True,0.0
מחלף לטרון - מחלף שער הגיא,מחלף לטרון - מחלף שער הגיא,10060.0,1,60,1,3.0,3,2.0,2,0.0,0,[17],['מחלף לטרון'],True,True,True,True,True,0.0
מחלף לטרון - מחלף שער הגיא,מחלף לטרון - מחלף שער הגיא,10060.0,1,60,3,14.0,14,41.0,41,21.0,21,[17],['מחלף לטרון'],True,True,True,True,True,0.0
מחלף שער הגיא - מחלף שורש,מחלף שער הגיא - מחלף שורש,10062.0,1,62,1,6.0,6,5.0,5,5.0,5,"[19, 21]","['מחלף שער הגיא', 'צומת עוקף שער הגיא']",True,True,True,True,True,0.0
מחלף שער הגיא - מחלף שורש,מחלף שער הגיא - מחלף שורש,10062.0,1,62,3,47.0,47,45.0,44,45.0,45,"[19, 21]","['מחלף שער הגיא', 'צומת עוקף שער הגיא']",True,True,False,True,False,-1.0
מחלף שורש - מחלף חמד,מחלף שורש - מחלף חמד,10070.0,1,70,1,2.0,3,2.0,2,4.0,4,"[23, 25]","['מחלף שורש', 'מחלף קריית יערים']",True,False,True,True,False,1.0
מחלף שורש - מחלף חמד,מחלף שורש - מחלף חמד,10070.0,1,70,3,21.0,23,30.0,30,26.0,28,"[23, 25]","['מחלף שורש', 'מחלף קריית יערים']",True,False,True,False,False,4.0
מחלף חמד - כניסה למנהרה מערב,מחלף חמד - כניסה למנהרה מערב,10076.0,1,76,1,3.0,3,3.0,3,1.0,1,"[27, 29, 31]","['מחלף חמד', 'צומת בית נקופה', 'צומת עין חמד']",True,True,True,True,True,0.0
מחלף חמד - כניסה למנהרה מערב,מחלף חמד - כניסה למנהרה מערב,10076.0,1,76,3,13.0,13,28.0,28,29.0,29,"[27, 29, 31]","['מחלף חמד', 'צומת בית נקופה', 'צומת עין חמד']",True,True,True,True,True,0.0
כניסה למנהרה מערב - מחלף מוצא,כניסה למנהרה מערב - מחלף מוצא,10080.0,1,80,1,5.0,5,4.0,4,6.0,6,"[33, 35, 37, 9824, 10058, 11043, 12244]","['מחלף הראל', 'כניסה למבשרת ציון', 'צומת מוצא עילית', 'צומת בית זית', 'כניסה למנהרה מזרח', 'כניסה למנהרה מערב', 'כניסה לירושלים כביש 16']",True,True,True,True,True,0.0
כניסה למנהרה מערב - מחלף מוצא,כניסה למנהרה מערב - מחלף מוצא,10080.0,1,80,3,60.0,60,93.0,92,77.0,77,"[33, 35, 37, 9824, 10058, 11043, 12244]","['מחלף הראל', 'כניסה למבשרת ציון', 'צומת מוצא עילית', 'צומת בית זית', 'כניסה למנהרה מזרח', 'כניסה למנהרה מערב', 'כניסה לירושלים כביש 16']",True,True,False,True,False,-1.0
מחלף מוצא - מחלף שער מוריה,מחלף מוצא - מחלף שער מוריה,10090.0,1,90,1,1.0,1,0.0,0,2.0,2,"[39, 3746]","['מחלף מוצא', 'צומת יציאה מבית זית']",True,True,True,True,True,0.0
מחלף מוצא - מחלף שער מוריה,מחלף מוצא - מחלף שער מוריה,10090.0,1,90,3,4.0,4,16.0,16,10.0,13,"[39, 3746]","['מחלף מוצא', 'צומת יציאה מבית זית']",True,True,True,False,False,3.0
מחלף שער מוריה - מחלף יצחק שמיר,מחלף שער מוריה - מחלף יצחק שמיר,10100.0,1,100,1,0.0,0,1.0,1,1.0,1,[11044],['מחלף שער מוריה'],True,True,True,True,True,0.0
מחלף שער מוריה - מחלף יצחק שמיר,מחלף שער מוריה - מחלף יצחק שמיר,10100.0,1,100,3,5.0,5,2.0,2,14.0,14,[11044],['מחלף שער מוריה'],True,True,True,True,True,0.0
מחלף יצחק שמיר - מחלף רמת שלמה,מחלף יצחק שמיר - מחלף יגאל ידין,10110.0,1,110,1,3.0,2,2.0,1,4.0,4,[11288],['מחלף יצחק שמיר'],False,False,False,True,False,-2.0
מחלף יצחק שמיר - מחלף רמת שלמה,מחלף יצחק שמיר - מחלף יגאל ידין,10110.0,1,110,3,0.0,0,2.0,2,6.0,5,[11288],['מחלף יצחק שמיר'],False,True,True,False,False,-1.0
,מחלף יגאל ידין - מחלף רמת שלמה,10115.0,1,115,1,,1,,1,,0,[4205],['מחלף יגאל ידין'],False,False,False,False,False,2.0
,מחלף יגאל ידין - מחלף רמת שלמה,10115.0,1,115,3,,0,,0,,1,[4205],['מחלף יגאל ידין'],False,False,False,False,False,1.0
מחלף רמת שלמה - צומת הגבעה הצרפתית,מחלף רמת שלמה - צומת הגבעה הצרפתית,10120.0,1,120,3,0.0,0,0.0,1,3.0,3,"[12303, 12304]","['כניסה לרח שיירת עטרות ירושלים', 'מחלף רמת שלמה']",True,True,False,True,False,1.0
צומת הגבעה הצרפתית - כניסה לעיסאוויה,צומת הגבעה הצרפתית - כניסה לעיסאוויה,10130.0,1,130,1,3.0,3,1.0,1,0.0,0,"[10059, 11981, 12301, 12302]","['כניסה לדרך האלוף עוזי נרקיס', 'כניסה לירושליים שד משה דיין', 'כניסה לירושלים רח הרב רוזובסקי', 'צומת הגבעה הצרפתית']",True,True,True,True,True,0.0
צומת הגבעה הצרפתית - כניסה לעיסאוויה,צומת הגבעה הצרפתית - כניסה לעיסאוויה,10130.0,1,130,3,2.0,2,4.0,3,8.0,8,"[10059, 11981, 12301, 12302]","['כניסה לדרך האלוף עוזי נרקיס', 'כניסה לירושליים שד משה דיין', 'כניסה לירושלים רח הרב רוזובסקי', 'צומת הגבעה הצרפתית']",True,True,False,True,False,-1.0
כניסה לעיסאוויה - מחלף אדומים,כניסה לעיסאוויה - מחלף אדומים,10872.0,1,872,1,1.0,1,5.0,5,8.0,8,"[7171, 9154, 10066]","['מחלף הזיתים', 'צומת למעלה אדומים', 'כניסה לעיסאוויה']",True,True,True,True,True,0.0
כניסה לעיסאוויה - מחלף אדומים,כניסה לעיסאוויה - מחלף אדומים,10872.0,1,872,3,9.0,9,17.0,18,26.0,27,"[7171, 9154, 10066]","['מחלף הזיתים', 'צומת למעלה אדומים', 'כניסה לעיסאוויה']",True,True,False,False,False,2.0
