"TABLE 8.- MOTOR VEHICLES REGITERED IN CITIES, ",,,,,,,,,,,,"לוח 8.- כלי רכב מנועיים הרשומים בערים,"
"                     BY TYPE OF VEHICLE",,,,,,,,,,,,"              לפי סוג כלי רכב"
,,,,,,,,,,,,
"Absolute numbers",,,,,,,2009,,,,,"מספרים מוחלטים"
," Type of vehicle",,,,,,,,,"סוג כלי רכב","אוכלוסייה",
,"אופנוע","כלי","מונית","אוטובוס","אוטובוס","Truck",,"משאית","כלי","סך כולל","קבועה(1)",
,,"רכב",,,"זעיר","מעל 3.5","עד 3.5 ","סך הכל","רכב פרטי",,"בסוף 2009",
"City",,"מיוחד",,,,"טונות","טונות",,,,"Permanent","עיר"
,,,,,,,,,,,"population(1)",
,"Motor-","Special","Taxi","Bus","Minibus","Over","Up  to","Total","Private","Grand","at end of ",
,"cycle","vehicle",,,,"3.5 tons","3.5 tons",,"car"," total",2009,
" Total","90,893 ","3,244 ","16,097 ","11,658 ","10,473 ","44,377 ","193,733 ","238,110 ","1,517,537 ","1,888,012 ","5,694,200 ","סך הכל"
"Umm Al-Fahm","107 ","2 ","64 ","17 ","134 ","316 ","1,905 ","2,221 ","8,152 ","10,697 ","46,100 ","אום אל-פחם"
"Ofaqim","95 ","2 ","26 ","99 ","65 ","60 ","528 ","588 ","3,694 ","4,569 ","24,000 ","אופקים"
"Or Yehuda","595 ","8 ","319 ","186 ","176 ","341 ","1,242 ","1,583 ","8,386 ","11,253 ","34,400 ","אור יהודה"
"Or Aqiva","88 ","3 ","23 ","31 ","58 ","83 ","522 ","605 ","3,601 ","4,409 ","16,100 ","אור עקיבא"
"Elat","1,650 ","32 ","303 ","41 ","59 ","384 ","1,905 ","2,289 ","10,520 ","14,894 ","47,400 ","אילת"
"Elad","189 ","1 ","20 ","3 ","30 ","44 ","614 ","658 ","3,056 ","3,957 ","36,300 ","אלעד"
"Ari'el","131 ","1 ","20 ","24 ","40 ","65 ","436 ","501 ","3,695 ","4,412 ","17,600 ","אריאל"
"Ashdod","1,006 ","52 ","559 ","163 ","336 ","1,464 ","4,406 ","5,870 ","36,293 ","44,279 ","206,400 ","אשדוד"
"Ashqelon","700 ","83 ","321 ","82 ","213 ","851 ","3,551 ","4,402 ","23,964 ","29,765 ","111,900 ","אשקלון"
"Baqa-Jatt","166 ","21 ","72 ","21 ","138 ","401 ","1,703 ","2,104 ","7,254 ","9,776 ","34,300 ","באקה-ג'ת"
"Be'er Sheva","1,245 ","92 ","610 ","494 ","441 ","1,511 ","5,150 ","6,661 ","38,386 ","47,929 ","194,300 ","באר שבע"
"Bet She'an","182 ","2 ","7 ","50 ","28 ","131 ","511 ","642 ","3,612 ","4,523 ","16,900 ","בית שאן"
"Bet Shemesh","212 ","23 ","127 ","81 ","111 ","203 ","1,552 ","1,755 ","7,595 ","9,904 ","77,100 ","בית שמש"
"Betar Illit","60 ","- ","2 ","21 ","55 ","24 ","358 ","382 ","1,347 ","1,867 ","35,000 ","ביתר עילית"
"Bene Beraq","1,688 ","65 ","106 ","138 ","193 ","996 ","6,645 ","7,641 ","73,246 ","83,077 ","154,400 ","בני ברק"
" Bat Yam","2,754 ","14 ","897 ","24 ","114 ","566 ","3,139 ","3,705 ","26,123 ","33,631 ","130,000 ","בת ים"
"Giv'at Shemuel","622 ","5 ","38 ","3 ","28 ","78 ","692 ","770 ","5,726 ","7,192 ","21,800 ","גבעת שמואל"
"Giv'atayim","2,466 ","11 ","194 ","2 ","31 ","136 ","1,308 ","1,444 ","16,130 ","20,278 ","53,000 ","גבעתיים"
"Dimona","155 ","3 ","84 ","43 ","44 ","215 ","785 ","1,000 ","5,617 ","6,946 ","32,400 ","דימונה"
"Hod HaSharon","964 ","10 ","90 ","9 ","54 ","345 ","2,153 ","2,498 ","15,416 ","19,041 ","47,200 ","הוד השרון"
"Herzliyya","2,504 ","34 ","203 ","57 ","66 ","579 ","3,928 ","4,507 ","31,796 ","39,167 ","87,000 ","הרצלייה"
"Hadera","961 ","57 ","87 ","106 ","161 ","640 ","2,679 ","3,319 ","20,157 ","24,848 ","80,200 ","חדרה"
"Holon","4,571 ","80 ","1,406 ","93 ","192 ","1,768 ","6,304 ","8,072 ","46,746 ","61,160 ","184,700 ","חולון"
" Haifa","2,370 ","194 ","488 ","278 ","203 ","2,284 ","9,382 ","11,666 ","85,392 ","100,591 ","265,600 ","חיפה"
"Tiberias","543 ","16 ","88 ","35 ","68 ","294 ","1,235 ","1,529 ","8,314 ","10,593 ","41,300 ","טבריה"
"Tayibe","60 ","20 ","65 ","89 ","240 ","395 ","1,848 ","2,243 ","7,660 ","10,377 ","36,500 ","טייבה"
" Tire","99 ","9 ","29 ","16 ","117 ","374 ","1,377 ","1,751 ","5,383 ","7,404 ","22,600 ","טירה"
"Tirat Karmel","78 ","8 ","127 ","9 ","8 ","130 ","492 ","622 ","4,275 ","5,127 ","18,600 ","טירת כרמל"
" Tamra","77 ","8 ","31 ","29 ","67 ","214 ","1,267 ","1,481 ","5,723 ","7,416 ","28,700 ","טמרה"
"Yavne","395 ","5 ","103 ","43 ","78 ","506 ","1,473 ","1,979 ","9,192 ","11,795 ","33,000 ","יבנה"
"Yehud-Newe Efrayim","750 ","4 ","105 ","9 ","21 ","196 ","1,228 ","1,424 ","8,487 ","10,800 ","26,500 ","יהוד-נווה אפרים"
"Yoqne'am Illit","117 ","- ","15 ","4 ","23 ","74 ","467 ","541 ","4,882 ","5,582 ","19,100 ","יקנעם עילית"
" Jerusalem","7,167 ","245 ","1,796 ","1,302 ","2,410 ","4,548 ","20,907 ","25,455 ","130,367 ","168,742 ","773,000 ","ירושלים"
"Kefar Sava","1,334 ","46 ","195 ","21 ","96 ","685 ","3,670 ","4,355 ","31,293 ","37,340 ","83,700 ","כפר סבא"
"Kafar Qasem","55 ","17 ","81 ","52 ","136 ","415 ","879 ","1,294 ","3,535 ","5,170 ","18,800 ","כפר קאסם"
"Karmi'el","324 ","4 ","49 ","83 ","133 ","321 ","992 ","1,313 ","10,302 ","12,208 ","44,100 ","כרמיאל"
"Lod","401 ","35 ","183 ","107 ","206 ","621 ","2,862 ","3,483 ","32,518 ","36,933 ","69,800 ","לוד"
"Migdal HaEmeq","148 ","4 ","12 ","17 ","43 ","138 ","531 ","669 ","4,985 ","5,878 ","23,900 ","מגדל העמק"
"Modi'in Illit","60 ","- ","2 ","6 ","35 ","13 ","342 ","355 ","1,527 ","1,985 ","46,200 ","מודיעין עילית"
"Modi'in-Makkabbim-
  Re'ut","723 ","6 ","104 ","3 ","39 ","138 ","1,738 ","1,876 ","19,122 ","21,873 ","72,700 ","מודיעין-מכבים-
  רעות"
"Ma'ale Adummim","410 ","3 ","112 ","14 ","43 ","145 ","790 ","935 ","8,123 ","9,640 ","34,300 ","מעלה אדומים"
"Ma'alot-Tarshiha","95 ","3 ","20 ","34 ","45 ","67 ","641 ","708 ","4,789 ","5,694 ","20,600 ","מעלות-תרשיחא"
"Nahariyya","876 ","18 ","51 ","128 ","45 ","314 ","1,448 ","1,762 ","12,779 ","15,659 ","51,200 ","נהרייה"
"Nes Ziyyona","536 ","6 ","107 ","4 ","23 ","179 ","1,281 ","1,460 ","11,461 ","13,597 ","38,100 ","נס ציונה"
" Nazareth","324 ","23 ","203 ","356 ","186 ","860 ","3,632 ","4,492 ","16,125 ","21,709 ","72,200 ","נצרת"
"Nazerat Illit","156 ","4 ","33 ","23 ","49 ","187 ","1,008 ","1,195 ","9,670 ","11,130 ","40,800 ","נצרת עילית"
"Nesher","168 ","14 ","29 ","- ","12 ","253 ","650 ","903 ","6,101 ","7,227 ","23,600 ","נשר"
"Netivot","75 ","8 ","60 ","42 ","64 ","187 ","783 ","970 ","3,884 ","5,103 ","26,700 ","נתיבות"
"Netanya","2,612 ","60 ","512 ","101 ","188 ","1,229 ","5,678 ","6,907 ","41,904 ","52,284 ","183,200 ","נתניה"
"Sakhnin","31 ","- ","39 ","13 ","76 ","170 ","1,086 ","1,256 ","5,867 ","7,282 ","25,700 ","סח'נין"
"Akko","407 ","37 ","82 ","50 ","48 ","268 ","1,059 ","1,327 ","9,319 ","11,270 ","46,300 ","עכו"
"Afula","306 ","32 ","58 ","183 ","57 ","267 ","1,184 ","1,451 ","9,303 ","11,390 ","40,500 ","עפולה"
"Arad","162 ","2 ","43 ","71 ","95 ","101 ","768 ","869 ","4,287 ","5,529 ","23,400 ","ערד"
"Petah Tiqwa","4,265 ","121 ","767 ","113 ","212 ","2,186 ","8,503 ","10,689 ","115,120 ","131,287 ","209,600 ","פתח תקווה"
"Zefat","213 ","5 ","48 ","56 ","55 ","89 ","817 ","906 ","4,639 ","5,922 ","29,500 ","צפת"
"Qalansawe","47 ","5 ","11 ","10 ","77 ","145 ","925 ","1,070 ","3,379 ","4,599 ","18,700 ","קלנסווה"
"Qiryat Ono","916 ","10 ","144 ","8 ","16 ","109 ","1,006 ","1,115 ","9,724 ","11,933 ","31,000 ","קריית אונו"
"Qiryat Atta","489 ","7 ","102 ","88 ","123 ","557 ","1,598 ","2,155 ","12,173 ","15,137 ","50,700 ","קריית אתא"
"Qiryat Bialik","340 ","10 ","66 ","9 ","27 ","329 ","1,094 ","1,423 ","10,274 ","12,149 ","37,300 ","קריית ביאליק"
"Qiryat Gat","240 ","4 ","112 ","66 ","86 ","252 ","1,154 ","1,406 ","8,330 ","10,244 ","47,400 ","קריית גת"
"Qiryat Yam","228 ","14 ","81 ","4 ","39 ","138 ","614 ","752 ","7,791 ","8,909 ","37,700 ","קריית ים"
"Qiryat Motzkin","285 ","6 ","98 ","- ","49 ","165 ","845 ","1,010 ","10,470 ","11,918 ","38,000 ","קריית מוצקין"
"Qiryat Mal'akhi","79 ","15 ","15 ","22 ","53 ","314 ","696 ","1,010 ","3,852 ","5,046 ","20,600 ","קריית מלאכי"
"Qiryat Shemona","240 ","24 ","46 ","73 ","54 ","242 ","759 ","1,001 ","5,491 ","6,929 ","23,100 ","קריית שמונה"
"Rosh HaAyin","656 ","8 ","87 ","26 ","78 ","508 ","1,416 ","1,924 ","11,188 ","13,967 ","38,500 ","ראש העין"
"Rishon LeZiyyon","3,990 ","100 ","1,017 ","263 ","269 ","2,034 ","8,398 ","10,432 ","67,341 ","83,412 ","228,200 ","ראשון לציון"
"Rahat","28 ","6 ","7 ","13 ","464 ","618 ","1,983 ","2,601 ","4,154 ","7,273 ","51,700 ","רהט"
"Rehovot","1,201 ","43 ","359 ","61 ","168 ","547 ","3,113 ","3,660 ","30,032 ","35,524 ","112,700 ","רחובות"
"Ramla","351 ","34 ","274 ","286 ","216 ","1,683 ","2,314 ","3,997 ","13,882 ","19,040 ","65,800 ","רמלה"
"Ramat Gan","6,256 ","46 ","657 ","34 ","106 ","992 ","5,039 ","6,031 ","42,206 ","55,336 ","145,000 ","רמת גן"
"Ramat HaSharon","1,168 ","19 ","99 ","11 ","22 ","394 ","1,868 ","2,262 ","15,533 ","19,114 ","40,600 ","רמת השרון"
"Ra'annana","1,286 ","10 ","85 ","38 ","63 ","247 ","2,690 ","2,937 ","23,795 ","28,214 ","68,300 ","רעננה"
"Sederot","94 ","10 ","85 ","84 ","68 ","170 ","685 ","855 ","4,092 ","5,288 ","20,700 ","שדרות"
"Shefar'am","128 ","34 ","54 ","30 ","42 ","253 ","1,584 ","1,837 ","7,764 ","9,889 ","36,200 ","שפרעם"
"Tel Aviv-Yafo","24,423 ","1,281 ","1,483 ","5,453 ","565 ","5,631 ","23,918 ","29,549 ","189,226 ","251,980 ","403,700 ","תל אביב-יפו"
" (1) Population data - based on temporary estimate for the year 2009.",,,,,,,,,,,,"(1) נתוני האוכלוסייה - על בסיס אומדן ארעי לשנת 2009."
