"TABLE 8.- MOTOR  VEHICLES REGISTERED IN CITIES,(1)",,,,,,,,,,,,"לוח 8.- כלי רכב מנועיים הרשומים  בערים,(1)"
"                     BY TYPE OF VEHICLE",,,,,,,,,,,,"              לפי סוג כלי רכב"
,,,,,,,,,,,,
"Absolute numbers",,,,,,2012,,,,,,"מספרים מוחלטים"
," Type of vehicle",,,,,,,,,"סוג כלי רכב","אוכלוסייה",
,"אופנוע","כלי","מונית","אוטובוס","אוטובוס","Truck",,"משאית","כלי","סך כולל","קבועה (2)",
,,"רכב",,,"זעיר","מעל 3.5","עד 3.5 ","סך הכל","רכב פרטי",,"בסוף 2012",
"City",,"מיוחד",,,,"טונות","טונות",,,,"Permanent","עיר"
,,,,,,,,,,,"population (2)",
,"Motor-","Special","Taxi","Bus","Minibus","Over","Up  to","Total","Private","Grand","at the end of ",
,"cycle","vehicle",,,,"3.5 tons","3.5 tons",,"car"," total",2012,
" Total","98,523","3,693","16,608","12,440","9,667","52,039","173,918","225,957","1,682,368 ","2,049,256 ","5,943,900 ","סך הכל"
"Umm Al-Fahm",307,2,58,29,120,401,"2,112","2,513","10,213 ","13,242 ","49,500 ","אום אל-פחם"
"Ofaqim",113,2,32,92,63,86,486,572,"4,259 ","5,133 ","24,600 ","אופקים"
"Or Yehuda",670,13,327,490,212,439,"1,107","1,546","9,188 ","12,446 ","35,300 ","אור יהודה"
"Or Aqiva",115,3,20,24,39,98,487,585,"4,259 ","5,045 ","16,200 ","אור עקיבא"
"Elat","1,485",27,277,47,52,410,"1,662","2,072","11,780 ","15,740 ","47,700 ","אילת"
"Elad",210,0,26,6,28,57,643,700,"3,786 ","4,756 ","41,400 ","אלעד"
"Ari'el",152,1,19,58,39,78,425,503,"4,104 ","4,876 ","18,200 ","אריאל"
"Ashdod","1,137",57,543,151,353,"1,621","3,951","5,572","42,302 ","50,115 ","214,900 ","אשדוד"
"Ashqelon",979,65,338,78,186,"1,118","3,469","4,587","28,866 ","35,099 ","120,000 ","אשקלון"
"Baqa-Al-Gharbiyye",261,22,61,32,94,419,"1,332","1,751","6,316 ","8,537 ","26,800 ","באקה אל-גרביה"
"Be'er Sheva","1,289",72,599,535,399,"1,728","5,208","6,936","44,929 ","54,759 ","197,300 ","באר שבע"
"Bet She'an",223,2,8,40,31,128,447,575,"4,072 ","4,951 ","17,200 ","בית שאן"
"Bet Shemesh",278,7,127,76,105,268,"1,272","1,540","9,238 ","11,371 ","89,800 ","בית שמש"
"Betar Illit",79,0,2,29,48,31,372,403,"1,854 ","2,415 ","42,500 ","ביתר עילית"
"Bene Beraq","2,153",61,104,150,177,"1,150","5,195","6,345","80,548 ","89,538 ","168,800 ","בני ברק"
" Bat Yam","2,942",13,897,18,87,626,"2,836","3,462","27,921 ","35,340 ","129,400 ","בת ים"
"Giv'at Shemuel",670,4,51,5,29,88,591,679,"6,790 ","8,228 ","23,700 ","גבעת שמואל"
"Giv'atayim","2,576",2,196,3,24,160,"1,039","1,199","17,445 ","21,445 ","55,700 ","גבעתיים"
"Dimona",233,5,82,55,61,322,796,"1,118","6,814 ","8,368 ","33,100 ","דימונה"
"Hod HaSharon","1,080",10,107,9,58,461,"1,770","2,231","19,155 ","22,650 ","51,000 ","הוד השרון"
"Herzliyya","2,637",20,223,80,50,769,"3,032","3,801","34,941 ","41,752 ","89,200 ","הרצלייה"
"Hadera","1,073",32,97,88,144,665,"2,373","3,038","22,952 ","27,424 ","84,100 ","חדרה"
"Holon","4,728",73,"1,509",104,165,"1,815","5,654","7,469","52,374 ","66,422 ","185,300 ","חולון"
" Haifa","2,466",318,458,282,174,"2,845","9,704","12,549","94,374 ","110,621 ","272,200 ","חיפה"
"Tiberias",608,16,93,28,51,308,"1,115","1,423","9,432 ","11,651 ","41,700 ","טבריה"
"Tayibe",87,23,65,61,192,485,"2,047","2,532","9,469 ","12,429 ","38,100 ","טייבה"
" Tire",193,11,29,12,93,434,"1,456","1,890","6,582 ","8,810 ","23,900 ","טירה"
"Tirat Karmel",101,10,127,14,4,164,432,596,"4,764 ","5,616 ","18,600 ","טירת כרמל"
" Tamra",80,11,35,36,58,268,"1,498","1,766","7,097 ","9,083 ","29,500 ","טמרה"
"Yavne",407,6,122,58,92,575,"1,261","1,836","10,544 ","13,065 ","34,200 ","יבנה"
"Yehud-Newe Efrayim",729,4,120,8,12,222,"1,060","1,282","9,519 ","11,674 ","27,900 ","יהוד"
"Yoqne'am Illit",126,2,17,4,27,94,398,492,"5,532 ","6,200 ","20,300 ","יקנעם עילית"
" Jerusalem","8,929",243,"1,752","1,474","1,996","5,062","20,135","25,197","147,987 ","187,578 ","815,300 ","ירושלים"
"Kefar Sava","1,551",39,225,14,63,805,"3,506","4,311","42,278 ","48,481 ","89,200 ","כפר סבא"
"Kafar Qasem",77,40,75,58,147,637,"1,006","1,643","4,519 ","6,559 ","21,100 ","כפר קאסם"
"Karmi'el",378,6,54,88,164,405,926,"1,331","11,427 ","13,448 ","44,900 ","כרמיאל"
"Lod",461,31,183,110,203,717,"2,699","3,416","38,512 ","42,916 ","71,100 ","לוד"
"Migdal HaEmeq",180,3,16,17,45,328,461,789,"5,553 ","6,603 ","24,400 ","מגדל העמק"
"Modi'in-Makkabbim-
  Re'ut",744,10,130,13,45,266,"1,449","1,715","23,646 ","26,303 ","82,900 ","מודיעין-מכבים-רעות"
"Modi'in Illit",91,0,3,11,42,30,375,405,"2,237 ","2,789 ","55,500 ","מודיעין עילית"
"Ma'ale Adummim",421,4,111,15,32,187,719,906,"9,355 ","10,844 ","36,900 ","מעלה אדומים"
"Ma'alot-Tarshiha",116,3,21,36,43,99,608,707,"5,466 ","6,392 ","21,100 ","מעלות-תרשיחא"
"Nahariyya",848,15,51,151,44,363,"1,249","1,612","14,184 ","16,905 ","53,000 ","נהרייה"
"Nes Ziyyona",606,8,112,4,10,239,"1,137","1,376","13,040 ","15,156 ","43,000 ","נס ציונה"
" Nazareth",528,26,197,555,185,997,"3,758","4,755","19,046 ","25,292 ","74,000 ","נצרת"
"Nazerat Illit",187,7,28,26,54,234,950,"1,184","10,933 ","12,419 ","40,800 ","נצרת עילית"
"Nesher",223,7,33,0,8,274,563,837,"6,929 ","8,037 ","23,200 ","נשר"
"Netivot",69,9,57,35,60,237,751,988,"4,730 ","5,948 ","28,700 ","נתיבות"
"Netanya","2,999",56,528,97,170,"1,380","5,065","6,445","49,615 ","59,910 ","192,200 ","נתניה"
"Sakhnin",65,0,41,69,113,205,"1,284","1,489","7,254 ","9,031 ","27,900 ","סח'נין"
"Akko",438,8,85,27,43,329,989,"1,318","10,866 ","12,785 ","47,200 ","עכו"
"Afula",328,18,58,176,40,295,"1,078","1,373","10,645 ","12,638 ","41,700 ","עפולה"
"Arad",174,1,47,91,111,144,924,"1,068","4,985 ","6,477 ","23,900 ","ערד"
"Petah Tiqwa","4,817",113,799,89,162,"2,928","6,873","9,801","92,948 ","108,729 ","213,900 ","פתח תקווה"
"Zefat",253,8,59,64,57,89,756,845,"5,340 ","6,626 ","32,100 ","צפת"
"Qalansawe",96,3,10,14,59,172,"1,117","1,289","4,267 ","5,738 ","20,200 ","קלנסווה"
"Qiryat Ono",983,11,161,6,16,137,800,937,"11,316 ","13,430 ","34,200 ","קריית אונו"
"Qiryat Atta",530,8,104,81,128,573,"1,394","1,967","13,868 ","16,686 ","52,700 ","קריית אתא"
"Qiryat Bialik",305,10,72,11,27,357,923,"1,280","11,732 ","13,437 ","38,200 ","קריית ביאליק"
"Qiryat Gat",268,6,104,79,100,294,"1,098","1,392","9,420 ","11,369 ","48,300 ","קריית גת"
"Qiryat Yam",255,13,81,4,23,167,604,771,"8,799 ","9,946 ","38,300 ","קריית ים"
"Qiryat Motzkin",284,8,120,0,41,183,709,892,"11,577 ","12,922 ","38,900 ","קריית מוצקין"
"Qiryat Mal'akhi",76,16,21,33,56,444,598,"1,042","4,500 ","5,744 ","21,200 ","קריית מלאכי"
"Qiryat Shemona",222,8,46,63,57,284,681,965,"6,112 ","7,473 ","23,100 ","קריית שמונה"
"Rosh HaAyin",820,9,101,25,82,655,"1,271","1,926","13,031 ","15,994 ","40,600 ","ראש העין"
"Rishon LeZiyyon","4,217",631,"1,110",309,277,"2,525","7,677","10,202","77,293 ","94,039 ","235,100 ","ראשון לציון"
"Rahat",48,11,8,28,548,841,"2,191","3,032","5,685 ","9,360 ","56,900 ","רהט"
"Rehovot","1,314",35,385,54,127,661,"2,787","3,448","34,371 ","39,734 ","120,900 ","רחובות"
"Ramla",482,51,277,320,212,"2,030","2,254","4,284","16,135 ","21,761 ","68,000 ","רמלה"
"Ramat Gan","6,671",35,676,40,83,951,"3,971","4,922","45,367 ","57,794 ","148,400 ","רמת גן"
"Ramat HaSharon","1,270",19,122,12,18,262,"1,439","1,701","17,603 ","20,745 ","43,100 ","רמת השרון"
"Ra'annana","1,326",7,92,36,73,267,"2,071","2,338","26,208 ","30,080 ","69,200 ","רעננה"
"Sederot",133,14,92,85,49,201,671,872,"4,757 ","6,002 ","21,600 ","שדרות"
"Shefar'am",153,33,52,28,57,296,"1,814","2,110","9,452 ","11,885 ","38,300 ","שפרעם"
"Tel Aviv-Yafo","24,400","1,216","1,540","5,290",530,"6,156","17,357","23,513","197,961 ","254,450 ","414,600 ","תל אביב -יפו"
,,,,,,,,,,,,
"(1) The data are presented according to the locality (address) ",,,,,,,,,,,,"(1) הנתונים מסווגים לפי היישוב הרשום (כתובת) של בעל הרכב"
"      of the registered owner of the vehicle, and not of the actual user",,,,,,,,,,,,"    ולא לפי מקום מגוריו של המשתמש בפועל ברכב, "
"      of the vehicle, nor by the locality the vehicle is used. ",,,,,,,,,,,,"    ואף לא לפי היישוב שבו הרכב פעיל. "
"(2) Population data - based on temporary estimate for the year 2012.",,,,,,,,,,,,"(2) נתוני האוכלוסייה - על בסיס אומדן ארעי לשנת 2012."
