"TABLE 9.- MOTOR VEHICLES REGISTERED IN LOCAL COUNCILS,(1)",,,,,,,,,,,,"לוח 9.- כלי רכב מנועיים הרשומים במועצות מקומיות,(1)"
"                   BY TYPE OF VEHICLE",,,,,,,,,,,,"               לפי סוג כלי רכב"
"Absolute numbers",,,,,,2013,,,,,,"מספרים מוחלטים"
,"Type of vehicle",,,,,,,,," סוג  כלי רכב","אוכלוסייה",
,"אופנוע","כלי","מונית","אוטובוס","אוטובוס","  Truck",," משאית","כלי","סך כולל","קבועה (2)",
,,"רכב",,,"זעיר",,,,"רכב פרטי",,"בסוף 2012",
"Local council",,"מיוחד",,,,"מעל 3.5 ","עד 3.5 ","סך הכל",,,"Permanent","מועצה מקומית"
,,,,,,"טונות","טונות",,,,"population (2)",
,"Motor-","Special","Taxi","Bus","Minibus","Over","Up  to","Total","Private","Grand","at the end of ",
,"cycle","vehicle",,,,"3.5 tons","3.5 tons",,"car"," total",2012,
,,,,,,,,,,,,
" Total","10,112",522,"2,004","2,039","3,076","11,552","48,468","60,020","317,617 ","395,390 ","1,209,551 ","סך הכל"
"Abu Ghosh",50,0,12,3,15,22,172,194,"1,354 ","1,628 ","6,512 ","אבו גוש"
"Abu Sinan",105,2,41,0,15,122,521,643,"3,079 ","3,885 ","12,596 ","אבו סנאן"
"Even Yehuda",239,5,16,7,15,135,532,667,"4,875 ","5,824 ","12,412 ","אבן יהודה"
"Oranit",186,0,22,1,2,67,296,363,"2,853 ","3,427 ","7,195 ","אורנית"
"Azor",406,77,86,760,12,256,633,889,"4,155 ","6,385 ","11,701 ","אזור"
"Iksal",154,3,30,12,18,152,804,956,"3,117 ","4,290 ","13,007 ","אכסאל"
"Elyakhin",69,5,6,11,24,25,139,164,"1,074 ","1,353 ","3,231 ","אליכין"
"Alfe Menashe",151,0,22,0,3,57,278,335,"2,831 ","3,342 ","7,574 ","אלפי מנשה"
"Elqana",30,1,2,0,1,19,73,92,"1,218 ","1,344 ","3,860 ","אלקנה"
"I'billin",47,1,19,9,29,140,646,786,"2,971 ","3,862 ","12,275 ","אעבלין"
"Efrata",71,0,0,0,10,21,234,255,"2,129 ","2,465 ","7,812 ","אפרתה"
"Be'er Ya'aqov",270,4,33,50,81,147,443,590,"4,758 ","5,786 ","16,316 ","באר יעקב"
"Bu'eine-Nujeidat",11,22,8,43,43,87,315,402,"1,860 ","2,389 ","8,512 ","בועיינה-נוג'ידאת"
"Buq'ata",8,2,3,13,48,98,379,477,"1,289 ","1,840 ","6,124 ","בוקעאתה"
"Bir El - Maksur",21,2,3,15,34,52,412,464,"1,895 ","2,434 ","8,141 ","ביר אל-מכסור"
"Bet El",36,1,0,0,8,40,196,236,"876 ","1,157 ","5,897 ","בית אל"
"Bet Arie",119,1,16,0,3,26,189,215,"1,462 ","1,816 ","4,166 ","בית אריה"
"Beit Jann",14,1,5,11,53,31,488,519,"2,493 ","3,096 ","11,409 ","בית ג'ן"
"Bet Dagan",267,3,30,10,4,84,428,512,"2,341 ","3,167 ","7,050 ","בית דגן"
"Bene Ayish",58,0,6,1,13,89,135,224,"2,394 ","2,696 ","6,959 ","בני עי""ש"
"Binyamina-Giv'at Ada ",212,3,3,3,13,90,498,588,"4,164 ","4,986 ","13,970 ","בנימינה-גבעת עדה"
"Basma",24,1,10,10,48,48,385,433,"2,006 ","2,532 ","8,475 ","בסמ""ה"
"Basmat Tab'un",37,1,55,0,3,80,307,387,"1,581 ","2,064 ","7,109 ","בסמת טבעון"
"Bi'ne",60,2,2,3,15,64,396,460,"1,704 ","2,246 ","7,584 ","בענה"
"Giv'at Ze'ev",166,0,80,9,10,69,312,381,"4,085 ","4,731 ","13,466 ","גבעת זאב"
"Judeide-Maker",106,4,20,0,33,120,689,809,"4,448 ","5,420 ","19,623 ","ג'דיידה-מכר"
"Gedera",223,4,51,5,17,156,718,874,"6,964 ","8,138 ","24,710 ","גדרה"
"Julis",69,0,46,5,9,19,233,252,"1,666 ","2,047 ","5,968 ","ג'ולס"
"Jaljulye",66,3,5,5,37,114,612,726,"2,142 ","2,984 ","8,906 ","ג'לג'וליה"
