NAME,SEMEL,ENGLISH_NAME,DISTRICT,NAPA,NATURAL_ZONE,MUNICIPAL_STANCE,METROPOLITAN,RELIGION,POPULATION,OTHER,JEWS,ARAB,FOUNDED,TZURA,IRGUN,CENTER,ALTITUDE,PLANNING,POLICE,YEAR,TAATIK
אבו ג'ווייעד (שבט),967,ABU JUWEI'ID,6,62,623,,,3,,,,,,460,,2040057100,,699,10001937,2017,Abu Juway'ad
אבו גוש,472,ABU GHOSH,1,11,111,99,444,2,7332,,,7.2,,280,,2105263482,686,152,10002475,2017,Abu Ghosh
אבו סנאן,473,ABU SINAN,2,24,245,99,,2,13694,,,13.7,,270,,2160776284,71,252,10004315,2017,Abu Sinan
אבו סריחאן (שבט),935,ABU SUREIHAN,6,62,623,,,3,,,,,,460,,1865057450,,699,10001937,2017,Abu Surayhan
אבו עבדון (שבט),958,ABU  ABDUN,6,62,623,,,3,,,,,,460,,1850057900,,699,10001937,2017,Abu 'Abdun
אבו עמאר (שבט),1042,ABU  AMMAR,6,62,623,,,3,,,,,,460,,1950056700,,699,10001937,2017,Abu 'Ammar
אבו עמרה (שבט),932,ABU  AMRE,6,62,623,,,3,,,,,,460,,1850057100,,699,10001937,2017,Abu 'Amra
אבו קורינאת (יישוב),1342,ABU QUREINAT,6,62,623,68,,2,1569,,,1.6,,450,,1963656105,450,624,10001937,2017,Abu Qureinat
אבו קורינאת (שבט),968,ABU QUREINAT,6,62,623,,,3,,,,,,460,,1970056000,,699,10001937,2017,Abu Kuraynat
אבו רובייעה (שבט),966,ABU RUBEI'A,6,62,623,,,3,,,,,,460,,2050057200,,699,10001937,2017,Abu Rubay'a
אבו רוקייק (שבט),961,ABU RUQAYYEQ,6,62,623,,,3,,,,,,460,,1920056600,,699,10001937,2017,Abu Rukayyek
אבו תלול,1375,ABU TULUL,6,62,623,68,,2,551,,,0.6,,450,,1933456589,388,624,10001937,2017,Abu Tulul                                         
אבטין,652,IBTIN,3,31,311,12,222,2,2759,,,2.8,,290,,2108874076,49,301,10004207,2017,Ibtin
אבטליון,1275,AVTALYON,2,24,241,56,,1,436,0.4,0.4,,1987,370,10,2331474908,362,205,10004513,2017,Avtalyon
אביאל,679,AVI'EL,3,32,324,45,,1,812,0.8,0.8,,1949,310,9,1996171533,52,351,10004333,2017,Avi'el
אביבים,1115,AVIVIM,2,21,212,2,,1,489,0.5,0.5,,1960,310,1,2444177707,725,209,10004528,2017,Avivim
אביגדור,819,AVIGEDOR,6,61,611,33,143,1,793,0.8,0.8,,1950,310,1,1757362428,63,616,10001821,2017,Avigedor
אביחיל,175,AVIHAYIL,4,41,411,16,141,1,1383,1.4,1.4,,1932,310,1,1880869527,35,409,10002089,2017,Avihayil
אביטל,2052,AVITAL,2,23,234,8,,1,519,0.5,0.5,,1953,310,1,2291271816,72,204,10000911,2017,Avital
אביעזר,1070,AVI'EZER,1,11,112,26,444,1,883,0.9,0.9,,1958,310,2,2016662104,377,151,15000597,2017,Avi'ezer
אבירים,1220,ABBIRIM,2,24,244,52,,1,216,0.2,0.2,,1980,370,19,2271577149,561,255,10004484,2017,Abbirim
אבן יהודה,182,EVEN YEHUDA,4,41,411,99,141,1,13704,13.7,13.5,,1932,170,,1894468643,36,457,15000060,2017,Even Yehuda
אבן מנחם,1081,EVEN MENAHEM,2,24,244,52,,1,286,0.3,0.3,,1960,310,1,2278277545,605,255,10004302,2017,Even Menahem
