year,country_name,country_code,pedestrian_road_deaths,population,pedestrian_road_deaths_per_1m_inhabitants
2008,Israel,ISR,139,7308800,19.0181699
2009,Israel,ISR,111,7485600,14.8284707
2010,Israel,ISR,125,7623600,16.3964531
2011,Israel,ISR,122,7765800,15.7099075
2012,Israel,ISR,92,7910500,11.6301119
2013,Israel,ISR,94,8059500,11.6632545
2014,Israel,ISR,125,8215700,15.2147717
2015,Israel,ISR,114,8380100,13.6036563
2016,Israel,ISR,105,8546000,12.2864498
2017,Israel,ISR,112,8713300,12.853913
2018,Israel,ISR,98,8882800,11.0325573
2019,Israel,ISR,89,9054000,9.82990943
2020,Israel,ISR,39,9216900,4.23135761
2000,Belgium,BEL,142,10251250,13.8519693
2001,Belgium,BEL,158,10286570,15.3598333
2002,Belgium,BEL,127,10332785,12.2909748
2003,Belgium,BEL,113,10376133,10.890377
2004,Belgium,BEL,101,10421137,9.69184073
2005,Belgium,BEL,108,10478617,10.3067036
2006,Belgium,BEL,122,10547958,11.5662197
2007,Belgium,BEL,104,10625700,9.78759046
2008,Belgium,BEL,99,10709973,9.24372078
2009,Belgium,BEL,101,10796493,9.35488959
2010,Belgium,BEL,108,10895586,9.9122709
2011,Belgium,BEL,115,11038264,10.4183049
2012,Belgium,BEL,117,11106932,10.533962
2013,Belgium,BEL,109,11159407,9.7675441
2014,Belgium,BEL,107,11209057,9.54585207
2015,Belgium,BEL,94,11274196,8.33762337
2016,Belgium,BEL,81,11331422,7.14826436
2017,Belgium,BEL,95,11375158,8.35153235
2018,Belgium,BEL,74,11427054,6.47585983
2019,Belgium,BEL,92,11488980,8.00767344
2008,Bulgaria,BGR,278,7492561,37.1034684
2009,Bulgaria,BGR,198,7444443,26.5970201
2010,Bulgaria,BGR,174,7395599,23.527506
2011,Bulgaria,BGR,149,7348328,20.2767215
2012,Bulgaria,BGR,135,7305888,18.4782466
2013,Bulgaria,BGR,108,7265115,14.8655596
2014,Bulgaria,BGR,156,7223938,21.5948697
2015,Bulgaria,BGR,164,7177991,22.8476185
2016,Bulgaria,BGR,118,7127822,16.5548466
2017,Bulgaria,BGR,157,7075947,22.1878428
2018,Bulgaria,BGR,123,7025037,17.5088046
2019,Bulgaria,BGR,154,6975761,22.0764444
2000,Czech Republic,CZE,362,10255063,35.2996369
2001,Czech Republic,CZE,322,10216605,31.5173191
