country_name,country_code,year,road_deaths_per_1m_inhabitants,road_deaths_per_1m_vehicles,road_deaths
Albania,ALB,2000,90.6434291,,280
Albania,ALB,2001,97.0533365,,297
Albania,ALB,2002,81.9400789,,250
Albania,ALB,2003,85.5371205,,260
Albania,ALB,2004,104.065526,,315
Albania,ALB,2005,102.275055,,308
Albania,ALB,2006,92.5632914,,277
Albania,ALB,2007,129.292189,,384
Albania,ALB,2008,102.80547,,303
Albania,ALB,2009,129.119572,,378
Albania,ALB,2010,121.18004,,353
Albania,ALB,2011,110.835934,,322
Albania,ALB,2012,115.15649,,334
Albania,ALB,2013,101.896589,,295
Albania,ALB,2014,91.3778113,,264
Albania,ALB,2015,93.7271215,,270
Albania,ALB,2016,93.5293997,,269
Albania,ALB,2017,77.2588558,,222
Albania,ALB,2018,74.3098603,,213
Albania,ALB,2019,79.5321687,,227
Albania,ALB,2020,63.783084,,181
Argentina,ARG,2008,143.687055,,5759
Argentina,ARG,2009,128.918993,317.921869,5219
Argentina,ARG,2010,124.888286,286.963249,5094
Argentina,ARG,2011,122.147794,,5040
Argentina,ARG,2012,121.581651,,5074
Argentina,ARG,2013,123.427435,246.660343,5209
Argentina,ARG,2014,123.718347,237.070156,5279
Argentina,ARG,2016,128.055813,256.97575,5582
Argentina,ARG,2017,123.056494,234.096026,5420
Armenia,ARM,2000,69.7161283,,214
Armenia,ARM,2001,77.6874193,,237
Armenia,ARM,2002,77.4560659,,235
Armenia,ARM,2003,83.5008874,,252
Armenia,ARM,2004,86.3126183,,259
Armenia,ARM,2005,103.982566,,310
Armenia,ARM,2006,112.226351,,332
Armenia,ARM,2007,126.508123,,371
Armenia,ARM,2008,139.977122,,407
Armenia,ARM,2009,112.531041,,325
Armenia,ARM,2010,102.178452,,294
Armenia,ARM,2011,113.678317,,327
Armenia,ARM,2012,107.827777,,311
Armenia,ARM,2013,109.056034,,316
Armenia,ARM,2014,101.977645,,297
Armenia,ARM,2015,118.267996,,346
Armenia,ARM,2016,90.9355015,,267
Armenia,ARM,2017,94.7436302,,279
Australia,AUS,2000,84.9997389,131.57682,1628
Australia,AUS,2001,81.5948076,126.955965,1584
Australia,AUS,2002,77.6026136,118.936203,1525
Australia,AUS,2003,72.6298541,109.777406,1445
Australia,AUS,2004,71.7429971,106.702136,1444
Australia,AUS,2005,72.1752604,105.747126,1472
Australia,AUS,2006,70.1520444,101.121248,1452
Australia,AUS,2007,69.7631988,98.3417936,1453
Australia,AUS,2008,61.8846827,85.9671421,1315
Australia,AUS,2009,62.0974843,85.9361064,1347
Australia,AUS,2010,55.9646873,76.7693467,1233
Australia,AUS,2011,51.5218784,70.3184914,1151
Australia,AUS,2012,56.1287072,76.2171266,1276
Australia,AUS,2013,54.6088272,73.5131657,1263
Australia,AUS,2014,49.1998402,65.5003521,1155
Australia,AUS,2015,49.1266479,64.9719646,1170
Australia,AUS,2016,52.0443487,68.4717838,1259
Australia,AUS,2017,49.7116885,65.1182959,1223
Australia,AUS,2018,48.5536224,63.2651306,1213
Australia,AUS,2019,47.150202,61.3168532,1196
Australia,AUS,2020,42.4727784,55.0861786,1091
Austria,AUT,2000,121.823873,178.395175,976
Austria,AUT,2001,119.120256,171.653825,958
Austria,AUT,2002,118.288182,168.191414,956
Austria,AUT,2003,114.635083,171.802916,931
Austria,AUT,2004,107.440486,159.462405,878
Austria,AUT,2005,93.3417552,137.733142,768
Austria,AUT,2006,88.2853664,129.27218,730
Austria,AUT,2007,83.2983042,120.748803,691
Austria,AUT,2008,81.5959054,117.130095,679
Austria,AUT,2009,75.8690512,107.776216,633
Austria,AUT,2010,66.0018337,92.2911015,552
Austria,AUT,2011,62.3239096,85.8519725,523
Austria,AUT,2012,62.9893911,85.7114217,531
Austria,AUT,2013,53.6567803,72.2250195,455
Austria,AUT,2014,50.3138414,67.3475451,430
Austria,AUT,2015,55.4225017,74.0779003,479
Austria,AUT,2016,49.4467685,65.9963354,432
Austria,AUT,2017,47.0584705,62.2135023,414
Austria,AUT,2018,46.2642417,60.4011433,409
Austria,AUT,2019,46.8472689,60.3283603,416
Austria,AUT,2020,38.5771102,49.1693946,344
Azerbaijan,AZE,2000,74.0501454,,596
Azerbaijan,AZE,2001,68.917053,,559
Azerbaijan,AZE,2002,78.5614205,,642
Azerbaijan,AZE,2003,87.9270351,,724
Azerbaijan,AZE,2004,97.6343827,,811
Azerbaijan,AZE,2005,126.908846,,1065
Azerbaijan,AZE,2006,121.043544,,1027
Azerbaijan,AZE,2007,129.001433,,1107
Azerbaijan,AZE,2008,120.044731,,1052
Azerbaijan,AZE,2009,103.942634,,930
Azerbaijan,AZE,2010,102.161043,,925
Azerbaijan,AZE,2011,110.758849,,1016
Azerbaijan,AZE,2012,125.648358,,1168
Azerbaijan,AZE,2013,123.608856,,1164
Azerbaijan,AZE,2014,117.880513,,1124
Azerbaijan,AZE,2015,92.648814,,894
Azerbaijan,AZE,2016,77.783831,,759
Azerbaijan,AZE,2017,76.110969,,750
Azerbaijan,AZE,2018,72.6374883,,722
Azerbaijan,AZE,2019,81.9011195,,821
Azerbaijan,AZE,2020,68.8419401,,696
Belgium,BEL,2000,143.397147,256.320837,1470
Belgium,BEL,2001,144.460204,254.582834,1486
Belgium,BEL,2002,130.942432,228.779168,1353
Belgium,BEL,2003,117.192021,203.344482,1216
Belgium,BEL,2004,111.600107,191.850874,1163
Belgium,BEL,2005,107.934091,183.633707,1131
Belgium,BEL,2006,104.854418,176.931691,1106
Belgium,BEL,2007,102.957923,172.563071,1094
Belgium,BEL,2008,91.5034987,151.187135,980
Belgium,BEL,2009,88.5472718,145.403906,956
Belgium,BEL,2010,78.0132432,127.073066,850
Belgium,BEL,2011,80.0850569,128.829602,884
Belgium,BEL,2012,74.4580051,119.495011,827
Belgium,BEL,2013,68.4624192,109.240128,764
Belgium,BEL,2014,66.4641102,105.281931,745
Belgium,BEL,2015,67.5879681,106.201173,762
Belgium,BEL,2016,59.1276188,91.7586239,670
Belgium,BEL,2017,53.5377179,82.0820537,609
Belgium,BEL,2018,52.8570181,80.1787083,604
Belgium,BEL,2019,56.0537141,84.580124,644
Belgium,BEL,2020,43.1810427,65.2190563,499
Bulgaria,BGR,2000,123.865201,,1012
Bulgaria,BGR,2001,126.23075,,1011
Bulgaria,BGR,2002,122.365739,,959
Bulgaria,BGR,2003,123.467476,,960
Bulgaria,BGR,2004,122.199962,318.011668,943
Bulgaria,BGR,2005,124.951495,309.458367,957
Bulgaria,BGR,2006,137.21839,492.422454,1043
Bulgaria,BGR,2007,133.327361,404.780107,1006
Bulgaria,BGR,2008,141.607122,375.336069,1061
Bulgaria,BGR,2009,121.029874,301.136364,901
Bulgaria,BGR,2010,104.927268,249.037227,776
Bulgaria,BGR,2011,89.4080939,203.342618,657
Bulgaria,BGR,2012,82.2624163,178.338279,601
Bulgaria,BGR,2013,82.7240863,171.557433,601
Bulgaria,BGR,2014,91.3629104,181.239713,660
Bulgaria,BGR,2015,98.6348409,184.685647,708
Bulgaria,BGR,2016,99.3290798,184.576544,708
Bulgaria,BGR,2017,96.3828587,198.643689,682
