kod,teur,X_Lamas,Y_Lamas
1,מחלף קיבוץ גלויות,180079,661606
3,"כניסה לחברת חשמל, ת""א",181891.3688,659603.104
5,מחלף גנות,183272.109,658417.6204
7,מחלף שפירים,184677.3605,657240.688
11,מחלף בן גוריון,189645,654826
13,מחלף לוד,191145.9999,653849
17,מחלף לטרון,198866.0001,638476
19,מחלף שער הגיא,202357.0001,635854.9999
21,צומת עוקף שער הגיא,203698.0886,634887.3444
23,מחלף שורש,207320.1468,634140.7582
25,מחלף קריית יערים,208662,634223
27,מחלף חמד,211889,634178
29,צומת בית נקופה,212439.9999,634281
31,צומת עין חמד,212726,634208
33,מחלף הראל,213930,633973.9999
35,כניסה למבשרת ציון,214030.62,633836.8796
37,צומת מוצא עילית,215401,633491
39,מחלף מוצא,216136,633703.0001
57,צומת גלילות,181423.5185,672011.9998
58,מחלף הסירה,182364.1985,674176.1216
59,צומת הרצלייה,182603.9104,674746.311
61,מחלף רבין (שמריהו),182819,676348
63,צומת נוף ים,182803.2959,677159.5295
65,כניסה לרשפון,183150.881,678713.3086
66,כניסה לשפיים (דרום),183836,679812
67,כניסה לשפיים (צפון),184040.9787,680371.2501
71,כניסה ליקום,184634,683917
73,כניסה למכון וינגייט,184970,685390.0001
75,מחלף פולג,186494.409,686737.4409
77,מחלף גשר השלום,186947,688184
79,מחלף נתניה,187743.3591,692414.06
81,כניסה לגבעת שפירא,188486.8341,695819.8242
83,מחלף חבצלת,188032.9999,696143
85,מחלף ינאי,187746.7318,699214.8082
87,צומת אלכסנדר,188205.1681,700284.0431
89,מחלף אולגה,190164.1897,705857.9404
91,מחלף קיסריה,190827.7989,708713.9998
93,מחלף זכרון יעקב,193422,721619
95,מחלף עתלית,195773.8795,735219.7508
97,מחלף חיפה דרום,196699.9999,744247
99,צומת אבא הלל,163053.7288,620557.559
101,כניסה לניר ישראל,165275.7313,620870.8086
103,צומת ניר ישראל,165453.121,620886.3104
105,צומת הודיה,167210,621302
107,צומת נגבה,169768,622241
109,כניסה למשואות יצחק,171164,622730
111,כניסה למרכז שפירא,172334.9612,623147.3153
113,כניסה לעין צורים,172992,623433
115,צומת זרחיה שפיר,173511.7021,623649.8093
117,כניסה לכפר ורבורג,175094,624688
119,צומת טוביה,176000.4991,625720.6885
121,כניסה לקריית מלאכי (דרום),176341.4086,626179.6882
123,כניסה לקריית מלאכי (צפון),176849,626596
125,צומת מלאכי (קסטינה),177143,626780
127,כניסה לערוגות,177538.9999,627206
129,שער יישוב כפר אחים,177875,627894.9999
131,צומת ראם (מסמיה),179680.7985,629850.379
133,כניסה לתחנת דלק צומת ראם,179815,629806
135,צומת כפר מנחם,180354.3018,629990.879
137,כניסה לרבדים,181821,631244
139,כניסה לבית חלקיה,182982,632814
141,כניסה ליד בנימין,183547,633279
142,מפגש עם מסילת ברזל,184521.4996,634059.3813
143,כניסה ליסודות,186741.0001,635291
145,כניסה לנחל שורק,187758.0001,635222
147,כניסה לטל שחר,190632.56,635395.5583
149,צומת חולדה,190752.5568,635435.2721
151,כניסה לטל שחר (מזרח),191653.888,635595.665
153,צומת נחשון (הגבורה),192226.8613,635892.0581
155,מחלף בקוע,193615.9999,636883
157,מחלף נחשון - נווה שלום,195899.9999,636985
161,צומת חטיבה שבע,197986,638033
169,כניסה לפארק קנדה,198962,638517.0001
257,צומת חבל עזה,156574.0007,607617.9999
259,כניסה לארז (מערב),157299.0001,608621
261,כניסה ליד מרדכי,158540.2013,610773.6193
263,צומת יד מרדכי,158608,610865.0001
265,צומת זיקים,159401.5911,612408.378
267,כניסה לגברעם,159487,612534
269,כניסה למבקיעים,160237.412,614269.6179
271,"כניסה לקצא""א",160742,615191
273,"כניסה למ""א אשקלון",161538,617305
275,צומת תלמי יפה,162006.9109,618094.6204
279,צומת ברכיה,162766.2004,619420.0475
281,כניסה לניצנים,165406.9979,625634.061
283,צומת אשכולות,165571.4712,625885.942
285,כניסה לבית עזרא (מערב),166527.339,627784.2485
287,צומת אמונים,168143.1689,629067.1199
289,כניסה לשדה עוזיהו,168563,629974
