ishuv,SEMEL_RECHOV,SHEM_RECHOV
26,103,דרך הגליל
26,115,מעלה גיא אוני
28,104,נתיב השיירות
28,105,שד בגין מנחם
28,109,דיין משה
28,124,שד אליהו
28,180,ספיר פנחס
28,193,שד מוטה גור
31,107,שד הרצל
31,109,קבוץ גלויות
31,110,הנשיא
31,112,קדש
31,114,הרב קוק
31,121,גולומב
31,122,גבורי ישראל
31,137,ז'בוטינסקי
31,166,הבנאים
31,167,בצלאל
31,195,עולי הגרדום
31,270,הגורן
31,310,דרך הנביאים
41,104,שבזי
41,153,הגפן
43,103,הארזים
43,107,מצפה נפתלי
43,108,הדובדבן
43,113,מעלה ארז
46,112,המיסדים
49,9000,אילניה
53,120,הנרקיסים
53,122,דרך הים
53,201,המחתרות
65,119,המייסדים
65,135,נוף הארבל
70,118,הראשונים
70,126,שבי ציון
70,128,רוגוזין
70,144,ההסתדרות
70,145,המעפילים
70,157,"רמב""ם"
70,158,סולד הנריטה
70,161,אבן גבירול
70,163,הרב קוק
70,165,שד בני ברית
70,180,יצחק הנשיא
70,181,ז'בוטינסקי
70,189,שד הרצל
70,195,ציזלינג
70,196,יהודה המכבי
70,201,בן יוסף שלמה
70,202,שפירא אברהם
70,206,שד סנה משה
70,207,"הפלמ""ח"
70,212,מורדי הגטאות
70,213,הנשיא ויצמן
70,215,אזור התעשיה
70,217,יהודה הלוי
70,218,שמואל הנגיד
70,219,הרב הגר
70,230,סנש חנה
70,231,חטיבת הנגב
70,232,גור דב
70,240,אבן עזרא
70,247,בן אליעזר אריה
70,248,ארן זלמן
70,249,דקר
70,256,דיין משה
70,257,שפירא משה חיים
70,258,קרן היסוד
70,259,הרב שאולי
70,260,מילמן
70,274,העבודה
70,278,ביאליק
70,279,ארלוזורוב
70,280,אליאשוילי
70,285,בוסקילה יצחק
70,302,שד ירושלים
70,303,הרותם
70,304,הנורית
70,307,שד הפרחים
70,309,הכלנית
70,310,מבוא הדמומית
70,325,הטיילת
70,326,"האדמו""ר מויז'ניץ"
70,328,"האדמו""ר מגור"
70,329,התלמוד
70,335,שד אלטלנה
70,339,מפקורה
70,340,בן עמי עובד
70,345,הרפואה
70,360,תשרי
70,365,אדר
70,370,אב
70,371,אלול
70,377,שבט לוי
70,386,שבט בנימין
70,390,כוכב הצפון
70,391,כוכב השחר
70,392,כוכב הדרום
70,401,נחל לכיש
70,402,נחל שורק
70,406,כנרת
70,407,קישון
70,408,ירקון
70,410,צאלים
70,415,מצדה
70,421,הר תבור
70,463,"צה""ל"
70,486,דרך ניר גלים
70,488,הנפט
70,498,היזמה
70,500,הבנאים
70,501,האורגים
70,502,היהלומים
70,504,בעלי מלאכה
70,505,הצורפים
70,506,הקדמה
70,507,הבושם
70,513,התעסוקה
70,554,רבנו גרשום
70,562,"שדרות רש""י"
70,575,שדרות ראשון לציון
70,580,דרך בגין מנחם
70,586,"הרי""ם לוין"
70,596,משנה
70,597,שד בן גוריון
70,601,ארבע האמהות
70,622,רבין יצחק
70,655,שילר
70,665,חסידי אומות העולם
70,669,בטהובן
70,678,שד תל חי
70,697,גור מרדכי
70,701,שד המיסדים
70,702,"קק""ל"
70,704,הנביאים
70,710,לוי שלמה
70,731,העליה
70,740,ספיר
70,745,ברקת
70,750,שמעון בן שטח
70,758,יוחנן בן זכאי
70,801,המלך דוד
70,802,המלך שלמה
70,812,המלך רחבעם
70,814,המלך יותם
70,817,המלך שאול
70,851,החלוצים
70,852,העצמאות
70,853,הקליטה
70,854,התקומה
70,855,התקוה
70,856,הציונות
78,9000,קרית ענבים
115,104,כוכב הים
122,112,האלון
122,138,האגוז
122,139,אדמונית החורש
122,148,החצבים
122,158,הצפצפה
154,115,הדקל
154,151,מצדה
154,177,הפרדס
154,202,הנרקיס
154,223,השחף
154,240,דרך הלורד
154,241,אבני חן
154,246,ברקת
159,106,דרך המגשימים
160,9000,חולדה
166,113,השומר
166,116,העצמאות
166,124,קבוץ גלויות
166,126,הרצל
166,129,גיבורים
166,138,הר סיני
166,144,אלי כהן
166,261,דרך ירושלים
166,360,יהודה
166,375,זמיר
166,376,עפרוני
168,112,שד מנחם בגין
168,139,גילה
168,150,נחל בשור
168,169,נחל תנינים
168,190,הלוטם
168,201,"אח""י אילת"
168,204,העצמאות
168,217,שרת
168,270,צבעוני
171,110,שד בן גוריון
182,114,העצמאות
182,130,אסותא
182,132,המיסדים
182,134,השרון
182,215,דרך יצחק רבין
183,103,דרך מייסדי ירקונה
190,101,אכסנית נוער
190,124,דרך הכפר
195,106,"הפלמ""ח"
195,137,הורדים
195,140,ז'בוטינסקי
195,167,שד הדקל
195,198,הארז
195,253,החצב
195,256,הסמדר
195,277,האופה
198,103,השדרה
198,106,מעלה הגן
200,102,השיטה
208,101,בית החלמה ארזה
220,107,ביאליק
220,112,אושה
229,101,ים המלח
229,103,הנגב
229,120,הרי יהודה
229,128,הדקל
229,130,צאלון
229,135,הרמה
229,136,האקליפטוס
