zomet,kvish1,kvish2,KM,SHEM_ZOMET
1,1,20,0,מחלף קיבוץ גלויות
1,20,1,132,מחלף קיבוץ גלויות
5,1,4,46,מחלף גנות
5,4,1,1104,מחלף גנות
7,1,412,64,מחלף שפירים
7,412,1,161,מחלף שפירים
13,1,40,145,מחלף לוד
13,40,1,2779,מחלף לוד
17,1,3,336,מחלף לטרון
17,3,1,2717,מחלף לטרון
27,1,3975,488,מחלף חמד
27,3975,1,22,מחלף חמד
57,2,5,219,צומת גלילות
57,5,2,0,צומת גלילות
58,2,541,240,מחלף הסירה
58,541,2,0,מחלף הסירה
59,2,0,247,צומת הרצלייה
69,2,0,319,כניסה לגעש
79,2,57,438,מחלף נתניה
79,57,2,0,מחלף נתניה
85,2,5720,510,מחלף ינאי
85,5720,2,48,מחלף ינאי
95,721,2,0,מחלף עתלית
95,7110,2,0,מחלף עתלית
95,2,721,895,מחלף עתלית
103,3,3500,2302,צומת ניר ישראל
103,3500,3,22,צומת ניר ישראל
107,3,0,2349,כניסה לנגבה
117,3,0,2410,כניסה לכפר ורבורג
119,3,3703,2424,צומת טוביה
119,3703,3,0,צומת טוביה
121,3,0,2430,כניסה לקריית מלאכי (דרום)
123,3,0,2435,כניסה לקריית מלאכי (צפון)
125,3,40,2438,צומת מלאכי (קסטינה)
125,40,3,2438,צומת מלאכי (קסטינה)
131,3,40,2480,צומת ראם (מסמייה)
131,40,3,2480,צומת ראם (מסמייה)
153,3,44,2629,צומת נחשון (הגבורה)
153,44,3,103,צומת נחשון (הגבורה)
265,4,3411,568,צומת זיקים
265,3411,4,0,צומת זיקים
267,4,0,569,כניסה לגברעם
271,4,0,599,"כניסה לקצא""א"
279,4,35,646,צומת ברכיה
279,35,4,0,צומת ברכיה
281,4,0,715,כניסה לניצנים
283,4,232,720,צומת אשכולות
283,232,4,840,צומת אשכולות
287,4,3711,762,צומת אמונים
287,3711,4,0,צומת אמונים
289,4,0,773,כניסה לשדה עוזיהו
293,4,0,797,כניסה לשתולים
295,4,0,794,מחלף עד הלום
311,4,44,1093,מחלף השבעה
311,44,4,353,מחלף השבעה
313,4,461,1128,מחלף מסובים
313,461,4,43,מחלף מסובים
315,4,0,1150,מחלף אלוף שדה
317,4,471,1159,מחלף בר אילן
317,471,4,0,מחלף בר אילן
319,4,0,1173,מחלף גבעת שמואל
321,4,481,1191,מחלף גהה
321,481,4,50,מחלף גהה
323,4,5,1228,מחלף מורשה
323,5,4,58,מחלף מורשה
325,4,402,1301,צומת רעננה
325,402,4,58,צומת רעננה
325,541,4,80,צומת רעננה
327,4,0,1317,צומת רעננה - צפון (צפ')
335,4,553,1392,מחלף דרור
335,553,4,57,מחלף דרור
339,4,0,1421,צומת הדסים
343,4,5613,1444,צומת פרדסייה
343,5613,4,0,צומת פרדסייה
345,4,57,1466,צומת השרון
345,57,4,35,צומת השרון
347,4,5711,1490,צומת רופין
347,5711,4,30,צומת רופין
355,4,0,1512,כניסה למעברות
357,4,5720,1522,צומת חפר
357,5720,4,0,צומת חפר
361,4,581,1545,"צומת הרא""ה"
361,581,4,40,"צומת הרא""ה"
367,4,65,1627,צומת נחל חדרה
367,65,4,16,צומת נחל חדרה
369,4,651,1645,צומת פל-ים
369,651,4,30,צומת פל-ים
373,4,653,1687,צומת בנימינה
373,653,4,69,צומת בנימינה
375,4,6531,1706,צומת ג`סר א-זרקא
375,6531,4,0,צומת ג`סר א-זרקא
381,4,70,1774,צומת פוריידיס
381,70,4,120,צומת פוריידיס
383,4,7011,1790,צומת נחשולים
383,7011,4,0,צומת נחשולים
399,4,721,1908,צומת עתלית
399,721,4,17,צומת עתלית
405,4,0,1950,כניסה לטירת כרמל (דרום)
433,4,0,2205,צומת העשור
437,4,0,2230,כניסה לצור שלום
439,4,0,2250,כניסה לנווה נעמן
451,4,8611,2372,צומת רגבה
451,8611,4,0,צומת רגבה
453,4,0,2373,כניסה לשבי ציון
455,4,0,2390,כניסה לעברון
468,4,0,2442,כניסה למונטנה
475,4,899,2484,צומת בצת
475,899,4,0,צומת בצת
481,5,0,32,מחלף הכפר הירוק
483,25,90,1065,צומת הערבה
483,90,25,1830,צומת הערבה
497,25,204,1424,צומת דימונה
497,204,25,1644,צומת דימונה
509,25,264,1940,צומת הנשיא
509,264,25,1940,צומת הנשיא
513,25,241,1987,צומת גילת
513,241,25,213,צומת גילת
515,25,2544,2020,צומת לתאשור
515,2544,25,0,צומת לתאשור
521,25,293,2090,צומת הגדי
521,293,25,0,צומת הגדי
525,25,0,2102,כניסה לנתיבות
529,25,0,2113,כניסה לעזתה
533,25,2422,2152,צומת שוקדה
533,2422,25,0,צומת שוקדה
543,31,60,170,צומת שוקת
543,60,31,128,צומת שוקת
549,31,90,726,צומת זוהר
549,90,31,2062,צומת זוהר
563,35,3500,18,צומת משען
563,3500,35,0,צומת משען
565,35,232,56,צומת גבעתי
565,232,35,750,צומת גבעתי
573,35,352,93,צומת נהורה
573,352,35,128,צומת נהורה
577,35,40,159,צומת פלוגות
577,40,35,2307,צומת פלוגות
581,35,0,173,כניסה למבחור
587,35,0,213,כניסה לשדה משה
613,38,353,77,צומת לי און
613,353,38,245,צומת לי און
613,3544,38,0,צומת לי און
617,38,375,100,צומת האלה
617,375,38,0,צומת האלה
619,38,383,119,צומת תל עזקה
619,383,38,184,צומת תל עזקה
639,38,44,229,צומת שמשון
639,44,38,0,צומת שמשון
651,40,0,55,כניסה להר עיט
669,40,222,1502,צומת משאבים
669,222,40,1502,צומת משאבים
689,40,3403,2242,צומת איתן (אבן שמואל)
689,3403,40,0,צומת איתן (אבן שמואל)
693,40,353,2342,צומת קוממיות
693,353,40,0,צומת קוממיות
693,3533,40,0,צומת קוממיות
709,40,0,2489,כניסה לברורים
719,40,7,2535,מחלף גדרה
719,7,40,117,מחלף גדרה
725,40,0,2612,כניסה לגבעת ברנר
727,40,411,2620,צומת ברנר
727,411,40,99,צומת ברנר
727,4123,40,0,צומת ברנר
729,40,412,2628,"צומת ביל""ו"
729,412,40,0,"צומת ביל""ו"
733,40,0,2658,כניסה לסתרייה
735,40,0,2687,כניסה לישרש
737,40,4304,2699,צומת מצליח
737,4304,40,0,צומת מצליח
743,40,44,2712,מחלף רמלוד
743,44,40,235,מחלף רמלוד
745,40,443,2753,צומת גינתון
745,443,40,15,צומת גינתון
746,40,0,2721,צומת אחיסמך
749,40,46,2803,צומת אל על
749,453,40,0,צומת אל על
749,46,40,0,צומת אל על
757,40,461,2834,צומת הטייסים
757,461,40,121,צומת הטייסים
769,40,0,2890,כניסה לשערייה (צפון)
771,40,4713,2898,צומת סירקין
771,4713,40,0,צומת סירקין
773,40,483,2914,צומת גנים
773,483,40,0,צומת גנים
777,40,0,2948,כניסה לכפר הבפטיסטים
803,41,0,41,כניסה לבני דרום
811,4000,7,0,צומת בית רבן
811,4102,7,0,צומת בית רבן
811,7,4000,82,צומת בית רבן
813,7,0,107,כניסה לכנות
825,42,0,945,כניסה לכפר הנגיד
833,42,0,1002,כניסה לבית חנן
851,44,4243,162,צומת פדיה
851,4243,44,0,צומת פדיה
857,44,424,225,צומת גזר
857,424,44,128,צומת גזר
863,44,0,300,צומת צריפין
867,44,412,341,צומת בית דגן
867,412,44,144,צומת בית דגן
869,44,0,348,כניסה למשמר השבעה
885,55,5443,60,צומת נווה ימין (מערב)
885,5443,55,0,צומת נווה ימין (מערב)
931,57,5702,30,צומת נורדייה
931,5702,57,5,צומת נורדייה
937,57,5613,86,צומת ינוב
937,5613,57,75,צומת ינוב
939,57,0,94,כניסה לבורגתה-תנובות
941,57,5614,113,צומת קלנסווה
941,5614,57,0,צומת קלנסווה
963,40,60,1818,צומת תל שבע
963,60,40,43,צומת תל שבע
963,9322,40,30,צומת תל שבע
1059,60,675,2033,צומת יזרעאל
1059,675,60,90,צומת יזרעאל
