pk_teuna_fikt,sug_tik,THUM_GEOGRAFI,SUG_DEREH,SEMEL_YISHUV,REHOV1,REHOV2,BAYIT,ZOMET_IRONI,KVISH1,KVISH2,KM,ZOMET_LO_IRONI,YEHIDA,SHNAT_TEUNA,HODESH_TEUNA,YOM_BE_HODESH,SHAA,SUG_YOM,YOM_LAYLA,YOM_BASHAVUA,RAMZOR,HUMRAT_TEUNA,SUG_TEUNA,ZURAT_DEREH,HAD_MASLUL,RAV_MASLUL,MEHIRUT_MUTERET,TKINUT,ROHAV,SIMUN_TIMRUR,TEURA,BAKARA,MEZEG_AVIR,PNE_KVISH,SUG_EZEM,MERHAK_EZEM,LO_HAZA,OFEN_HAZIYA,MEKOM_HAZIYA,KIVUN_HAZIYA,MAHOZ,NAFA,EZOR_TIVI,MAAMAD_MINIZIPALI,ZURAT_ISHUV,STATUS_IGUN,X,Y
2016012200,1,1,2,7500,0,,9999,,,,,,12,2017,1,12,75,4,5,5,9,2,2,9,0,3,1,1,2,3,3,,1,1,9,9,9,0,0,9,2,24,241,0,26,2,228322,752210
2017000013,1,1,4,0,,,,,461,0,90,,20,2017,7,27,67,4,1,5,9,3,11,9,9,0,0,0,0,5,11,,9,9,9,9,9,0,0,9,9,99,999,99,99,1,179730,661607
2017000015,1,1,2,8300,1200,,18,,,,,,52,2017,6,19,82,4,5,2,9,3,1,9,9,0,0,0,0,5,6,,9,9,9,9,7,0,0,9,4,44,442,0,13,1,178907,652870
2017000030,1,1,1,4000,210,203,,180131,,,,,11,2017,7,26,54,4,1,4,9,1,4,9,0,3,1,1,3,3,1,7,1,1,9,9,9,0,0,9,3,31,311,0,13,1,206413,746463
2017000044,1,1,2,5000,2524,,126,,,,,,20,2017,3,19,47,4,1,1,9,3,2,8,1,0,1,1,0,3,1,7,1,1,9,9,9,0,0,9,5,51,511,0,13,1,180853,664685
2017000064,1,1,2,8600,903,,60,,,,,,20,2017,5,11,69,4,1,5,9,3,4,9,2,0,1,1,3,3,1,7,1,1,9,9,9,0,0,9,5,51,512,0,14,1,183405,666132
2017000067,1,1,2,8400,403,,148,,,,,,52,2017,3,8,85,4,5,4,9,3,2,8,2,0,1,1,4,3,3,,1,1,9,9,9,0,0,9,4,44,441,0,14,1,182350,644457
2017000078,1,2,4,0,,,,,465,0,220,,41,2017,1,26,77,4,5,5,9,2,11,4,2,0,4,3,2,3,4,,2,2,9,9,9,0,0,9,9,99,999,99,99,1,195996,660172
2017000084,1,1,3,0,,,,,443,444,46,2019,52,2017,3,23,3,4,5,5,1,3,2,8,0,3,5,1,4,3,3,2,1,1,9,9,9,0,0,9,9,99,999,99,99,1,194395,651273
2017000090,1,2,2,3612,9000,,1,,,,,,41,2017,5,9,77,4,1,3,9,3,5,5,2,0,1,2,1,4,11,,1,1,9,9,9,0,0,9,7,77,777,75,31,2,242898,683268
2017000093,1,1,2,1015,136,,6,,,,,,61,2017,9,26,77,4,5,3,9,3,1,8,1,0,1,1,2,3,6,7,1,1,9,9,9,9,0,9,1,11,111,99,16,1,215441,634366
2017000098,1,1,1,8400,261,255,,17890405,,,,,52,2017,9,18,39,4,1,2,9,2,2,8,0,3,1,1,2,3,1,6,1,1,9,9,9,0,0,9,4,44,441,0,14,1,179359,644983
2017000099,1,1,2,3000,4465,,44,,,,,,61,2017,5,16,86,4,5,3,9,3,5,8,3,0,1,1,3,3,6,7,1,1,9,9,9,0,0,9,1,11,111,0,12,1,217686,636933
2017000105,1,1,3,0,,,,,60,73,2155,1073,14,2017,9,21,90,1,5,5,1,2,2,8,0,3,5,1,5,3,3,2,1,1,9,9,9,0,0,9,9,99,999,99,99,1,227711,729275
2017000117,1,1,4,0,,,,,20,0,200,,20,2017,10,12,26,1,5,5,9,2,4,9,1,0,5,1,3,3,6,6,1,1,9,9,9,0,0,9,9,99,999,99,99,1,184118,677369
2017000121,1,1,2,5000,2378,,5,,,,,,20,2017,7,23,84,4,5,1,9,3,2,8,1,0,1,1,3,3,3,,1,1,9,9,9,0,0,9,5,51,511,0,13,1,177537,662490
2017000125,1,1,1,8700,161,114,,10450001,,,,,51,2017,10,5,94,1,5,5,9,3,2,9,9,0,0,0,0,5,6,7,9,9,9,9,9,0,0,9,4,42,421,0,15,1,188383,676921
2017000136,1,2,3,0,,,,,446,465,182,7182,41,2017,6,30,67,4,1,6,9,3,2,8,3,0,4,1,4,3,1,7,1,1,9,9,9,0,0,9,9,99,999,99,99,1,203982,660527
2017000140,1,1,2,122,148,,70,,,,,,14,2017,7,3,42,4,1,2,9,3,5,5,3,0,1,1,2,3,1,,1,1,9,9,9,0,0,9,2,23,235,99,18,1,214991,734090
2017000148,1,1,1,9100,412,411,,510006,,,,,11,2017,4,26,33,4,1,4,1,3,1,8,0,2,1,1,2,3,1,2,1,1,9,9,9,3,4,1,2,24,245,0,15,1,209027,767989
2017000157,1,1,1,7100,416,377,,1590002,,,,,38,2017,5,4,42,4,1,5,9,3,1,9,0,2,1,1,2,3,1,6,1,1,9,9,9,3,3,1,6,61,614,0,14,1,159174,619575
2017000162,1,1,1,8300,307,728,,8580021,,,,,52,2017,1,8,71,4,5,1,0,3,1,8,1,0,1,1,3,3,6,1,9,9,9,9,9,0,0,9,4,44,442,0,13,1,181434,651866
2017000171,1,1,3,0,,,,,20,0,216,8057,20,2017,3,5,55,4,1,1,1,3,2,1,0,3,1,1,3,3,1,2,1,1,9,9,9,0,0,9,9,99,999,99,99,1,182297,669600
2017000176,1,1,1,6600,942,944,,8990071,,,,,20,2017,6,26,21,4,5,2,1,3,2,9,3,0,1,1,0,3,3,2,1,1,9,9,9,0,0,9,5,51,513,0,14,1,180463,656924
2017000197,1,1,2,70,180,,15,,,,,,38,2017,2,25,81,4,5,7,1,3,2,8,0,3,3,1,4,3,3,2,1,1,9,9,7,0,0,9,6,61,613,0,13,1,167131,634315
2017000209,1,1,2,3000,1160,,41,,,,,,61,2017,10,19,64,4,1,5,9,2,1,9,0,5,1,1,2,3,1,7,1,1,9,9,9,1,2,9,1,11,111,0,12,1,216810,633043
2017000219,1,1,2,5000,2165,,1,,,,,,20,2017,1,5,53,4,1,5,9,3,4,9,0,3,1,1,0,3,1,,1,1,9,9,9,0,0,9,5,51,511,0,13,1,177463,661807
2017000223,1,1,1,8300,725,305,,8680004,,,,,52,2017,2,7,58,4,1,3,0,3,1,9,1,0,1,1,2,3,1,1,1,1,9,9,9,4,3,9,4,44,442,0,13,1,181860,652149
