ishuv,SEMEL_RECHOV,SHEM_RECHOV
26,101,שוב דוד
26,115,מעלה גיא אוני
26,124,דרך היקב
26,133,אזור תעשיה
28,105,שד בגין מנחם
28,111,הרב מוהליבר
28,116,רוטשילד
28,118,המייסדים
28,124,שד אליהו
28,132,היסמין
28,153,אשל
28,159,לילך
28,188,"פלמ""ח"
28,193,שד מוטה גור
29,108,המייסדים
31,101,"הרמב""ם"
31,104,התעשיה
31,107,שד הרצל
31,109,קבוץ גלויות
31,110,הנשיא
31,121,גולומב
31,122,גבורי ישראל
31,130,שרת
31,144,אלי כהן
31,146,יסמין
31,149,הארזים
31,152,השקד
31,167,בצלאל
31,176,"החיד""א"
31,179,עמרם בן דיואן
31,183,חפץ חיים
31,184,שבזי
31,185,הרב אלנקווה רפאל
31,204,תרשיש
31,211,דרך הטייסים
31,262,העינב
31,310,דרך הנביאים
31,327,דוד המלך
31,337,קרית ספר
31,338,יואל
31,6516,שכ שפירא
41,104,שבזי
41,153,הגפן
53,122,דרך הים
53,204,הזית
70,109,חוף לידו
70,118,הראשונים
70,121,היסמין
70,122,המסחר
70,126,שבי ציון
70,128,רוגוזין
70,138,הדקל
70,139,סיני
70,145,המעפילים
70,146,יוספטל
70,147,קבוץ גלויות
70,157,"רמב""ם"
70,159,הרב הרצוג
70,161,אבן גבירול
70,163,הרב קוק
70,165,שד בני ברית
70,173,בורוכוב
70,175,קדושי בלזן
70,176,נורדאו
70,180,יצחק הנשיא
70,181,ז'בוטינסקי
70,182,אלבז נתן
70,185,בובר מרטין
70,186,שד יפה נוף
70,189,שד הרצל
70,190,יאיר
70,196,יהודה המכבי
70,200,אורט
70,201,בן יוסף שלמה
70,202,שפירא אברהם
70,205,בלפור
70,206,שד סנה משה
70,207,"הפלמ""ח"
70,209,אבות ישורון
70,211,"האצ""ל"
70,212,מורדי הגטאות
70,213,הנשיא ויצמן
70,215,אזור התעשיה
70,217,יהודה הלוי
70,218,שמואל הנגיד
70,228,גשר עד הלום
70,229,שד עוזיהו
70,230,סנש חנה
70,231,חטיבת הנגב
70,232,גור דב
70,237,גרונר דב
70,239,שבזי
70,240,אבן עזרא
70,243,מיכשוילי
70,247,בן אליעזר אריה
70,248,ארן זלמן
70,252,הדולפין
70,256,דיין משה
70,257,שפירא משה חיים
70,258,קרן היסוד
70,259,הרב שאולי
70,260,מילמן
70,266,רבי עקיבא
70,273,הנחושת
70,274,העבודה
70,276,העמל
70,278,ביאליק
70,279,ארלוזורוב
70,287,המתכת
70,302,שד ירושלים
70,307,שד הפרחים
70,309,הכלנית
70,316,הסייפן
70,325,הטיילת
70,327,אור לציון
70,328,"האדמו""ר מגור"
70,330,הבנים
70,331,הגדוד העברי
70,332,אקסודוס
70,335,שד אלטלנה
70,336,אגוז
70,339,מפקורה
70,340,בן עמי עובד
70,351,גרינברג אורי צבי
70,360,תשרי
70,365,אדר
70,366,ניסן
70,369,תמוז
70,376,שבט שמעון
70,377,שבט לוי
70,382,שבט אשר
70,386,שבט בנימין
70,390,כוכב הצפון
70,391,כוכב השחר
70,401,נחל לכיש
70,402,נחל שורק
70,405,נעמן
70,406,כנרת
70,408,ירקון
70,412,הרי גולן
70,414,ירמוך
70,415,מצדה
70,421,הר תבור
70,429,שומרון
70,431,הגולשים
70,432,השייטים
70,435,שער האריות
70,436,בקעת הירח
70,480,דרך לסקוב
70,481,דרך תל מור
70,488,הנפט
70,490,הפלדה
70,491,האשלג
70,493,החניכים
70,497,היציקה
70,499,המדע
70,500,הבנאים
70,501,האורגים
70,502,היהלומים
70,504,בעלי מלאכה
70,506,הקדמה
70,507,הבושם
70,512,התקשורת
70,527,זינגר בשביס
70,548,המגדלור
70,552,קארו יוסף
70,554,רבנו גרשום
70,563,הרב משאש יוסף
70,574,חדרה
70,580,דרך בגין מנחם
70,584,פתח תקווה
70,586,"הרי""ם לוין"
70,591,צפת
70,595,גיא אוני
70,597,שד בן גוריון
70,601,ארבע האמהות
70,606,מרים הנביאה
70,612,ברוריה
70,620,יוהנה זבוטינסקי
70,622,רבין יצחק
70,678,שד תל חי
70,697,גור מרדכי
70,701,שד המיסדים
70,702,"קק""ל"
70,704,הנביאים
70,723,הנביא חגי
70,728,סופר אברהם
70,730,יואב בן צרויה
70,741,שהם
70,745,ברקת
70,750,שמעון בן שטח
70,752,יוסי בר חלפתא
70,755,חנינא בן דוסא
