zomet,kvish1,kvish2,KM,SHEM_ZOMET
1,1,20,0,מחלף קיבוץ גלויות
1,20,1,132,מחלף קיבוץ גלויות
5,1,4,46,מחלף גנות
5,4,1,1104,מחלף גנות
7,1,412,64,מחלף שפירים
7,412,1,161,מחלף שפירים
13,1,40,145,מחלף לוד
13,40,1,2779,מחלף לוד
17,1,3,336,מחלף לטרון
17,3,1,2717,מחלף לטרון
33,1,3965,510,מחלף הראל
33,3965,1,169,מחלף הראל
57,2,5,219,צומת גלילות
57,5,2,0,צומת גלילות
58,2,541,240,מחלף הסירה
58,541,2,0,מחלף הסירה
75,2,553,380,מחלף פולג
75,553,2,0,מחלף פולג
79,2,57,438,מחלף נתניה
79,57,2,0,מחלף נתניה
85,2,5720,510,מחלף ינאי
85,5720,2,48,מחלף ינאי
89,2,0,587,מחלף אולגה
93,2,70,755,מחלף זכרון יעקב
93,70,2,100,מחלף זכרון יעקב
95,721,2,0,מחלף עתלית
95,7110,2,0,מחלף עתלית
95,2,721,895,מחלף עתלית
99,3,4,2278,צומת אבא הלל
99,4,3,658,צומת אבא הלל
105,3,232,2319,צומת הודיה
105,232,3,788,צומת הודיה
121,3,0,2430,כניסה לקריית מלאכי (דרום)
125,3,40,2438,צומת מלאכי (קסטינה)
125,40,3,2438,צומת מלאכי (קסטינה)
153,3,44,2629,צומת נחשון (הגבורה)
153,44,3,103,צומת נחשון (הגבורה)
161,3,424,2693,צומת חטיבה שבע
161,424,3,0,צומת חטיבה שבע
263,4,34,550,צומת יד מרדכי
263,34,4,188,צומת יד מרדכי
279,4,35,646,צומת ברכיה
279,35,4,0,צומת ברכיה
283,4,232,720,צומת אשכולות
283,232,4,840,צומת אשכולות
287,4,3711,762,צומת אמונים
287,3711,4,0,צומת אמונים
293,4,0,797,כניסה לשתולים
295,4,0,794,מחלף עד הלום
297,4,42,843,צומת בני דרום דרומי
297,42,4,843,צומת בני דרום דרומי
299,41,42,56,צומת בני דרום
299,42,41,855,צומת בני דרום
301,4,41,856,מחלף אשדוד
301,41,4,50,מחלף אשדוד
303,4,4111,925,מחלף יבנה
303,4111,4,25,מחלף יבנה
309,4,441,1050,מחלף ראשון לציון
309,441,4,63,מחלף ראשון לציון
311,4,44,1093,מחלף השבעה
311,44,4,353,מחלף השבעה
313,4,461,1128,מחלף מסובים
313,461,4,43,מחלף מסובים
315,4,0,1150,מחלף אלוף שדה
317,4,471,1159,מחלף בר אילן
317,471,4,0,מחלף בר אילן
321,4,481,1191,מחלף גהה
321,481,4,50,מחלף גהה
323,4,5,1228,מחלף מורשה
323,5,4,58,מחלף מורשה
325,4,402,1301,צומת רעננה
325,402,4,58,צומת רעננה
325,541,4,80,צומת רעננה
332,4,551,1368,מחלף הדרים
332,551,4,8,מחלף הדרים
335,4,553,1392,צומת דרור
335,553,4,57,צומת דרור
343,4,5613,1444,צומת פרדסייה
343,5613,4,0,צומת פרדסייה
345,4,57,1466,צומת השרון
345,57,4,35,צומת השרון
361,4,581,1545,"צומת הרא""ה"
361,581,4,40,"צומת הרא""ה"
365,4,0,1614,צומת חרושת
367,4,65,1627,צומת נחל חדרה
367,65,4,16,צומת נחל חדרה
369,4,651,1645,צומת פל-ים
369,651,4,30,צומת פל-ים
373,4,653,1687,צומת בנימינה
373,653,4,69,צומת בנימינה
375,4,6531,1706,צומת ג`סר א-זרקא
375,6531,4,0,צומת ג`סר א-זרקא
381,4,70,1774,צומת פוריידיס
381,70,4,120,צומת פוריידיס
433,4,0,2205,צומת העשור
451,4,8611,2372,צומת רגבה
451,8611,4,0,צומת רגבה
475,4,899,2484,צומת בצת
475,899,4,0,צומת בצת
481,5,0,32,מחלף הכפר הירוק
509,25,264,1940,צומת הנשיא
509,264,25,1940,צומת הנשיא
513,25,241,1987,צומת גילת
513,241,25,213,צומת גילת
521,25,293,2090,צומת הגדי
521,293,25,0,צומת הגדי
523,25,2444,2091,צומת שרשרת
523,2444,25,0,צומת שרשרת
527,25,34,2107,צומת נתיבות
527,34,25,0,צומת נתיבות
541,31,40,29,צומת להבים
541,40,31,2001,צומת להבים
541,310,31,110,צומת להבים
543,31,60,170,צומת שוקת
543,60,31,128,צומת שוקת
553,34,232,91,צומת שער הנגב
553,232,34,563,צומת שער הנגב
563,35,3500,18,צומת משען
563,3500,35,0,צומת משען
565,35,232,56,צומת גבעתי
565,232,35,750,צומת גבעתי
573,35,352,93,צומת נהורה
573,352,35,128,צומת נהורה
577,35,40,159,צומת פלוגות
577,40,35,2307,צומת פלוגות
579,35,0,172,כניסה לקריית גת
599,35,38,325,צומת נחושה
599,38,35,0,צומת נחושה
617,38,375,100,צומת האלה
617,375,38,0,צומת האלה
639,38,44,229,צומת שמשון
639,44,38,0,צומת שמשון
641,38,395,235,צומת אשתאול
641,395,38,0,צומת אשתאול
667,40,211,1475,צומת טללים
667,211,40,1475,צומת טללים
681,40,325,2058,צומת דבירה
681,325,40,0,צומת דבירה
683,40,293,2086,צומת קמה
683,293,40,180,צומת קמה
693,40,353,2342,צומת קוממיות
693,353,40,0,צומת קוממיות
693,3533,40,0,צומת קוממיות
717,40,3922,2531,צומת חצור אשדוד
717,3922,40,0,צומת חצור אשדוד
719,40,41,2535,צומת גדרה
719,41,40,117,צומת גדרה
727,40,411,2620,צומת ברנר
727,411,40,99,צומת ברנר
727,4123,40,0,צומת ברנר
729,40,412,2628,"צומת ביל""ו"
729,412,40,0,"צומת ביל""ו"
737,40,4304,2699,צומת מצליח
737,4304,40,0,צומת מצליח
743,40,44,2712,מחלף רמלוד
743,44,40,235,מחלף רמלוד
745,40,443,2753,צומת גינתון
745,443,40,15,צומת גינתון
749,40,46,2793,צומת אל על
749,453,40,0,צומת אל על
749,46,40,0,צומת אל על
751,40,4503,2795,"כניסה לנתב""ג"
751,4503,40,15,"כניסה לנתב""ג"
753,40,0,2821,צומת תעשייה אווירית
755,40,4613,2825,צומת בדק
755,4613,40,0,צומת בדק
795,402,554,54,צומת כפר סבא
795,554,402,0,צומת כפר סבא
799,41,0,19,צומת נמל אשדוד
803,41,0,41,כניסה לבני דרום
811,4000,41,0,צומת בית רבן
811,4102,41,0,צומת בית רבן
811,41,4000,82,צומת בית רבן
831,42,4303,983,צומת בית עובד
831,4303,42,0,צומת בית עובד
857,44,424,225,צומת גזר
857,424,44,128,צומת גזר
863,44,0,300,צומת צריפין
865,44,4402,313,"צומת חב""ד"
865,4402,44,0,"צומת חב""ד"
867,44,412,341,צומת בית דגן
867,412,44,144,צומת בית דגן
877,44,0,372,צומת אזור (רח' הרצל)
933,57,0,55,כניסה לכפר יונה (מערב)
937,57,5613,86,צומת ינוב
937,5613,57,75,צומת ינוב
941,57,5614,113,צומת קלנסווה
941,5614,57,0,צומת קלנסווה
945,57,5714,126,צומת ניצני עוז
945,5714,57,0,צומת ניצני עוז
1059,60,675,2033,צומת יזרעאל
1059,675,60,90,צומת יזרעאל
1073,60,73,2155,צומת עדשים
1073,73,60,116,צומת עדשים
1083,65,650,73,צומת אלון (שמורת אלון)
1083,650,65,0,צומת אלון (שמורת אלון)
1089,65,6403,108,צומת מנשה
1089,6403,65,197,צומת מנשה
1089,6502,65,0,צומת מנשה
1093,65,574,145,צומת משמר הגבול
1093,574,65,201,צומת משמר הגבול
1101,65,6513,191,צומת לברטעה (קציר)
1101,6513,65,0,צומת לברטעה (קציר)
1105,65,6524,209,צומת ערערה
1105,6524,65,0,צומת ערערה
1111,65,0,279,כניסה לאום אל-פחם
1115,65,66,342,צומת מגידו
1115,66,65,188,צומת מגידו
1137,65,7276,590,צומת גזית
1137,7276,65,0,צומת גזית
1147,65,77,705,צומת גולני
1147,77,65,672,צומת גולני
1153,805,806,237,צומת חנא
1153,806,805,52,צומת חנא
1161,85,866,315,צומת חנניה
1161,866,85,315,צומת חנניה
1191,70,652,146,צומת שפיה
