pk_teuna_fikt,mispar_rehev_fikt,SHNAT_TEUNA,HODESH_TEUNA,NEFAH,SHNAT_YITZUR,KIVUNE_NESIA,MATZAV_REHEV,SHIYUH_REHEV_LMS,SUG_REHEV_LMS,MEKOMOT_YESHIVA_LMS,MISHKAL_KOLEL_LMS,SUG_TIK
2013016181,1,2013,1,6,2011,0,0,1,1,3,1,3
2013010178,1,2013,2,6,2011,0,0,1,1,3,1,3
2013033308,2,2013,2,6,2012,0,0,1,1,3,1,3
2013046990,2,2013,3,8,2001,0,0,1,2,3,1,3
2013046171,1,2013,4,5,2011,0,0,1,1,3,1,3
2013050894,1,2013,5,7,2011,0,0,1,1,99,1,3
2013057743,1,2013,5,9,2005,0,0,1,4,99,5,3
2013029969,2,2013,7,5,2000,0,0,1,1,99,1,3
2013043414,1,2013,6,6,2007,0,0,1,1,99,,3
2013041213,1,2013,7,8,1995,0,0,1,3,3,2,3
2013029252,1,2013,8,6,2008,0,0,1,1,3,,3
2013045123,2,2013,8,6,2001,0,0,1,1,99,1,3
2013020048,2,2013,8,6,2000,0,0,1,1,99,1,3
2013047414,2,2013,9,6,2003,0,0,1,1,3,,3
2013052170,2,2013,9,13,2005,0,0,1,11,53,13,3
2013035629,2,2013,7,6,2008,0,0,1,1,99,,3
2013040793,2,2013,10,6,2008,0,0,1,1,99,,3
2013030320,1,2013,10,6,2002,0,0,1,1,3,1,3
2013008402,2,2013,10,6,1995,0,0,1,1,99,,3
2013023943,2,2013,9,8,2005,0,0,1,1,99,1,3
2013053270,1,2013,10,6,2012,0,0,1,1,3,1,3
2013053270,2,2013,10,13,2010,0,0,1,11,55,11,3
2013045421,1,2013,10,9,2009,0,0,1,3,3,3,3
2013045421,2,2013,10,5,2008,0,0,1,1,3,1,3
2013052849,1,2013,10,6,2010,0,0,1,1,99,1,3
2013052849,2,2013,10,6,2010,0,0,1,1,99,1,3
2013004924,1,2013,10,6,1999,0,0,1,1,99,,3
2013004924,2,2013,10,0,0,0,0,1,17,99,0,3
2013054784,1,2013,10,6,2011,0,0,1,1,99,1,3
2013054784,2,2013,10,9,2013,0,0,1,12,3,2,3
2013054738,1,2013,10,8,2009,0,0,1,1,5,,3
2013054738,2,2013,10,8,1999,0,0,1,1,99,,3
2013057857,1,2013,10,6,1999,0,0,1,1,4,1,3
2013057857,2,2013,10,0,0,0,0,1,17,99,0,3
2013016996,1,2013,10,2,2008,0,0,1,10,99,,3
2013016996,2,2013,10,6,2003,0,0,1,1,3,,3
2013014499,1,2013,10,6,2011,0,0,1,1,99,1,3
2013014499,2,2013,10,6,2000,0,0,1,1,99,,3
2013002518,1,2013,10,7,2008,0,0,1,1,3,,3
2013002518,2,2013,10,6,2009,0,0,1,1,99,1,3
2013012463,1,2013,10,6,2000,0,0,1,1,99,,3
2013012463,2,2013,10,6,2004,0,0,1,1,3,1,3
2013040059,1,2013,8,8,2009,0,0,1,2,3,2,3
2013040059,2,2013,8,9,2005,0,0,1,18,14,3,3
2013001506,1,2013,10,2,2007,0,0,1,9,1,,3
2013001506,2,2013,10,5,2001,0,0,1,1,99,1,3
2013040830,1,2013,10,9,2000,0,0,1,1,99,,3
2013040830,2,2013,10,10,2003,0,0,1,3,3,2,3
2013034323,1,2013,10,13,2011,0,0,1,11,53,13,3
2013027476,1,2013,7,6,2009,0,0,1,2,3,1,3
2013027476,2,2013,7,6,2010,0,0,1,1,3,1,3
2013016848,1,2013,10,6,2011,0,0,1,1,99,1,3
2013016848,2,2013,10,6,2013,0,0,1,1,3,1,3
2013058100,1,2013,8,2,2013,0,0,1,9,1,,3
2013051077,1,2013,10,6,2011,0,0,1,1,3,1,3
2013051077,2,2013,10,8,2000,0,0,1,1,5,1,3
2013010074,1,2013,10,6,2005,3344,0,1,1,3,1,3
2013010074,2,2013,10,5,2011,0,0,1,1,3,1,3
2013057615,1,2013,10,8,2011,0,0,1,1,99,2,3
2013057615,2,2013,10,0,0,0,0,1,15,99,0,3
2013054597,1,2013,10,13,2010,0,0,1,11,53,13,3
2013028769,1,2013,9,6,2011,0,0,1,2,3,1,3
2013028769,2,2013,9,6,2001,0,0,1,1,99,,3
2013049639,1,2013,5,6,2010,0,0,1,1,3,1,3
2013049639,2,2013,5,6,2012,0,0,1,1,99,1,3
2013006326,1,2013,10,6,2002,0,0,1,1,99,1,3
2013006326,2,2013,10,5,2012,0,0,1,1,3,1,3
2013019136,1,2013,10,6,2010,0,0,1,1,3,1,3
2013019136,2,2013,10,7,2013,0,0,1,1,3,2,3
2013019136,3,2013,10,8,2012,0,0,1,1,99,1,3
2013056497,1,2013,10,10,2008,0,0,1,1,99,,3
2013056497,2,2013,10,0,0,0,0,1,17,99,0,3
2013038160,1,2013,10,2,2008,0,0,1,10,99,,3
2013038160,2,2013,10,0,0,0,0,1,15,99,0,3
2013023328,1,2013,9,6,1998,0,0,1,1,4,,3
2013023328,2,2013,9,6,2006,0,0,1,1,99,,3
2013023328,3,2013,9,6,2005,0,0,1,1,3,1,3
2013003212,1,2013,10,5,2010,0,0,1,1,3,1,3
2013017370,1,2013,10,6,2011,0,0,1,1,3,1,3
2013047375,1,2013,7,6,2011,0,0,1,1,3,1,3
2013047375,2,2013,7,7,2011,0,0,1,1,5,1,3
2013020752,1,2013,10,5,2008,0,0,1,1,3,1,3
2013020752,2,2013,10,0,0,0,0,1,15,99,0,3
2013019431,1,2013,10,9,2007,0,0,1,1,3,2,3
2013030321,1,2013,10,6,2010,0,0,1,1,99,1,3
2013030321,2,2013,10,6,2004,0,0,1,1,3,,3
2013026462,1,2013,10,13,2008,0,0,1,11,36,11,3
2013025206,1,2013,10,6,2010,0,0,1,1,3,1,3
2013025206,2,2013,10,6,2001,0,0,1,1,99,1,3
2013018067,1,2013,10,8,1996,0,0,1,1,4,,3
2013023327,1,2013,7,6,2010,0,0,1,1,3,1,3
2013023327,2,2013,7,6,2010,0,0,1,1,3,1,3
2013015605,1,2013,10,11,2010,0,0,1,6,99,11,3
2013001248,1,2013,10,6,2012,0,0,1,1,3,1,3
2013054138,1,2013,10,6,2001,0,0,1,1,3,,3
2013054138,2,2013,10,6,2012,0,0,1,1,3,1,3
2013042753,1,2013,10,2,2008,0,0,1,10,99,,3
2013042753,2,2013,10,6,2003,0,0,1,1,99,,3
2013032603,1,2013,9,2,2012,0,0,1,9,1,,3
2013027475,1,2013,10,8,2013,0,0,1,12,3,2,3
2013027475,2,2013,10,9,2008,0,0,1,2,5,2,3
2013024618,1,2013,7,6,2010,0,0,1,1,3,1,3
2013024618,2,2013,7,0,0,0,0,1,17,99,0,3
2013012856,1,2013,10,2,2011,0,0,1,9,1,1,3
2013012856,2,2013,10,0,0,0,0,1,17,99,0,3
2013029760,1,2013,10,6,2006,0,0,1,1,99,,3
2013008262,1,2013,9,8,2004,0,0,1,12,3,,3
2013008262,2,2013,9,6,1995,0,0,1,1,99,,3
2013034494,1,2013,10,6,2009,0,0,1,1,99,1,3
2013034494,2,2013,10,6,2012,0,0,1,1,3,1,3
