"TABLE 8.- MOTOR  VEHICLES REGISTERED IN CITIES, ",,,,,,,,,,,,"לוח 8.- כלי רכב מנועיים הרשומים בערים,"
"                     BY TYPE OF VEHICLE",,,,,,,,,,,,"              לפי סוג כלי רכב"
,,,,,,,,,,,,
"Absolute numbers",,,,,,2011,,,,,,"מספרים מוחלטים"
," Type of vehicle",,,,,,,,,"סוג כלי רכב","אוכלוסייה",
,"אופנוע","כלי","מונית","אוטובוס","אוטובוס","Truck",,"משאית","כלי","סך כולל","קבועה (1)",
,,"רכב",,,"זעיר","מעל 3.5","עד 3.5 ","סך הכל","רכב פרטי",,"בסוף 2011",
"City",,"מיוחד",,,,"טונות","טונות",,,,"Permanent","עיר"
,,,,,,,,,,,"population (1)",
,"Motor-","Special","Taxi","Bus","Minibus","Over","Up  to","Total","Private","Grand","at the end of ",
,"cycle","vehicle",,,,"3.5 tons","3.5 tons",,"car"," total",2011,
" Total","97,307","3,532","16,455","12,386","10,053","49,773","183,161","232,934","1,657,094 ","2,029,761 ","5,856,100 ","סך הכל"
"Umm Al-Fahm",237,2,64,32,131,368,"2,084","2,452","9,465 ","12,383 ","48,500 ","אום אל-פחם"
"Ofaqim",113,2,30,109,66,72,502,574,"4,135 ","5,029 ","24,400 ","אופקים"
"Or Yehuda",659,11,324,467,216,396,"1,158","1,554","9,003 ","12,234 ","35,000 ","אור יהודה"
"Or Aqiva",115,3,17,26,42,94,494,588,"4,060 ","4,851 ","15,900 ","אור עקיבא"
"Elat","1,489",38,285,48,50,422,"1,777","2,199","11,280 ","15,389 ","46,700 ","אילת"
"Elad",205,"-",20,5,33,55,641,696,"3,647 ","4,606 ","39,800 ","אלעד"
"Ari'el",161,1,20,25,39,75,436,511,"4,011 ","4,768 ","17,800 ","אריאל"
"Ashdod","1,140",61,544,168,360,"1,584","4,182","5,766","40,503 ","48,542 ","212,300 ","אשדוד"
"Ashqelon",893,99,328,82,196,"1,039","3,536","4,575","27,427 ","33,600 ","117,400 ","אשקלון"
"Baqa-Jatt",269,24,71,35,130,463,"1,778","2,241","8,436 ","11,206 ","35,200 ","באקה-ג'ת"
"Be'er Sheva","1,259",97,615,524,407,"1,638","5,250","6,888","42,857 ","52,647 ","196,300 ","באר שבע"
"Bet She'an",195,3,8,42,30,121,494,615,"3,967 ","4,860 ","16,900 ","בית שאן"
"Bet Shemesh",267,22,125,75,104,245,"1,437","1,682","8,784 ","11,059 ","84,200 ","בית שמש"
"Betar Illit",71,"-",3,22,53,27,377,404,"1,665 ","2,218 ","39,700 ","ביתר עילית"
"Bene Beraq","1,933",73,106,152,188,"1,148","5,512","6,660","79,570 ","88,682 ","163,300 ","בני ברק"
" Bat Yam","2,942",13,899,22,98,599,"3,007","3,606","27,451 ","35,031 ","128,200 ","בת ים"
"Giv'at Shemuel",664,3,45,3,28,74,634,708,"6,435 ","7,886 ","23,100 ","גבעת שמואל"
"Giv'atayim","2,585",10,202,4,20,145,"1,138","1,283","17,267 ","21,371 ","54,700 ","גבעתיים"
"Dimona",215,4,88,64,64,340,800,"1,140","6,497 ","8,072 ","32,400 ","דימונה"
"Hod HaSharon","1,047",12,99,9,65,443,"1,924","2,367","18,584 ","22,183 ","49,900 ","הוד השרון"
"Herzliyya","2,604",33,217,78,50,733,"3,348","4,081","34,431 ","41,494 ","88,700 ","הרצלייה"
"Hadera","1,024",59,95,97,152,656,"2,486","3,142","22,248 ","26,817 ","82,500 ","חדרה"
"Holon","4,771",86,"1,469",136,174,"1,958","5,994","7,952","51,372 ","65,960 ","182,600 ","חולון"
" Haifa","2,407",199,461,279,185,"2,519","8,121","10,640","91,400 ","105,571 ","270,400 ","חיפה"
"Tiberias",556,11,90,37,55,302,"1,222","1,524","9,135 ","11,408 ","41,700 ","טבריה"
"Tayibe",77,23,72,70,211,450,"2,063","2,513","8,886 ","11,852 ","38,200 ","טייבה"
" Tire",186,12,30,9,105,419,"1,418","1,837","6,242 ","8,421 ","23,300 ","טירה"
"Tirat Karmel",106,9,115,14,5,148,469,617,"4,607 ","5,473 ","18,300 ","טירת כרמל"
" Tamra",63,10,32,38,71,245,"1,414","1,659","6,786 ","8,659 ","30,100 ","טמרה"
"Yavne",409,6,111,50,86,569,"1,298","1,867","9,980 ","12,509 ","33,300 ","יבנה"
