"TABLE 9.- MOTOR VEHICLES REGISTERED IN LOCAL COUNCILS, ",,,,,,,,,,,,"לוח 9.- כלי רכב מנועיים הרשומים במועצות מקומיות, "
"                   BY TYPE OF VEHICLE",,,,,,,,,,,,"               לפי סוג כלי רכב"
"Absolute numbers",,,,,,2011,,,,,,"מספרים מוחלטים"
,"Type of vehicle",,,,,,,,," סוג  כלי רכב","אוכלוסייה",
,"אופנוע","כלי","מונית","אוטובוס","אוטובוס","  Truck",," משאית","כלי","סך כולל","קבועה (1)",
,,"רכב",,,"זעיר",,,,"רכב פרטי",,"בסוף 2011",
"Local council",,"מיוחד",,,,"מעל 3.5 ","עד 3.5 ","סך הכל",,,"Permanent","מועצה מקומית"
,,,,,,"טונות","טונות",,,,"population (1)",
,"Motor-","Special","Taxi","Bus","Minibus","Over","Up  to","Total","Private","Grand","at the end of ",
,"cycle","vehicle",,,,"3.5 tons","3.5 tons",,"car"," total",2011,
,,,,,,,,,,,,
" Total","8,892",523,"1,910","1,431","3,062","10,129","49,302","59,431","283,817 ","359,066 ","1,177,900 ","סך הכל"
"Abu Ghosh",26,"-",12,1,17,29,188,217,"1,188 ","1,461 ","6,300 ","אבו גוש"
"Abu Sinan",93,3,43,"-",12,113,485,598,"2,709 ","3,458 ","12,900 ","אבו סנאן"
"Even Yehuda",255,7,14,5,14,116,596,712,"4,426 ","5,433 ","11,900 ","אבן יהודה"
"Oranit",147,"-",21,"-",4,52,334,386,"2,437 ","2,995 ","6,600 ","אורנית"
"Azor",420,72,77,260,10,245,712,957,"4,098 ","5,894 ","11,600 ","אזור"
"Iksal",121,3,31,10,15,140,766,906,"2,741 ","3,827 ","12,700 ","אכסאל"
"Elyakhin",45,4,5,15,22,20,143,163,"984 ","1,238 ","3,100 ","אליכין"
"Alfe Menashe",152,"-",21,"-",7,51,306,357,"2,660 ","3,197 ","7,400 ","אלפי מנשה"
"Elqana",35,1,2,"-",1,19,98,117,"1,145 ","1,301 ","3,700 ","אלקנה"
"I'billin",26,2,19,7,35,122,593,715,"2,656 ","3,460 ","11,900 ","אעבלין"
"Efrata",67,"-","-","-",10,14,297,311,"1,965 ","2,353 ","7,700 ","אפרתה"
"Be'er Ya'aqov",220,3,26,46,89,105,454,559,"3,920 ","4,863 ","14,500 ","באר יעקב"
"Bu'eine-Nujeidat",11,23,8,38,54,85,294,379,"1,594 ","2,107 ","8,300 ","בועיינה-נוג'ידאת"
"Buq'ata",6,2,3,14,66,76,341,417,"1,114 ","1,622 ","6,000 ","בוקעאתה"
"Bir El - Maksur",11,3,4,13,37,41,390,431,"1,674 ","2,173 ","8,000 ","ביר אל-מכסור"
"Bet El",31,"-","-","-",8,40,217,257,"825 ","1,121 ","5,800 ","בית אל"
"Bet Arie",87,1,13,2,4,20,190,210,"1,334 ","1,651 ","4,100 ","בית אריה"
"Beit Jann",10,1,5,15,52,31,462,493,"2,176 ","2,752 ","10,800 ","בית ג'ן"
"Bet Dagan",229,5,24,7,5,88,403,491,"2,294 ","3,055 ","7,000 ","בית דגן"
"Bene Ayish",43,"-",4,1,16,139,386,525,"2,270 ","2,859 ","7,000 ","בני עי""ש"
"Binyamina-Giv'at Ada",171,2,3,2,9,79,577,656,"3,830 ","4,673 ","13,600 ","בנימינה-גבעת עדה"
"Basma",21,"-",9,5,44,39,376,415,"1,802 ","2,296 ","8,100 ","בסמ""ה"
"Basmat Tab'un",32,2,57,"-",7,77,299,376,"1,462 ","1,936 ","7,000 ","בסמת טבעון"
"Bi'ne",36,2,2,2,21,65,364,429,"1,477 ","1,969 ","7,500 ","בענה"
"Giv'at Ze'ev",156,38,75,11,14,65,343,408,"3,729 ","4,431 ","12,600 ","גבעת זאב"
"Judeide-Maker",77,3,23,"-",24,113,668,781,"3,851 ","4,759 ","19,000 ","ג'דיידה-מכר"
"Gedera",230,4,39,3,13,134,802,936,"6,331 ","7,556 ","24,400 ","גדרה"
"Julis",47,"-",48,7,12,11,242,253,"1,431 ","1,798 ","5,900 ","ג'ולס"
"Jaljulye",41,3,4,5,39,86,600,686,"1,924 ","2,702 ","8,700 ","ג'לג'וליה"
"Gan Yavne",228,2,50,4,21,166,800,966,"5,951 ","7,222 ","20,500 ","גן יבנה"
"Ganne Tiqwa",380,5,43,2,9,62,429,491,"4,590 ","5,520 ","13,900 ","גני תקווה"
"Jisr Az-Zarqa",19,"-","-",8,107,16,242,258,"1,508 ","1,900 ","12,900 ","ג'סר א-זרקא"
"Jish (Gush Halav)",7,1,4,2,5,24,193,217,"849 ","1,085 ","3,000 ","ג'ש (גוש חלב)"
"Daliyat Al-Karmel",55,1,35,7,47,153,934,"1,087","4,196 ","5,428 ","15,800 ","דאלית אל-כרמל"
"Daburiyya",15,7,6,2,32,332,355,687,"2,107 ","2,856 ","9,300 ","דבורייה"
"Deir Al-Asad",10,8,4,7,41,150,414,564,"2,269 ","2,903 ","10,900 ","דייר אל-אסד"
"Deir Hanna",16,5,24,25,41,41,344,385,"2,061 ","2,557 ","9,200 ","דייר חנא"
"Har Adar",51,"-",2,2,"-",11,142,153,"1,351 ","1,559 ","3,600 ","הר אדר"
"Zikhron Ya'aqov",208,5,15,11,34,223,681,904,"6,020 ","7,197 ","20,200 ","זכרון יעקב"
"Zemer",23,"-",2,20,24,151,344,495,"1,496 ","2,060 ","5,900 ","זמר"
"Zarzir",26,"-",5,4,5,13,262,275,"1,392 ","1,707 ","6,700 ","זרזיר"
"Hura",5,1,"-",11,105,96,443,539,"1,095 ","1,756 ","17,000 ","חורה"
" Hurfeish",11,2,13,6,24,22,199,221,"1,274 ","1,551 ","5,700 ","חורפיש"
" Hazor HaGelilit",68,28,7,13,16,79,312,391,"2,028 ","2,551 ","8,700 ","חצור הגלילית"
" Tuba - Zangariyye",9,2,1,7,30,77,202,279,"1,141 ","1,469 ","5,900 ","טובא-זנגרייה"
" Tur'an",13,5,10,18,24,359,682,"1,041","2,422 ","3,533 ","12,400 ","טורעאן"
" Yanuh-Jat",9,3,4,1,9,27,250,277,"1,225 ","1,528 ","5,900 ","יאנוח-ג'ת"
" Yavne'el",30,1,5,5,7,54,157,211,"758 ","1,017 ","3,700 ","יבנאל"
" Yesud HaMa'ala",32,"-","-","-",1,28,182,210,"491 ","734 ","1,500 ","יסוד המעלה"
" Yafi",46,14,24,4,28,158,890,"1,048","3,820 ","4,984 ","17,200 ","יפיע"
"Yeroham",46,"-",8,8,25,34,282,316,"1,481 ","1,884 ","8,300 ","ירוחם"
"Yirka",45,18,46,28,48,202,813,"1,015","3,247 ","4,447 ","15,300 ","ירכא"
" Kabul",33,2,11,39,48,50,363,413,"2,276 ","2,822 ","12,500 ","כאבול"
"Kaokab Abu Al-                Hija",5,"-",10,4,3,26,95,121,"860 ","1,003 ","3,000 ","כאוכב אבו אל-          היג'א"
"Kokhav Ya'ir",176,4,12,1,3,78,433,511,"3,805 ","4,512 ","9,200 ","כוכב יאיר"
"Kuseife",4,"-",8,2,105,51,403,454,"908 ","1,481 ","17,200 ","כסיפה"
"Kisra-Sumei",7,1,8,"-",20,23,226,249,"1,400 ","1,685 ","7,600 ","כסרא-סמיע"
"Ka'abiyye-                         Tabbash-Hajajre",15,1,1,12,21,24,247,271,"938 ","1,259 ","4,600 ","כעביה-טבאש-            חג'אג'רה"
"Kafar Bara",9,1,11,3,16,89,217,306,"630 ","976 ","3,000 ","כפר ברא"
"Kefar Weradim",56,"-",1,"-","-",16,178,194,"2,085 ","2,336 ","5,600 ","כפר ורדים"
"Kafar Yasif",61,4,33,"-",19,69,460,529,"2,749 ","3,395 ","8,900 ","כפר יאסיף"
"Kefar Yona",353,1,44,1,13,112,751,863,"5,694 ","6,969 ","19,500 ","כפר יונה"
"Kafar Kama",41,"-",5,"-","-",10,107,117,"877 ","1,040 ","3,000 ","כפר כמא"
"Kafar Kanna",32,10,19,57,58,237,957,"1,194","4,142 ","5,512 ","19,700 ","כפר כנא"
"TABLE 9.- MOTOR VEHICLES REGISTERED IN LOCAL COUNCILS, ",,,,,,,,,,,,"לוח 9.- כלי רכב מנועיים הרשומים במועצות מקומיות, "
"                   BY TYPE OF VEHICLE (Cont'd)",,,,,,,,,,,,"              לפי סוג כלי רכב (המשך)"
"Absolute numbers",,,,,,2011,,,,,,"מספרים מוחלטים"
,"Type of vehicle",,,,,,,,," סוג  כלי רכב","אוכלוסייה",
,"אופנוע","כלי","מונית","אוטובוס","אוטובוס","  Truck",," משאית","כלי","סך כולל","קבועה (1)",
,,"רכב",,,"זעיר",,,,"רכב פרטי",,"בסוף 2011",
"Local council",,"מיוחד",,,,"מעל 3.5 ","עד 3.5 ","סך הכל",,,"Permanent","מועצה מקומית"
,,,,,,"טונות","טונות",,,,"population (1)",
,"Motor-","Special","Taxi","Bus","Minibus","Over","Up  to","Total","Private","Grand","at the end of ",
,"cycle","vehicle",,,,"3.5 tons","3.5 tons",,"car"," total",2011,
,,,,,,,,,,,,
"Kafar Manda",14,7,41,4,189,116,643,759,"3,033 ","4,047 ","17,000 ","כפר מנדא"
"Kafar Qara",109,3,7,44,45,243,937,"1,180","4,212 ","5,600 ","16,300 ","כפר קרע"
"Kefar Shemaryahu",69,1,4,"-","-",26,161,187,"973 ","1,234 ","1,800 ","כפר שמריהו"
"Kefar Tavor",41,1,"-",1,3,30,161,191,"1,173 ","1,410 ","3,000 ","כפר תבור"
"Lehavim",70,1,9,86,6,25,164,189,"2,258 ","2,619 ","6,100 ","להבים"
"Laqye",11,"-","-",18,84,81,446,527,"1,294 ","1,934 ","9,600 ","לקיה"
"Mevasseret Ziyyon",353,17,85,25,16,146,718,864,"8,568 ","9,928 ","25,300 ","מבשרת ציון"
"Mughar",14,3,36,2,55,145,778,923,"4,193 ","5,226 ","20,700 ","מגאר"
"Majd Al-Kurum",52,3,12,14,26,108,438,546,"2,871 ","3,524 ","13,800 ","מג'ד אל-כרום"
"Migdal",22,1,4,"-",3,28,106,134,"432 ","596 ","1,600 ","מגדל"
"Majdal Shams",19,4,9,7,41,179,784,963,"2,320 ","3,363 ","9,900 ","מג'דל שמס"
"Mazkeret Batya",192,3,30,"-",3,106,398,504,"3,345 ","4,077 ","10,100 ","מזכרת בתיה"
"Mazra'a",61,1,5,1,1,32,166,198,"773 ","1,040 ","3,500 ","מזרעה"
"Metula",27,"-",1,"-",3,33,134,167,"612 ","810 ","1,600 ","מטולה"
"Metar",73,1,17,1,4,36,251,287,"2,619 ","3,002 ","6,600 ","מיתר"
"Mas'ade",2,1,"-",3,19,58,352,410,"768 ","1,203 ","3,300 ","מסעדה"
"Mi'elya",8,1,4,1,9,29,256,285,"927 ","1,235 ","2,900 ","מעיליא"
"Ma'ale Efrayim",20,"-","-","-",2,12,43,55,"320 ","397 ","1,200 ","מעלה אפרים"
"Ma'ale Iron",38,6,7,1,35,122,701,823,"2,637 ","3,547 ","13,200 ","מעלה עירון"
"Mizpe Ramon",35,"-","-",4,9,9,211,220,"943 ","1,211 ","4,900 ","מצפה רמון"
"Meshhed",14,1,13,5,18,195,393,588,"1,290 ","1,929 ","7,300 ","משהד"
"Nahef",26,7,13,1,40,35,419,454,"2,084 ","2,625 ","11,200 ","נחף"
"Sajur",3,"-",20,"-",5,9,78,87,"743 ","858 ","3,800 ","סאג'ור"
"Savyon",123,"-",1,"-","-",22,256,278,"1,959 ","2,361 ","3,100 ","סביון"
"Ghajar",3,"-",7,6,17,24,74,98,"324 ","455 ","2,300 ","ע'ג'ר"
"Omer",92,22,9,4,10,99,364,463,"3,377 ","3,977 ","7,100 ","עומר"
"Eilabun",16,1,8,11,6,35,236,271,"1,423 ","1,736 ","5,000 ","עיילבון"
"Ilut",10,1,4,2,14,168,487,655,"1,129 ","1,815 ","7,100 ","עילוט"
"Ein Mahel",8,"-",17,12,19,52,400,452,"2,232 ","2,740 ","11,700 ","עין מאהל"
"Ein Qiniyye",5,"-",2,"-",18,16,147,163,"431 ","619 ","1,800 ","עין קנייא"
"Immanu'el",25,"-",1,"-",4,9,48,57,"264 ","351 ","3,000 ","עמנואל"
"Isifya",51,6,57,10,29,64,449,513,"3,004 ","3,670 ","11,100 ","עספיא"
"Arrabe",28,7,26,14,62,196,"1,117","1,313","4,703 ","6,153 ","22,200 ","עראבה"
"Ar'ara",91,5,34,12,24,129,974,"1,103","4,059 ","5,328 ","22,800 ","ערערה"
"Ar'ara-BaNegev",7,"-",2,1,48,76,413,489,"944 ","1,491 ","13,600 ","ערערה-בנגב"
"Fureidis",47,1,1,9,40,106,441,547,"2,134 ","2,779 ","11,500 ","פוריידיס"
"Fassuta",8,3,13,1,2,14,174,188,"868 ","1,083 ","2,900 ","פסוטה"
"Peqi'in (Buqei'a)",9,"-",21,134,26,56,273,329,"1,420 ","1,939 ","5,500 ","פקיעין (בוקייעה)"
"Pardes Hanna-Karkur",414,6,44,74,56,226,"1,317","1,543","9,697 ","11,834 ","33,500 ","פרדס חנה-כרכור"
"Pardesiyya",118,3,20,1,4,43,221,264,"2,219 ","2,629 ","5,500 ","פרדסייה"
"Qedumim",24,"-","-","-",4,15,143,158,"765 ","951 ","3,900 ","קדומים"
"Qadima-Zoran",281,12,44,30,23,224,831,"1,055","5,226 ","6,671 ","17,600 ","קדימה-צורן"
"Qazir-Harish",25,1,2,"-",3,18,145,163,"951 ","1,145 ","3,300 ","קציר-חריש"
"Qazrin",79,1,11,25,36,40,254,294,"1,868 ","2,314 ","6,600 ","קצרין"
"Qiryat Arba",34,3,2,2,15,22,152,174,"851 ","1,081 ","7,400 ","קריית ארבע"
"Qiryat Tiv'on",152,3,39,2,25,94,614,708,"5,573 ","6,502 ","17,100 ","קריית טבעון"
"Qiryat Ye'arim",11,"-","-","-",8,2,55,57,"344 ","420 ","3,200 ","קריית יערים"
"Qiryat Eqron",130,22,49,4,11,93,358,451,"2,979 ","3,646 ","10,300 ","קריית עקרון"
"Qarne Shomeron",52,1,7,2,5,28,265,293,"1,692 ","2,052 ","6,400 ","קרני שומרון"
"Rame",14,3,19,"-",27,92,357,449,"2,144 ","2,656 ","7,300 ","ראמה"
"Rosh Pinna",52,1,4,"-",4,48,201,249,"1,060 ","1,370 ","2,700 ","ראש פינה"
"Reine",29,19,15,19,31,168,805,973,"3,118 ","4,204 ","17,500 ","ריינה"
"Rekhasim",33,"-",5,4,22,16,147,163,"973 ","1,200 ","9,800 ","רכסים"
"Ramat Yishay",76,"-",2,"-",1,71,240,311,"2,457 ","2,847 ","7,100 ","רמת ישי"
"Shibli-Umm Al-Ghanam",22,3,5,5,36,162,262,424,"1,170 ","1,665 ","5,300 ","שבלי-אום אל-גנם"
"Segev-Shalom",8,"-",2,1,39,96,298,394,"732 ","1,176 ","7,800 ","שגב-שלום"
"Shoham",293,1,34,5,16,70,562,632,"6,102 ","7,083 ","19,400 ","שוהם"
"Shelomi",53,3,5,15,13,24,207,231,"1,697 ","2,017 ","6,100 ","שלומי"
"Sha'ab",23,2,4,"-",34,30,234,264,"1,339 ","1,666 ","6,100 ","שעב"
"Tel Mond",153,5,12,13,10,81,497,578,"3,552 ","4,323 ","10,800 ","תל מונד"
"Tel Sheva",28,10,2,12,54,105,617,722,"1,417 ","2,245 ","16,400 ","תל שבע"
,,,,,,,,,,,,
" (1) Population data - based on temporary estimate for the year 2011.",,,,,,,,,,,,"(1) נתוני האוכלוסייה - על בסיס אומדן ארעי לשנת 2011."
