"TABLE 9.- MOTOR VEHICLES REGISTERED IN LOCAL COUNCILS,(1)",,,,,,,,,,,,"לוח 9.- כלי רכב מנועיים הרשומים במועצות מקומיות,(1)"
"                   BY TYPE OF VEHICLE",,,,,,,,,,,,"               לפי סוג כלי רכב"
"Absolute numbers",,,,,,2012,,,,,,"מספרים מוחלטים"
,"Type of vehicle",,,,,,,,," סוג  כלי רכב","אוכלוסייה",
,"אופנוע","כלי","מונית","אוטובוס","אוטובוס","  Truck",," משאית","כלי","סך כולל","קבועה (2)",
,,"רכב",,,"זעיר",,,,"רכב פרטי",,"בסוף 2012",
"Local council",,"מיוחד",,,,"מעל 3.5 ","עד 3.5 ","סך הכל",,,"Permanent","מועצה מקומית"
,,,,,,"טונות","טונות",,,,"population (2)",
,"Motor-","Special","Taxi","Bus","Minibus","Over","Up  to","Total","Private","Grand","at the end of ",
,"cycle","vehicle",,,,"3.5 tons","3.5 tons",,"car"," total",2012,
,,,,,,,,,,,,
" Total","9,570",490,"1,943","1,486","3,098","10,789","49,444","60,233","301,927 ","378,747 ","1,212,400 ","סך הכל"
"Abu Ghosh",40,0,13,1,18,27,185,212,"1,298 ","1,582 ","6,500 ","אבו גוש"
"Abu Sinan",97,3,43,0,14,121,503,624,"2,927 ","3,708 ","12,600 ","אבו סנאן"
"Even Yehuda",251,5,13,6,14,126,566,692,"4,631 ","5,612 ","12,400 ","אבן יהודה"
"Oranit",160,0,20,1,2,58,323,381,"2,625 ","3,189 ","7,200 ","אורנית"
"Azor",411,71,86,259,11,255,676,931,"4,123 ","5,892 ","11,700 ","אזור"
"Iksal",151,3,29,12,17,135,805,940,"2,931 ","4,083 ","13,000 ","אכסאל"
"Elyakhin",60,5,6,14,21,22,147,169,"1,036 ","1,311 ","3,200 ","אליכין"
"Alfe Menashe",152,0,23,0,5,53,305,358,"2,716 ","3,254 ","7,600 ","אלפי מנשה"
"Elqana",35,1,2,0,1,20,87,107,"1,185 ","1,331 ","3,900 ","אלקנה"
"I'billin",46,2,21,7,39,140,628,768,"2,798 ","3,681 ","12,300 ","אעבלין"
"Efrata",75,0,0,0,11,17,269,286,"2,041 ","2,413 ","7,800 ","אפרתה"
"Be'er Ya'aqov",240,2,30,48,86,126,455,581,"4,356 ","5,343 ","16,300 ","באר יעקב"
"Bu'eine-Nujeidat",12,25,7,43,47,88,305,393,"1,732 ","2,259 ","8,500 ","בועיינה-נוג'ידאת"
"Buq'ata",5,2,3,15,57,92,349,441,"1,198 ","1,721 ","6,100 ","בוקעאתה"
"Bir El - Maksur",13,4,3,13,36,43,414,457,"1,798 ","2,324 ","8,100 ","ביר אל-מכסור"
"Bet El",35,0,0,0,8,42,195,237,"854 ","1,134 ","5,900 ","בית אל"
"Bet Arie",97,1,12,1,3,23,195,218,"1,386 ","1,718 ","4,200 ","בית אריה"
"Beit Jann",9,1,5,14,51,28,484,512,"2,346 ","2,938 ","11,400 ","בית ג'ן"
"Bet Dagan",229,5,31,8,4,85,399,484,"2,334 ","3,095 ","7,100 ","בית דגן"
"Bene Ayish",55,0,3,1,16,91,320,411,"2,231 ","2,717 ","7,000 ","בני עי""ש"
"Binyamina-Giv'at Ada",190,2,4,3,9,87,534,621,"4,025 ","4,854 ","14,000 ","בנימינה-גבעת עדה"
"Basma",24,1,9,6,50,46,377,423,"1,913 ","2,426 ","8,500 ","בסמ""ה"
"Basmat Tab'un",39,2,58,0,3,83,296,379,"1,520 ","2,001 ","7,100 ","בסמת טבעון"
"Bi'ne",40,3,2,2,18,66,380,446,"1,608 ","2,119 ","7,600 ","בענה"
"Giv'at Ze'ev",168,0,80,11,8,63,338,401,"3,879 ","4,547 ","13,500 ","גבעת זאב"
"Judeide-Maker",113,4,23,0,25,106,698,804,"4,146 ","5,115 ","19,600 ","ג'דיידה-מכר"
"Gedera",231,4,41,6,17,145,776,921,"6,711 ","7,931 ","24,700 ","גדרה"
"Julis",67,0,46,5,11,16,236,252,"1,533 ","1,914 ","6,000 ","ג'ולס"
"Jaljulye",51,3,5,6,39,101,596,697,"2,028 ","2,829 ","8,900 ","ג'לג'וליה"
