"TABLE 8.- MOTOR  VEHICLES REGISTERED IN CITIES,(1)",,,,,,,,,,,,"לוח 8.- כלי רכב מנועיים הרשומים  בערים,(1)"
"                     BY TYPE OF VEHICLE",,,,,,,,,,,,"              לפי סוג כלי רכב"
,,,,,,,,,,,,
"Absolute numbers",,,,,,2013,,,,,,"מספרים מוחלטים"
," Type of vehicle",,,,,,,,,"סוג כלי רכב","אוכלוסייה",
,"אופנוע","כלי","מונית","אוטובוס","אוטובוס","Truck",,"משאית","כלי","סך כולל","קבועה (2)",
,,"רכב",,,"זעיר","מעל 3.5","עד 3.5 ","סך הכל","רכב פרטי",,"בסוף 2012",
"City",,"מיוחד",,,,"טונות","טונות",,,,"Permanent","עיר"
,,,,,,,,,,,"population (2)",
,"Motor-","Special","Taxi","Bus","Minibus","Over","Up  to","Total","Private","Grand","at the end of ",
,"cycle","vehicle",,,,"3.5 tons","3.5 tons",,"car"," total",2012,
" Total","99,669","3,769","17,108","13,555","9,686","54,286","165,789","220,075","1,736,536 ","2,100,398 ","5,943,672 ","סך הכל"
"Umm Al-Fahm",358,3,55,30,105,438,"2,113","2,551","10,750 ","13,852 ","49,502 ","אום אל-פחם"
"Ofaqim",105,2,33,99,65,102,489,591,"4,413 ","5,308 ","24,634 ","אופקים"
"Or Yehuda",728,14,358,"1,170",464,467,"1,028","1,495","9,393 ","13,622 ","35,262 ","אור יהודה"
"Or Aqiva",119,4,21,23,31,108,483,591,"4,464 ","5,253 ","16,206 ","אור עקיבא"
"Elat","1,516",27,251,55,55,450,"1,556","2,006","12,389 ","16,299 ","47,719 ","אילת"
"Elad",241,0,27,7,32,67,600,667,"3,933 ","4,907 ","41,360 ","אלעד"
"Ari'el",152,1,23,74,31,74,418,492,"4,197 ","4,970 ","18,176 ","אריאל"
"Ashdod","1,129",50,556,143,348,"1,740","3,774","5,514","44,102 ","51,842 ","214,886 ","אשדוד"
"Ashqelon","1,050",59,376,92,176,"1,181","3,357","4,538","30,894 ","37,185 ","120,038 ","אשקלון"
"Baqa-Al-Gharbiyye",283,24,63,30,86,453,"1,352","1,805","6,548 ","8,839 ","26,793 ","באקה אל-גרביה"
"Be'er Sheva","1,283",76,605,558,403,"1,815","5,090","6,905","47,128 ","56,958 ","197,269 ","באר שבע"
"Bet She'an",220,1,11,42,29,126,447,573,"4,293 ","5,169 ","17,184 ","בית שאן"
"Bet Shemesh",291,7,135,70,105,305,"1,236","1,541","9,922 ","12,071 ","89,796 ","בית שמש"
"Betar Illit",102,0,2,29,49,35,366,401,"2,056 ","2,639 ","42,467 ","ביתר עילית"
"Bene Beraq","2,410",60,100,161,175,"1,087","5,040","6,127","85,035 ","94,068 ","168,769 ","בני ברק"
" Bat Yam","3,038",18,899,16,86,620,"2,662","3,282","28,316 ","35,655 ","129,436 ","בת ים"
"Giv'at Shemuel",669,4,52,4,33,90,564,654,"7,028 ","8,444 ","23,706 ","גבעת שמואל"
"Giv'atayim","2,556",2,204,3,21,184,945,"1,129","17,707 ","21,622 ","55,703 ","גבעתיים"
"Dimona",209,5,81,54,64,319,783,"1,102","7,153 ","8,668 ","33,056 ","דימונה"
"Hod HaSharon","1,119",10,108,7,57,520,"1,660","2,180","20,171 ","23,652 ","51,035 ","הוד השרון"
"Herzliyya","2,648",21,233,81,42,793,"2,752","3,545","35,454 ","42,024 ","89,232 ","הרצלייה"
"Hadera","1,101",32,94,48,145,688,"2,279","2,967","23,995 ","28,382 ","84,065 ","חדרה"
"Holon","4,827",72,"1,615",137,159,"1,774","5,296","7,070","53,328 ","67,208 ","185,306 ","חולון"
" Haifa","2,489",330,460,456,174,"2,980","9,231","12,211","96,855 ","112,975 ","272,181 ","חיפה"
"Tiberias",600,14,97,27,53,346,"1,065","1,411","9,824 ","12,026 ","41,741 ","טבריה"
"Tayibe",123,25,61,53,180,513,"2,070","2,583","9,973 ","12,998 ","38,129 ","טייבה"
" Tire",221,9,28,9,96,459,"1,407","1,866","6,894 ","9,123 ","23,857 ","טירה"
"Tirat Karmel",131,12,124,10,5,179,416,595,"4,869 ","5,746 ","18,617 ","טירת כרמל"
" Tamra",91,12,31,39,56,310,"1,557","1,867","7,387 ","9,483 ","29,459 ","טמרה"
"Yavne",431,7,123,65,92,590,"1,179","1,769","11,410 ","13,897 ","34,174 ","יבנה"
"Yehud",742,6,123,8,9,236,960,"1,196","9,793 ","11,877 ","27,937 ","יהוד"
"Yoqne'am Illit",122,2,18,4,26,104,367,471,"5,833 ","6,476 ","20,258 ","יקנעם עילית"
" Jerusalem","9,202",244,"1,771","1,538","1,896","5,203","19,508","24,711","152,621 ","191,983 ","815,308 ","ירושלים"
"Kefar Sava","1,589",38,238,15,58,809,"3,308","4,117","45,263 ","51,318 ","89,220 ","כפר סבא"
"Kafar Qasem",94,49,74,59,144,706,"1,004","1,710","4,819 ","6,949 ","21,093 ","כפר קאסם"
"Karmi'el",391,6,53,106,167,440,886,"1,326","11,683 ","13,732 ","44,868 ","כרמיאל"
"Lod",490,38,194,126,205,717,"2,613","3,330","38,382 ","42,765 ","71,060 ","לוד"
"Migdal HaEmeq",197,4,17,19,35,247,456,703,"5,758 ","6,733 ","24,447 ","מגדל העמק"
"Modi'in-Makkabbim-Re'ut",777,9,140,12,52,286,"1,380","1,666","24,856 ","27,512 ","82,916 ","מודיעין-מכבים-רעות"
"Modi'in Illit",85,1,4,15,43,33,382,415,"2,392 ","2,955 ","55,494 ","מודיעין עילית"
"Ma'ale Adummim",400,3,110,13,34,197,671,868,"9,635 ","11,063 ","36,862 ","מעלה אדומים"
"Ma'alot-Tarshiha",121,3,22,38,40,109,589,698,"5,541 ","6,463 ","21,074 ","מעלות-תרשיחא"
"Nahariyya",895,17,56,157,49,395,"1,206","1,601","14,636 ","17,411 ","52,950 ","נהרייה"
"Nes Ziyyona",660,9,120,5,11,267,"1,095","1,362","13,719 ","15,886 ","42,986 ","נס ציונה"
" Nazareth",498,33,193,465,165,"1,014","3,661","4,675","19,765 ","25,794 ","73,954 ","נצרת"
"Nazerat Illit",208,6,33,25,47,249,930,"1,179","11,213 ","12,711 ","40,829 ","נצרת עילית"
"Nesher",213,5,35,0,6,276,519,795,"7,101 ","8,155 ","23,237 ","נשר"
"Netivot",90,9,59,35,55,266,732,998,"4,970 ","6,216 ","28,714 ","נתיבות"
"Netanya","3,113",58,577,96,158,"1,451","4,790","6,241","51,638 ","61,881 ","192,159 ","נתניה"
"Sakhnin",69,4,40,85,127,217,"1,285","1,502","7,650 ","9,477 ","27,880 ","סח'נין"
"Akko",483,12,89,24,46,354,959,"1,313","11,289 ","13,256 ","47,151 ","עכו"
"Afula",338,16,61,162,36,313,"1,014","1,327","11,241 ","13,181 ","41,721 ","עפולה"
"Arad",177,1,52,93,125,159,973,"1,132","5,182 ","6,762 ","23,936 ","ערד"
"Petah Tiqwa","4,898",103,855,102,155,"3,200","6,339","9,539","87,922 ","103,574 ","213,898 ","פתח תקווה"
"Zefat",256,8,57,56,56,96,701,797,"5,558 ","6,788 ","32,064 ","צפת"
"Qalansawe",113,2,9,17,62,209,"1,094","1,303","4,517 ","6,023 ","20,185 ","קלנסווה"
"Qiryat Ono",966,12,164,7,16,148,750,898,"11,728 ","13,791 ","34,233 ","קריית אונו"
"Qiryat Atta",536,7,113,87,131,604,"1,333","1,937","14,442 ","17,253 ","52,714 ","קריית אתא"
"Qiryat Bialik",308,11,71,7,19,384,841,"1,225","12,023 ","13,664 ","38,181 ","קריית ביאליק"
"Qiryat Gat",255,8,112,95,98,306,"1,014","1,320","9,885 ","11,773 ","48,275 ","קריית גת"
"Qiryat Yam",246,12,75,6,22,193,566,759,"9,081 ","10,201 ","38,309 ","קריית ים"
"Qiryat Motzkin",274,9,128,0,33,184,644,828,"11,907 ","13,179 ","38,915 ","קריית מוצקין"
"Qiryat Mal'akhi",87,16,23,36,52,530,579,"1,109","4,746 ","6,069 ","21,202 ","קריית מלאכי"
"Qiryat Shemona",249,4,50,60,55,293,648,941,"6,212 ","7,571 ","23,134 ","קריית שמונה"
"Rosh HaAyin",867,8,100,27,84,730,"1,213","1,943","13,547 ","16,576 ","40,608 ","ראש העין"
"Rishon LeZiyyon","4,219",658,"1,189",350,265,"2,635","7,255","9,890","79,807 ","96,378 ","235,123 ","ראשון לציון"
"Rahat",40,15,6,27,577,916,"2,178","3,094","6,014 ","9,773 ","56,943 ","רהט"
"Rehovot","1,315",39,405,64,120,707,"2,678","3,385","35,856 ","41,184 ","120,931 ","רחובות"
"Ramla",541,50,292,310,214,"2,189","2,163","4,352","16,751 ","22,510 ","68,017 ","רמלה"
"Ramat Gan","6,641",36,674,36,85,899,"3,533","4,432","45,894 ","57,798 ","148,396 ","רמת גן"
"Ramat HaSharon","1,278",21,134,12,18,261,"1,339","1,600","17,979 ","21,042 ","43,091 ","רמת השרון"
"Ra'annana","1,333",10,92,40,65,293,"1,887","2,180","26,749 ","30,469 ","69,151 ","רעננה"
"Sederot",117,14,113,103,52,226,637,863,"5,032 ","6,294 ","21,582 ","שדרות"
"Shefar'am",168,34,47,32,62,313,"1,822","2,135","9,887 ","12,365 ","38,343 ","שפרעם"
"Tel Aviv-Yafo","23,768","1,218","1,494","5,389",494,"6,109","16,072","22,181","206,138 ","260,682 ","414,565 ","תל אביב -יפו"
,,,,,,,,,,,,
"(1) The data are presented according to the locality (address) ",,,,,,,,,,,,"(1) הנתונים מסווגים לפי היישוב הרשום (כתובת) של בעל הרכב"
"      of the registered owner of the vehicle, and not of the actual user",,,,,,,,,,,,"    ולא לפי מקום מגוריו של המשתמש בפועל ברכב, "
"      of the vehicle, nor by the locality the vehicle is used. ",,,,,,,,,,,,"    ואף לא לפי היישוב שבו הרכב פעיל. "
"(2) Population data - based on temporary estimate for the year 2013.",,,,,,,,,,,,"(2) נתוני האוכלוסייה - על בסיס אומדן ארעי לשנת 2013."
