"TABLE 8.- MOTOR VEHICLES REGISTERED IN CITIES,(1)",,,,,,,,,,,,"לוח 8.- כלי רכב מנועיים הרשומים בערים,(1)"
"                     BY TYPE OF VEHICLE",,,,,,,,,,,,"              לפי סוג כלי רכב"
,,,,,,,,,,,,
"Absolute numbers",,,,,,2015,,,,,,"מספרים מוחלטים"
,"Type of vehicle",,,,,,,,,"סוג כלי רכב","אוכלוסייה",
,"אופנוע","כלי","מונית","אוטובוס","אוטובוס","Truck",,"משאית","כלי","סך כולל","קבועה ",
,,"רכב",,,"זעיר","מעל 3.5","עד 3.5 ","סך הכל","רכב פרטי",,"בסוף 2014",
"City",,"מיוחד",,,,"טונות","טונות",,,,"Permanent","עיר"
,,,,,,,,,,,"population",
,"Motor-","Special","Taxi","Bus","Minibus","Over","Up to","Total","Private","Grand","at the end of ",
,"cycle","vehicle",,,,"3.5 tons","3.5 tons",,"car"," total",2014,
" Total","105,008","3,950","17,983","15,000","9,619","59,090","149,882","208,972","1,886,521 ","2,247,053 ","6,172,047 ","סך הכל"
"Umm Al-Fahm",550,6,53,34,101,531,"2,185","2,716","12,518 ","15,978 ","51,367 ","אום אל-פחם"
"Ofaqim",109,2,28,87,56,131,443,574,"5,067 ","5,923 ","25,295 ","אופקים"
"Or Yehuda",752,12,372,"1,391",433,468,"1,019","1,487","10,310 ","14,757 ","35,915 ","אור יהודה"
"Or Aqiva",153,2,24,21,26,138,454,592,"4,938 ","5,756 ","16,756 ","אור עקיבא"
"Elat","1,475",29,385,57,41,506,"1,411","1,917","14,206 ","18,110 ","48,946 ","אילת"
"Elad",273,"-",35,8,45,73,547,620,"4,506 ","5,487 ","43,627 ","אלעד"
"Ari'el",169,1,25,110,26,93,341,434,"4,765 ","5,530 ","18,391 ","אריאל"
"Ashdod","1,166",47,631,136,332,"1,909","3,229","5,138","49,042 ","56,492 ","217,959 ","אשדוד"
"Ashqelon","1,260",53,399,103,170,"1,367","3,152","4,519","35,900 ","42,404 ","126,819 ","אשקלון"
"Baqa Al-Gharbiyye",274,28,48,38,76,531,"1,307","1,838","7,669 ","9,971 ","27,521 ","באקה אל-גרביה"
"Be'er Sheva","1,245",80,648,607,423,"2,038","4,810","6,848","53,269 ","63,120 ","201,086 ","באר שבע"
"Bet She'an",256,1,11,44,27,151,405,556,"4,817 ","5,712 ","17,273 ","בית שאן"
"Bet Shemesh",314,6,140,80,106,338,"1,086","1,424","11,909 ","13,979 ","98,084 ","בית שמש"
"Betar Illit",123,"-",3,29,43,43,339,382,"2,684 ","3,264 ","46,874 ","ביתר עילית"
"Bene Beraq","2,388",70,98,174,155,"1,054","3,893","4,947","67,141 ","74,973 ","178,288 ","בני ברק"
" Bat Yam","3,101",20,884,12,81,715,"2,257","2,972","30,060 ","37,130 ","128,498 ","בת ים"
"Giv'at Shemuel",679,6,58,2,32,120,479,599,"7,651 ","9,027 ","24,659 ","גבעת שמואל"
"Giv'atayim","2,571",4,175,4,17,202,804,"1,006","18,777 ","22,554 ","56,849 ","גבעתיים"
"Dimona",232,3,94,73,79,326,794,"1,120","8,111 ","9,712 ","33,195 ","דימונה"
"Hod HaSharon","1,256",11,118,9,61,528,"1,430","1,958","22,586 ","25,999 ","54,134 ","הוד השרון"
"Herzliyya","2,715",23,251,97,43,778,"2,285","3,063","37,640 ","43,832 ","90,733 ","הרצלייה"
"Hadera","1,149",35,111,56,143,733,"2,048","2,781","26,701 ","30,976 ","86,774 ","חדרה"
"Holon","4,895",86,"1,574",231,188,"1,847","4,680","6,527","55,884 ","69,385 ","187,294 ","חולון"
" Haifa","2,561",284,430,482,163,"3,122","8,421","11,543","102,311 ","117,774 ","277,082 ","חיפה"
"Tiberias",661,11,107,26,54,387,924,"1,311","10,943 ","13,113 ","42,287 ","טבריה"
"Tayibe",183,27,55,72,196,585,"2,013","2,598","11,286 ","14,417 ","40,190 ","טייבה"
" Tire",246,8,33,13,99,552,"1,427","1,979","7,817 ","10,195 ","24,427 ","טירה"
"Tirat Karmel",142,12,134,11,8,185,364,549,"5,448 ","6,304 ","18,854 ","טירת כרמל"
" Tamra",124,24,29,49,69,387,"1,533","1,920","8,756 ","10,971 ","31,673 ","טמרה"
"Yavne",530,4,132,65,75,661,"1,107","1,768","14,102 ","16,676 ","39,680 ","יבנה"
"Yehud",813,10,148,4,5,287,824,"1,111","10,841 ","12,932 ","28,477 ","יהוד"
"Yoqne'am Illit",147,2,21,6,29,114,303,417,"6,567 ","7,189 ","21,060 ","יקנעם עילית"
" Jerusalem","10,306",276,"1,805","1,719","1,874","5,682","18,871","24,553","170,862 ","211,395 ","849,782 ","ירושלים"
"Kefar Sava","1,710",33,233,18,54,829,"2,500","3,329","52,099 ","57,476 ","94,156 ","כפר סבא"
"Kefar Yona",461,1,48,6,8,123,540,663,"6,927 ","8,114 ","21,226 ","כפר יונה"
