"TABLE 9.- MOTOR VEHICLES REGISTERED IN LOCAL COUNCILS,(1)",,,,,,,,,,,,"לוח 9.- כלי רכב מנועיים הרשומים במועצות מקומיות,(1)"
"                    BY TYPE OF VEHICLE",,,,,,,,,,,,"              לפי סוג כלי רכב"
"Absolute numbers",,,,,,2015,,,,,,"מספרים מוחלטים"
,"Type of vehicle",,,,,,,,,"סוג כלי רכב","אוכלוסייה",
,"אופנוע","כלי","מונית","אוטובוס","אוטובוס","  Truck",,"משאית","כלי","סך כולל","קבועה",
,,"רכב",,,"זעיר",,,,"רכב פרטי",,"בסוף 2014",
"Local council",,"מיוחד",,,,"מעל 3.5 ","עד 3.5 ","סך הכל",,,"Permanent","מועצה מקומית"
,,,,,,"טונות","טונות",,,,"population ",
,"Motor-","Special","Taxi","Bus","Minibus","Over","Up to","Total","Private","Grand","at the end of ",
,"cycle","vehicle",,,,"3.5 tons","3.5 tons",,"car"," total",2014,
,,,,,,,,,,,,
" Total","10,526",589,"1,912","2,315","3,042","13,424","46,840","60,264","353,842 ","432,490 ","1,237,094 ","סך הכל"
"Abu Ghosh",63,"-",13,2,14,31,198,229,"1,548 ","1,869 ","6,795 ","אבו גוש"
"Abu Sinan",108,1,39,"-",9,148,517,665,"3,530 ","4,352 ","13,151 ","אבו סנאן"
"Even Yehuda",244,5,15,7,19,134,458,592,"5,336 ","6,218 ","12,973 ","אבן יהודה"
"Oranit",169,2,20,2,1,97,266,363,"3,246 ","3,803 ","8,086 ","אורנית"
"Azor",406,79,87,815,13,292,558,850,"4,350 ","6,600 ","11,979 ","אזור"
"Iksal",145,3,22,17,14,195,772,967,"3,576 ","4,744 ","13,403 ","אכסאל"
"Elyakhin",67,6,8,16,21,28,131,159,"1,243 ","1,520 ","3,407 ","אליכין"
"Alfe Menashe",160,2,30,"-",4,54,249,303,"2,965 ","3,464 ","7,614 ","אלפי מנשה"
"Elqana",28,1,3,"-","-",17,64,81,"1,290 ","1,403 ","3,871 ","אלקנה"
"I'billin",56,1,19,8,28,186,616,802,"3,431 ","4,345 ","12,479 ","אעבלין"
"Efrata",53,"-","-","-",6,23,195,218,"2,416 ","2,693 ","8,131 ","אפרתה"
"Be'er Ya'aqov",322,3,42,52,86,157,422,579,"5,536 ","6,620 ","17,609 ","באר יעקב"
"Bu'eine-Nujeidat",27,14,4,31,51,100,336,436,"2,221 ","2,784 ","8,896 ","בועיינה-נוג'ידאת"
"Buq'ata",13,4,6,19,36,122,421,543,"1,510 ","2,131 ","6,238 ","בוקעאתא"
"Bir El-Maksur",28,3,1,35,40,63,443,506,"2,253 ","2,866 ","8,489 ","ביר אל-מכסור"
"Bet El",37,"-","-","-",6,44,178,222,"981 ","1,246 ","5,991 ","בית אל"
"Bet Arye",99,2,19,1,5,42,187,229,"1,715 ","2,070 ","4,516 ","בית אריה"
"Beit Jann",21,2,3,12,49,36,506,542,"2,986 ","3,615 ","11,253 ","בית ג'ן"
"Bet Dagan",254,2,28,8,3,83,412,495,"2,539 ","3,329 ","7,078 ","בית דגן"
"Bene Ayish",60,"-",5,1,12,76,125,201,"2,546 ","2,825 ","6,929 ","בני עי""ש"
"Binyamina-Giv'at Ada ",215,2,4,5,9,99,467,566,"4,629 ","5,430 ","14,517 ","בנימינה-גבעת עדה"
"Basma",32,"-",8,14,51,70,396,466,"2,397 ","2,968 ","8,657 ","בסמ""ה"
"Basmat Tab'un",47,2,53,"-",4,120,329,449,"1,887 ","2,442 ","7,321 ","בסמת טבעון"
"Bi'ne",47,2,3,2,11,85,386,471,"1,976 ","2,512 ","7,751 ","בענה"
"Giv'at Ze'ev",204,1,73,7,11,114,302,416,"4,611 ","5,323 ","15,094 ","גבעת זאב"
"Judeide-Maker",140,4,19,"-",35,161,672,833,"5,191 ","6,222 ","19,736 ","ג'דיידה-מכר"
"Gedera",268,4,52,1,15,181,598,779,"7,624 ","8,743 ","25,835 ","גדרה"
"Julis",64,"-",39,4,9,27,225,252,"1,947 ","2,315 ","6,036 ","ג'ולס"
"Jaljulye",90,7,7,5,45,117,598,715,"2,519 ","3,388 ","9,216 ","ג'לג'וליה"
"Gan Yavne",266,2,56,3,15,209,647,856,"7,368 ","8,566 ","21,762 ","גן יבנה"
"Ganne Tiqwa",420,12,47,5,6,76,339,415,"5,781 ","6,686 ","15,606 ","גני תקווה"
"Jisr Az-Zarqa",40,"-","-",18,89,18,236,254,"1,973 ","2,374 ","13,689 ","ג'סר א-זרקא"
"Jish (Gush Halav)",12,"-",2,1,4,40,186,226,"1,016 ","1,261 ","3,015 ","ג'ש (גוש חלב)"
"Jat",52,1,14,7,41,87,466,553,"3,414 ","4,082 ","10,899 ","ג'ת"
"Daliyat Al-Karmel",59,1,29,12,62,224,870,"1,094","5,261 ","6,518 ","16,555 ","דאלית אל-כרמל"
"Daburiyya",42,8,2,5,24,421,345,766,"2,731 ","3,578 ","9,699 ","דבורייה"
"Deir Al-Asad",41,22,4,6,40,278,475,753,"3,056 ","3,922 ","11,479 ","דייר אל-אסד"
"Deir Hanna",45,5,21,37,41,60,391,451,"2,754 ","3,354 ","9,624 ","דייר חנא"
"Har Adar",84,"-",2,2,"-",22,95,117,"1,639 ","1,844 ","3,776 ","הר אדר"
"Zikhron Ya'aqov",273,7,21,12,48,233,561,794,"7,497 ","8,652 ","22,028 ","זכרון יעקב"
"Zemer",26,1,2,29,26,183,352,535,"1,932 ","2,551 ","6,375 ","זמר"
"Zarzir",22,"-",2,"-",2,24,271,295,"1,693 ","2,014 ","7,232 ","זרזיר"
"Hura",11,"-","-",32,120,113,534,647,"1,686 ","2,496 ","18,790 ","חורה"
"Hurfeish",11,1,10,12,24,31,197,228,"1,606 ","1,892 ","5,960 ","חורפיש"
