MissionTime,Latitude,Longtitude,Street,House,City,Comment,mission_type,num_of_casualties
8/31/2015 12:08:24 PM,32.124378300000,34.856079000000,מחלף מורשה,,רמת השרון מחוז תל אביב,,תאונת דרכים קלה,
8/31/2015 12:18:19 PM,32.053873800000,34.759659300000,17,,שדרות ירושלים תל אביב יפו,,תאונת דרכים קלה,
8/31/2015 12:19:24 PM,31.288760000000,34.877379000000,אבו כף א,,באר שבע מחוז הדרום,,תאונת דרכים קשה,
8/31/2015 12:27:32 PM,32.091098600000,34.824473200000,12,,דרך זאב ז'בוטינסקי בני ברק,,תאונת דרכים קלה,
8/31/2015 12:35:33 PM,32.315251000000,34.957165000000,צומת ינוב,,השרון מחוז המרכז,,תאונת דרכים קלה,
8/31/2015 12:43:43 PM,32.846546000000,35.092781999999,צומת הקריון,,קריית ביאליק חיפה,,תאונת דרכים קשה,
8/31/2015 12:49:05 PM,32.887652000000,35.095114999999,צומת כפר מסריק,,עכו עכו,,תאונת דרכים קלה,
8/31/2015 12:50:11 PM,31.729502400000,35.220462900000,2,,שדרות שמואל מאיר ירושלים,,תאונת דרכים קלה,
8/31/2015 12:50:07 PM,31.916951000000,34.863362000000,"40, Ramla, Israel",,,,תאונת דרכים קלה,

