MissionID,MissionTime,Latitude,Longtitude,Street,House,City,Comment,mission_type,num_of_casualties
663549,10/6/2015 11:00:17 AM,32.014195900000,34.756557700000,6,,דוד רזיאל בת ים,,תאונת דרכים קלה,
663554,10/6/2015 11:10:11 AM,32.054764500000,34.770634200000,דרך שלמה,,תל אביב יפו מחוז תל אביב,,תאונת דרכים קלה,
663558,10/6/2015 11:18:18 AM,31.755932000000,35.183826500000,גולומב,,ירושלים מחוז ירושלים,,תאונת דרכים קלה,
663572,10/6/2015 11:30:31 AM,32.050946100000,34.771082600000,65,,דרך קיבוץ גלויות תל אביב יפו,,תאונת דרכים קלה,
663574,10/6/2015 11:31:34 AM,32.071809800000,34.796888699999,11,,דרך השלום תל אביב יפו,,תאונת דרכים קלה,
663575,10/6/2015 11:34:22 AM,31.735625200000,34.748564799999,יצחק שדה,,קרית מלאכי אשקלון,,תאונת דרכים קלה,
663590,10/6/2015 11:52:09 AM,31.854347000000,35.262621000000,437 98556 West Bank  ,,,,תאונת דרכים קלה,
663592,10/6/2015 11:54:43 AM,31.616364000000,34.758275000000,מלכי ישראל,,קרית גת אשקלון,,תאונת דרכים קלה,
663593,10/6/2015 11:55:05 AM,31.794434700000,35.239207399999,שדרות שיירת הר הצופים,,ירושלים,,תאונת דרכים קלה,
663596,10/6/2015 11:57:38 AM,32.079456400000,34.834180199999,"חזון אי""ש",,בני ברק מחוז תל אביב,,תאונת דרכים קלה,

